,Actual,Predict
2609,478.15,425.95985684377825
8156,439.15,453.00135170571633
2616,478.15,481.63870499014644
4653,398.65,398.9562001980828
8530,489.54,465.67354787066324
10707,454.15,460.1580856800994
11822,472.15,471.7561394838753
3305,382.84,439.5263232618086
6348,548.83,498.207169843218
5852,428.68,422.0739600844108
9006,605.81,566.2565231050129
8265,455.15,460.9755567225517
6385,563.15,497.46396223104693
624,387.65,470.4591439249206
7698,547.7,507.95846037626785
11902,478.15,471.0297055367972
9290,438.65,440.37338405846725
1634,509.15,477.40730801611784
1383,483.15,503.0234272674968
5324,573.51,534.886361714577
2876,536.15,467.01552484432733
8935,567.45,544.9925942451734
8998,601.3,578.011630877988
4684,402.08,404.809999170903
3422,704.0,453.21783226077855
3963,396.39,397.385182451976
4889,437.69,453.37845323009
3487,367.8,371.7098582218111
12068,509.82,488.6755600571407
1662,513.15,541.6592652590872
12438,589.72,566.325513999866
6630,388.64,396.07303310723546
3094,342.15,459.59119960738514
218,425.95,437.4972809930267
1372,481.65,491.52022194569673
6698,395.68,358.9887495635558
12346,561.45,528.0060655688609
1950,578.15,522.2475912093474
1953,579.15,519.2831707088355
1530,498.15,549.0385256265469
8947,571.36,536.1998651038515
9567,477.15,611.393342498884
10913,493.55,474.8070429174861
10798,470.26,470.25822790826066
6647,390.72,396.65259165586906
3068,322.65,386.19123044659375
2417,440.65,483.29854801621747
11336,581.4,580.7435837417693
8846,541.15,532.9953646482039
5981,452.82,442.17282636747524
10278,573.99,562.2670659485311
9137,390.15,515.5844239068251
7346,472.48,463.128613652827
11563,451.65,522.3250463003588
1984,321.15,359.59111467813267
173,447.15,444.6355155410054
5702,409.05,409.2365564043307
11365,596.34,555.7029644601848
3297,366.59,379.2182008123434
8518,487.75,476.3499509102254
8276,457.09,458.35043122465186
7209,457.6,453.199884910518
3669,490.04,467.2193516158301
8582,494.15,494.1400579601139
9720,491.15,491.3637943797436
2392,433.15,492.683715974187
1236,466.65,483.34866081132554
2189,387.65,480.47387425859347
3468,350.35,357.86957742621007
1043,444.15,478.24381745779374
10934,498.15,471.23907689267907
12123,522.39,511.6363474530432
2589,475.34999999999997,463.33365981142776
7077,443.15,479.184241791233
5743,416.65,420.6983864544841
10739,457.29,458.463404456187
3873,365.65,361.84702926784286
3210,383.76,381.6332578894926
720,399.65,418.8027411172832
1213,464.15,481.5164658209356
7090,443.92,430.2795570528849
5045,472.51,470.2235576074213
724,400.65,415.86254250787874
10715,455.15,456.03371259117745
10402,618.99,585.438735825287
6258,512.48,485.63522591383105
11921,479.15,468.72505127291254
10638,448.15,456.1517895970354
3344,446.15,431.32839601948854
8873,550.08,518.3883573386977
450,431.65,436.974760310185
7512,499.45,477.8231685938197
10244,565.65,536.6257682503375
3817,337.15,375.29958341028583
10673,452.15,456.03371259117745
290,353.65,378.6409217627664
9810,501.65,487.463123196438
3011,578.15,528.4369071356988
11430,632.15,634.9254997985734
8810,527.27,511.2124911546694
7633,531.13,518.5201048056249
1369,481.34999999999997,472.33791611600236
