,Name,Actual,Predict
135,C1=CC=C2C=CC=CC2=C1,491.05,491.2553
136,CC1=CC2=C(C=CC2)C=C1,480.15,479.64114
137,CC1=CCC2=CC=CC=C12,471.15,469.98596
138,CCC/C=C/CCC,395.45,395.53192
139,CC1C=CC2=CC=CC=C12,472.15,472.71463
140,CC(C)CC(C)C(C)C,404.55,406.9694
141,CC1=CC2=CC=CC=C2C1,481.15,479.23007
142,CCCC(C)C(C)(C)C,406.75,407.22348
143,CCC(CC)C(C)(C)C,406.95,407.2681
144,CCC(C(C)C)C(C)C,409.85,408.02805
145,CC1=C2C=CCC2=CC=C1,482.15,481.60742
146,CC1=C2CC=CC2=CC=C1,482.15,482.8162
147,CCC(=C)C1=CC=CC=C1,455.15,456.6813
148,C/C=C(/C)\C1=CC=CC=C1,467.85,467.19016
149,CCCC(C)(C)C(C)C,410.85,411.1436
150,C/C=C(\C)/C1=CC=CC=C1,467.85,467.2669
151,CC/C=C/C1=CC=CC=C1,471.85,470.04587
152,C1CCC2=CC=CC=C2C1,480.75,481.71603
153,CC(=CCCC(=C)C=C)C,440.15,443.17123
154,CC(C)C1CCC(=C)C=C1,444.65,443.8364
155,CCC(C)C(C)C(C)C,412.25,410.30798
156,CC1=CCC(C=C1)C(C)C,445.15,443.60965
157,CC1=CCC(CC1)C(=C)C,451.15,448.88684
158,CC1=CCC(CC1)C(=C)C,451.15,448.88684
159,CCC(C)C(C)(C)CC,413.65,412.0999
160,CCC(C)(CC)C(C)C,417.85,418.06076
161,CC1=CCC(=C(C)C)CC1,459.15,457.3141
162,CC=CC(C)C(C)C=CC,426.65,427.52594
163,CC=C(C)CCC(=CC)C,427.15,444.83908
164,CC=C(C)C=CCC(C)C,438.65,438.4506
165,CC(=CCCC=C(C)C)C,439.15,436.58157
166,C/C=C(/C)\CCC=C(C)C,441.15,440.74176
167,C=CCCCCCCC=C,440.15,441.2141
168,CC1(C2CCC(C2)C1=C)C,433.15,434.79532
169,CC1(C2CCC(=C)C1C2)C,439.15,437.84863
170,CC1=CCC2CC1C2(C)C,428.15,429.80307
171,CC1=CCC2CC1C2(C)C,429.05,429.80307
172,CC1=CCC(CCC1)(C)C,438.15,444.22427
173,CC1CCC(C=C1)C(C)C,440.15,439.27597
174,CC1CCC(=CC1)C(C)C,440.65,442.00793
175,CC1=CCC(CC1)C(C)C,446.15,447.18173
176,CC1CCC(=C(C)C)CC1,446.15,446.97043
177,CC1CCCC(=C(C)C)C1,447.15,445.53867
178,CC1=CCC(CC1)C(C)C,447.65,447.18173
179,CCCCCC1=CCCC1,452.15,454.1552
180,C1CCCCC=CCCC1,468.15,469.47827
181,CCCCCCCCC=C,443.65,443.46814
182,CCCC/C=C/CCCC,444.15,443.0019
183,CCCC/C=C\CCCC,444.15,443.16623
184,CC1CCC2(C1C2)C(C)C,430.15,432.02795
185,CC1C2CCC(C2)C1(C)C,439.15,437.1587
186,CC1CCC2C(C1)C2(C)C,442.15,440.45987
187,C1CCC2CCCCC2C1,428.65,453.96924
188,C1CCC2CCCCC2C1,460.45,453.96924
189,C1CCC2CCCCC2C1,468.95,453.96924
190,CC1CCC(CC1)C(C)C,443.85,441.81143
191,CC(C)(C)C1CCCCC1,444.65,440.6276
192,CC(C)CC1CCCCC1,444.45,441.7246
193,CCC(C)C1CCCCC1,452.45,448.4076
194,CCCC1CCCCC1C,449.15,447.7668
195,CCCCC1CCCCC1,454.05,451.4221
196,C1CCCCCCCCC1,475.15,475.716
197,CC(C(C)(C)C)C(C)(C)C,432.45,432.2017
198,CC(C)C(C)(C)C(C)(C)C,439.25,438.00754
199,CC(C)(C)CCC(C)(C)C,410.55,424.18372
200,CC(C)C(C)CC(C)(C)C,421.05,421.23453
201,CC(C)CC(C)C(C)(C)C,421.55,423.9506
202,CC(C)CC(C)(C)C(C)C,426.25,426.72754
203,CCC(C)(C)CC(C)(C)C,426.95,427.3549
204,CC(C)C(C)C(C)C(C)C,429.35,432.0128
205,CCC(C)C(C)C(C)(C)C,430.15,430.72665
206,CC(C)C(C(C)C)C(C)C,430.25,431.0139
207,CCCC(C)(C)C(C)(C)C,433.45,433.22504
208,CCC(C)(C)C(C)C(C)C,434.75,434.07254
209,CCCCCC(C)(C)C,405.85,400.42743
210,CCC(C)C(C)(C)C(C)C,437.75,434.0997
211,CCC(C)(CC)C(C)(C)C,442.65,442.03244
212,CC1=CC2=CC=CC=C2C=C1,514.25,514.13794
213,CC1=CC=CC2=CC=CC=C12,517.85,517.48706
214,CCC(C)(C)C(C)(C)CC,443.15,441.95795
215,CCC(CC)CC(C)(C)C,420.15,421.72784
216,CCCC(C)CC(C)C,406.05,407.51523
217,CC(C)CC(C)CC(C)C,420.75,422.77032
218,CCCC(C)CC(C)(C)C,421.45,421.6477
219,CC(C)CCCC(C)(C)C,422.05,422.11557
220,CCC(C)CCC(C)(C)C,423.95,424.79645
221,CCCC(C)(C)CC(C)C,424.15,423.91742
222,CCC(C)(C)CCC(C)C,425.95,428.09393
223,CCC(CC(C)C)C(C)C,427.25,428.18192
224,CCC(C)CC(C)(C)CC,428.85,428.51056
225,CC(C)CCC(C)C(C)C,429.15,430.4034
226,CC1(CCC2=CC=CC=C21)C,464.15,465.7784
227,CCCC(CC)C(C)(C)C,429.25,432.17798
228,CC1=CC2=C(CCCC2)C=C1,507.15,491.84305
229,CC1=C2CCCCC2=CC=C1,507.15,504.40356
230,CCC1=CC(=CC=C1)C(C)C,465.15,466.54007
231,CCC(C)C(C)CC(C)C,429.65,429.22415
232,CCC1=CC=C(C=C1)C(C)C,469.75,467.90112
233,CCCC(C)C1=CC=CC=C1,472.15,470.43774
234,CCCCC/C=C/CCCC,465.15,465.3838
235,CCCCC(C)C(C)(C)C,430.95,432.17798
236,CCCCC/C=C\CCCC,465.45,465.54813
237,CCCCCCCC/C=C/C,465.65,466.5493
238,CCCCCC/C=C\CCC,465.75,465.54813
239,CCCCCCCCCC=C,465.85,465.62048
240,CCCCCC#CCCCCC,483.15,483.0866
241,CCCCCCCCCCC#C,488.15,489.45538
242,C1=CC2=C3C(=C1)C=CC3=CC=C2,553.15,551.2739
243,C1CC2=CC=CC3=C2C1=CC=C3,552.15,551.82477
244,C=C,169.45,183.92345
245,CC=C,225.55,230.88872
246,C=C=C,238.75,238.40591
247,CC=C=C,284.05,283.23553
248,CCC#C,281.15,281.69247
249,CC#CC,300.05,285.4228
250,CC1CC1,273.85,272.51404
251,C1CCC1,285.75,281.90952
252,CC(=C)C,266.25,270.18497
253,CCC=C,266.95,267.24542
254,CC(C)(C)C,282.55,290.4746
255,CC(=C)C=C,307.15,310.55945
256,CC(=C=C)C,313.98,313.5918
257,CC(C)C=C,293.25,295.63156
258,CCC(=C)C,304.35,308.4845
