,Name,Actual,Predict
135,C1=CC=C2C=CC=CC2=C1,491.05,490.90146
136,CC1=CC2=C(C=CC2)C=C1,480.15,479.3147
137,CC1=CCC2=CC=CC=C12,471.15,470.13647
138,CCC/C=C/CCC,395.45,395.71207
139,CC1C=CC2=CC=CC=C12,472.15,472.4317
140,CC(C)CC(C)C(C)C,404.55,407.05545
141,CC1=CC2=CC=CC=C2C1,481.15,478.55563
142,CCCC(C)C(C)(C)C,406.75,407.0791
143,CCC(CC)C(C)(C)C,406.95,407.24298
144,CCC(C(C)C)C(C)C,409.85,408.12225
145,CC1=C2C=CCC2=CC=C1,482.15,481.44656
146,CC1=C2CC=CC2=CC=C1,482.15,483.03326
147,CCC(=C)C1=CC=CC=C1,455.15,457.56525
148,C/C=C(/C)\C1=CC=CC=C1,467.85,466.99136
149,CCCC(C)(C)C(C)C,410.85,411.12988
150,C/C=C(\C)/C1=CC=CC=C1,467.85,467.19955
151,CC/C=C/C1=CC=CC=C1,471.85,469.5094
152,C1CCC2=CC=CC=C2C1,480.75,481.83777
153,CC(=CCCC(=C)C=C)C,440.15,443.1956
154,CC(C)C1CCC(=C)C=C1,444.65,443.192
155,CCC(C)C(C)C(C)C,412.25,410.18222
156,CC1=CCC(C=C1)C(C)C,445.15,443.384
157,CC1=CCC(CC1)C(=C)C,451.15,447.7639
158,CC1=CCC(CC1)C(=C)C,451.15,447.7639
159,CCC(C)C(C)(C)CC,413.65,411.6539
160,CCC(C)(CC)C(C)C,417.85,417.7784
161,CC1=CCC(=C(C)C)CC1,459.15,456.52188
162,CC=CC(C)C(C)C=CC,426.65,428.10867
163,CC=C(C)CCC(=CC)C,427.15,444.71725
164,CC=C(C)C=CCC(C)C,438.65,438.58014
165,CC(=CCCC=C(C)C)C,439.15,436.5559
166,C/C=C(/C)\CCC=C(C)C,441.15,440.43497
167,C=CCCCCCCC=C,440.15,441.31265
168,CC1(C2CCC(C2)C1=C)C,433.15,435.2105
169,CC1(C2CCC(=C)C1C2)C,439.15,437.46826
170,CC1=CCC2CC1C2(C)C,428.15,430.55823
171,CC1=CCC2CC1C2(C)C,429.05,430.55823
172,CC1=CCC(CCC1)(C)C,438.15,444.2312
173,CC1CCC(C=C1)C(C)C,440.15,439.0194
174,CC1CCC(=CC1)C(C)C,440.65,442.18945
175,CC1=CCC(CC1)C(C)C,446.15,447.23505
176,CC1CCC(=C(C)C)CC1,446.15,446.86923
177,CC1CCCC(=C(C)C)C1,447.15,445.41684
178,CC1=CCC(CC1)C(C)C,447.65,447.23505
179,CCCCCC1=CCCC1,452.15,454.20892
180,C1CCCCC=CCCC1,468.15,469.71994
181,CCCCCCCCC=C,443.65,443.79453
182,CCCC/C=C/CCCC,444.15,443.1863
183,CCCC/C=C\CCCC,444.15,443.24194
184,CC1CCC2(C1C2)C(C)C,430.15,432.8255
185,CC1C2CCC(C2)C1(C)C,439.15,436.86716
186,CC1CCC2C(C1)C2(C)C,442.15,439.42368
187,C1CCC2CCCCC2C1,428.65,454.89517
188,C1CCC2CCCCC2C1,460.45,454.89517
189,C1CCC2CCCCC2C1,468.95,454.89517
190,CC1CCC(CC1)C(C)C,443.85,440.98892
191,CC(C)(C)C1CCCCC1,444.65,439.44595
192,CC(C)CC1CCCCC1,444.45,441.66138
193,CCC(C)C1CCCCC1,452.45,448.16446
194,CCCC1CCCCC1C,449.15,447.52368
195,CCCCC1CCCCC1,454.05,451.918
196,C1CCCCCCCCC1,475.15,475.62534
197,CC(C(C)(C)C)C(C)(C)C,432.45,431.97302
198,CC(C)C(C)(C)C(C)(C)C,439.25,437.4495
199,CC(C)(C)CCC(C)(C)C,410.55,424.33548
200,CC(C)C(C)CC(C)(C)C,421.05,421.24997
201,CC(C)CC(C)C(C)(C)C,421.55,424.29318
202,CC(C)CC(C)(C)C(C)C,426.25,427.01767
203,CCC(C)(C)CC(C)(C)C,426.95,427.4545
204,CC(C)C(C)C(C)C(C)C,429.35,432.0724
205,CCC(C)C(C)C(C)(C)C,430.15,431.04517
206,CC(C)C(C(C)C)C(C)C,430.25,431.1499
207,CCCC(C)(C)C(C)(C)C,433.45,433.12473
208,CCC(C)(C)C(C)C(C)C,434.75,433.88446
209,CCCCCC(C)(C)C,405.85,400.5249
210,CCC(C)C(C)(C)C(C)C,437.75,433.97656
211,CCC(C)(CC)C(C)(C)C,442.65,441.76895
212,CC1=CC2=CC=CC=C2C=C1,514.25,514.1762
213,CC1=CC=CC2=CC=CC=C12,517.85,517.0758
214,CCC(C)(C)C(C)(C)CC,443.15,441.5525
215,CCC(CC)CC(C)(C)C,420.15,422.04517
216,CCCC(C)CC(C)C,406.05,407.69434
217,CC(C)CC(C)CC(C)C,420.75,423.7409
218,CCCC(C)CC(C)(C)C,421.45,421.8813
219,CC(C)CCCC(C)(C)C,422.05,422.36093
220,CCC(C)CCC(C)(C)C,423.95,425.03003
221,CCCC(C)(C)CC(C)C,424.15,424.16278
222,CCC(C)(C)CCC(C)C,425.95,428.54962
223,CCC(CC(C)C)C(C)C,427.25,428.36972
224,CCC(C)CC(C)(C)CC,428.85,428.57996
225,CC(C)CCC(C)C(C)C,429.15,430.54642
226,CC1(CCC2=CC=CC=C21)C,464.15,466.34274
227,CCCC(CC)C(C)(C)C,429.25,432.0336
228,CC1=CC2=C(CCCC2)C=C1,507.15,491.2198
229,CC1=C2CCCCC2=CC=C1,507.15,503.36465
230,CCC1=CC(=CC=C1)C(C)C,465.15,466.92682
231,CCC(C)C(C)CC(C)C,429.65,429.3566
232,CCC1=CC=C(C=C1)C(C)C,469.75,467.0874
233,CCCC(C)C1=CC=CC=C1,472.15,470.0845
234,CCCCC/C=C/CCCC,465.15,465.63953
235,CCCCC(C)C(C)(C)C,430.95,432.0336
236,CCCCC/C=C\CCCC,465.45,465.69516
237,CCCCCCCC/C=C/C,465.65,466.7453
238,CCCCCC/C=C\CCC,465.75,465.69516
239,CCCCCCCCCC=C,465.85,465.7586
240,CCCCCC#CCCCCC,483.15,483.47104
241,CCCCCCCCCCC#C,488.15,489.65228
242,C1=CC2=C3C(=C1)C=CC3=CC=C2,553.15,550.5557
243,C1CC2=CC=CC3=C2C1=CC=C3,552.15,551.61487
244,C=C,169.45,184.83185
245,CC=C,225.55,231.9104
246,C=C=C,238.75,238.6696
247,CC=C=C,284.05,282.91177
248,CCC#C,281.15,281.15475
249,CC#CC,300.05,284.89032
250,CC1CC1,273.85,272.59772
251,C1CCC1,285.75,281.01556
252,CC(=C)C,266.25,271.29825
253,CCC=C,266.95,267.8896
254,CC(C)(C)C,282.55,292.10123
255,CC(=C)C=C,307.15,310.8357
256,CC(=C=C)C,313.98,313.29257
257,CC(C)C=C,293.25,296.2404
258,CCC(=C)C,304.35,308.90216
259,CC=C(C)C,311.65,308.96725
260,CCC(C)C,300.95,302.35516
261,C=CCC=C,299.15,300.66116
262,C/C=C/C=C,315.15,313.58365
263,CC=CC=C,315.15,314.73373
264,C/C=C\C=C,317.25,313.5098
265,CCC=C=C,318.05,317.81534
266,CCC(C)(C)C,322.85,322.47034
267,CC=C=CC,321.35,319.17017
268,CCCC=C,303.05,303.61038
269,CCCC=C,308.15,303.61038
270,CC/C=C/C,309.45,309.64484
271,CC/C=C\C,310.05,310.6536
272,CCCCC,309.15,311.5892
273,CC(C)C(C)C,331.05,333.39163
274,CC(=C)C1CC1,343.15,337.02155
275,CC1CC1(C)C,327.15,324.3359
276,CCC1(CC1)C,329.95,331.15643
277,CC(C)C1CC1,331.45,336.7624
278,CC(=C)CC=C,329.15,330.833
279,CCC(=C=C)C,343.15,343.11774
280,CC(C)C=C=C,343.15,342.39697
281,CC=C=C(C)C,345.15,346.63397
282,CCC(=C)C=C,348.15,343.72546
283,C/C=C(/C)\C=C,349.15,346.54443
284,CC(=CC=C)C,349.65,347.83844
285,CC=C(C)C=C,350.15,346.17102
286,CC(C)CC=C,327.05,329.46902
287,CCC(C)C=C,327.35,327.72498
288,C/C=C\C(C)C,329.45,331.92038
289,C/C=C/C(C)C,331.75,333.3615
290,CCCC(=C)C,335.25,337.37823
291,CCC(=C)CC,337.85,341.13022
292,CCC=C(C)C,340.45,341.0374
293,CC/C(=C\C)/C,340.85,340.65054
294,CC/C(=C/C)/C,343.55,340.89285
295,CCCC(C)C,333.35,333.08435
296,CCC(C)CC,336.35,334.66684
297,C1CC=CC=C1,353.65,353.62915
298,C1C=CCC=C1,358.65,356.00833
299,CC1CCC=C1,338.05,338.61636
300,CC1CCC(C1)C,363.95,365.89777
301,CC1CC=CC1,338.85,347.5927
302,CC1=CCCC1,348.65,350.86652
303,C=C1CCCC1,348.65,350.58786
304,C1CCC=CC1,356.05,354.6272
305,CC1CCC1C,331.15,335.31873
306,CCCC1CC1,342.25,342.14246
307,CCC1CCC1,343.95,343.16913
308,CC1CCCC1,344.95,343.38477
309,C1CCCCC1,353.85,355.07144
310,C=CC=CC=C,351.15,352.66537
311,CC1CCC(C1)C,364.85,365.89777
312,C=CC=CC=C,351.65,352.66537
313,C1C=CC=CC=C1,390.15,389.3919
314,C=C1CCCCC1,375.65,375.8026
315,C=CCCC=C,332.55,334.66275
316,C/C=C/CC=C,338.15,337.1991
317,CC=CCC=C,338.15,338.9561
318,C/C=C\CC=C,339.45,338.91104
319,CCC1CCC=C1,370.95,371.18744
320,CC/C=C\C=C,346.25,345.15167
321,CC1CCC=C1C,372.15,367.63083
322,CC1CCC=CC1,375.85,374.08517
323,CC/C=C/C=C,346.35,344.77267
324,CCC=CC=C,346.65,348.31876
325,CC1CCCC=C1,376.15,371.18744
326,CCCC=C=C,349.15,349.0182
327,CCC1=CCCC1,379.45,379.70758
328,CC1=CCCCC1,383.45,380.37726
329,C1CCC=CCC1,388.15,389.02698
330,CCC=C=CC,351.15,350.3746
331,CC=C1CCCC1,388.15,382.43204
332,CC=CC=CC,353.15,348.9465
333,CC1CCCC1C,365.05,369.398
334,CC1CCCC1C,372.65,369.398
335,CC1CCCCC1,374.05,374.87146
336,CCC1CCCC1,376.65,374.87146
337,C1CCCCCC1,391.55,386.3613
338,CC(=C)C(C)(C)C,351.05,351.3636
339,CC(C)C(C)(C)C,353.95,355.02106
340,CC(=CC(=C)C)C,366.35,363.92188
341,CC(C)(C)CC=C,345.65,351.27478
342,C/C=C/C(C)(C)C,349.85,350.4062
343,CCC(C)(C)C=C,350.65,351.79825
344,C/C=C\C(C)(C)C,353.55,353.35406
345,CC(C)C(C)C=C,353.95,353.93893
346,CC(C)CC(=C)C,354.75,357.77798
347,CC(C)C=C(C)C,356.55,359.91843
348,CCC(C)C(=C)C,357.45,359.23807
349,CCC(=C)C(C)C,362.15,360.6067
350,CC=C(C)C(C)C,362.15,362.71832
351,C/C=C(/C)\C(C)C,362.45,362.2351
352,C/C=C(\C)/C(C)C,364.65,360.81003
353,CCC(=C(C)C)C,370.65,370.0048
354,CCCC(C)(C)C,352.35,353.58655
355,CC(C)CC(C)C,353.55,356.3063
356,CCC(C)(C)CC,359.15,358.4243
357,CCC(C)C(C)C,362.85,361.90826
358,CC(=C)CCC=C,361.25,360.85526
359,CCCC(C)C=C,357.05,357.50906
360,CCC(CC)C=C,357.25,357.6161
361,CC(C)CCC=C,358.45,357.412
362,CC/C=C/C(C)C,359.05,360.05417
363,CC/C=C\C(C)C,359.15,359.75903
364,CCC(C)/C=C\C,359.45,360.02014
365,CCC/C=C\CCC,395.65,395.7677
366,CCCC/C=C\CC,396.05,396.78268
367,CCC(C)CC=C,359.85,360.14743
368,CCC(C)/C=C/C,360.75,361.49744
369,CCCC/C=C/CC,396.45,396.60382
370,CCCCC/C=C/C,398.15,397.6187
371,CCCCC/C=C\C,398.75,398.48447
372,C/C=C/CC(C)C,361.25,360.06805
373,C1CC2CCCC2C1,412.15,412.13376
374,C/C=C\CC(C)C,362.65,360.9575
375,CCCCC(=C)C,365.15,365.93454
376,CC1CCC(C1)(C)C,378.05,383.58524
377,CCCC(=C)CC,367.15,367.83698
378,CC1CC(C(C1)C)C,389.95,389.8042
379,CC1CCCC1(C)C,387.15,387.9751
380,CC1CCC(CC1)C,392.55,394.69843
381,CCCC=C(C)C,368.55,365.30954
382,CC1(CCCCC1)C,392.75,392.06754
383,CC1CCCC(C1)C,393.25,395.7693
384,CCC1CCC(C1)C,394.15,396.48737
385,CCC1CCC(C1)C,394.15,396.48737
386,CCC1(CCCC1)C,394.75,393.854
387,CC1CCC(C1C)C,396.15,392.83054
388,CC1CCCC(C1)C,397.65,395.7693
389,CC(C)C1CCCC1,399.65,398.87585
390,CC1CCCCC1C,396.65,399.7906
391,CC1CCCCC1C,402.95,399.7906
392,CCCC1CCCC1,404.15,403.9952
393,CCC1CCCCC1,405.05,405.02188
394,CCC/C(=C\C)/C,368.75,367.80292
395,CCC(=CC)CC,369.15,366.3678
396,C1CCCCCCC1,422.15,419.47507
397,CC(C)(C)C(C)(C)C,379.55,380.52985
398,CCCCC(C)C,363.15,366.03806
399,CC(C)CC(C)(C)C,372.35,374.28564
400,CCC(C)C(C)(C)C,383.15,379.3354
401,CC(C)C(C)C(C)C,386.65,385.8504
402,CCC(C)(C)C(C)C,387.95,386.68253
