iter	Passed	Remaining
499	1554	1551
500	1557	1548
501	1560	1544
502	1563	1541
503	1566	1538
504	1569	1535
505	1573	1532
506	1576	1529
507	1579	1526
508	1582	1523
509	1585	1520
510	1589	1517
511	1592	1514
512	1595	1511
513	1598	1508
514	1601	1505
515	1604	1502
516	1607	1498
517	1610	1495
518	1613	1492
519	1616	1488
520	1619	1485
521	1621	1482
522	1624	1478
523	1627	1475
524	1630	1472
525	1633	1468
526	1636	1465
527	1638	1461
528	1641	1458
529	1644	1455
530	1647	1451
531	1650	1448
532	1653	1445
533	1656	1442
534	1659	1439
535	1662	1436
536	1665	1432
537	1668	1429
538	1671	1426
539	1674	1423
540	1677	1419
541	1680	1416
542	1683	1413
543	1686	1410
544	1689	1407
545	1692	1404
546	1695	1400
547	1697	1397
548	1700	1394
549	1703	1390
550	1707	1388
551	1710	1385
552	1713	1382
553	1716	1378
554	1719	1375
555	1722	1372
556	1725	1369
557	1728	1365
558	1731	1362
559	1733	1359
560	1736	1356
561	1739	1352
562	1742	1349
563	1745	1346
564	1748	1343
565	1751	1339
566	1753	1336
567	1756	1333
568	1759	1329
569	1762	1326
570	1765	1323
571	1768	1319
572	1770	1316
573	1773	1313
574	1776	1309
575	1779	1306
576	1782	1303
577	1785	1300
578	1787	1296
579	1790	1293
580	1793	1290
581	1796	1287
582	1799	1284
583	1802	1280
584	1805	1277
585	1808	1274
586	1811	1271
587	1813	1267
588	1816	1264
589	1819	1261
590	1822	1258
591	1825	1254
592	1828	1251
593	1831	1248
594	1833	1245
595	1836	1241
596	1839	1238
597	1842	1235
598	1845	1232
599	1847	1228
600	1850	1225
601	1853	1222
602	1856	1219
603	1859	1216
604	1862	1212
605	1865	1209
606	1867	1206
607	1870	1203
608	1873	1199
609	1876	1196
610	1879	1193
611	1882	1190
612	1885	1186
613	1888	1183
614	1891	1180
615	1894	1177
616	1897	1174
617	1900	1171
618	1903	1168
619	1906	1165
620	1909	1162
621	1912	1159
622	1915	1155
623	1918	1152
624	1921	1149
625	1923	1146
626	1926	1143
627	1929	1139
628	1932	1136
629	1935	1133
630	1938	1130
631	1941	1127
632	1944	1124
633	1946	1120
634	1949	1117
635	1952	1114
636	1955	1111
637	1958	1108
638	1961	1104
639	1964	1101
640	1966	1098
641	1969	1095
642	1972	1092
643	1975	1088
644	1978	1085
645	1981	1082
646	1984	1079
647	1986	1076
648	1989	1073
649	1992	1069
650	1995	1066
651	1998	1063
652	2001	1060
653	2004	1057
654	2007	1054
655	2010	1051
656	2012	1047
657	2015	1044
658	2018	1041
659	2021	1038
660	2024	1035
661	2027	1032
662	2030	1028
663	2033	1025
664	2035	1022
665	2038	1019
666	2041	1016
667	2044	1012
668	2047	1009
669	2049	1006
670	2052	1003
671	2055	1000
672	2058	997
673	2061	994
674	2064	990
675	2067	987
676	2069	984
677	2072	981
678	2075	978
679	2078	975
680	2081	971
681	2084	968
682	2086	965
683	2089	962
684	2092	959
685	2095	956
686	2098	953
687	2101	950
688	2104	947
689	2108	944
690	2111	941
691	2114	937
692	2117	934
693	2119	931
694	2122	928
695	2125	925
696	2128	922
697	2131	919
698	2134	916
699	2137	912
700	2139	909
701	2142	906
702	2146	903
703	2149	900
704	2152	897
705	2154	894
706	2157	891
707	2160	887
708	2163	884
709	2166	881
710	2168	878
711	2171	875
712	2174	872
713	2177	869
714	2180	865
715	2182	862
716	2185	859
717	2188	856
718	2191	853
719	2194	850
720	2197	847
721	2200	844
722	2203	841
723	2206	838
724	2209	835
725	2212	831
726	2215	828
727	2218	825
728	2221	822
729	2224	819
730	2227	816
731	2229	813
732	2232	810
733	2235	807
734	2238	803
735	2241	800
736	2244	797
737	2247	794
738	2250	791
739	2253	788
740	2256	785
741	2259	782
742	2262	779
743	2265	776
744	2268	773
745	2270	770
746	2273	767
747	2276	763
748	2279	760
749	2282	757
750	2285	754
751	2288	751
752	2291	748
753	2293	745
754	2296	742
755	2299	739
756	2302	736
757	2305	732
758	2308	729
759	2310	726
760	2313	723
761	2316	720
762	2319	717
763	2322	714
764	2325	711
765	2327	708
766	2330	705
767	2333	701
768	2336	698
769	2339	695
770	2342	692
771	2344	689
772	2347	686
773	2350	683
774	2353	680
775	2356	677
776	2358	673
777	2361	670
778	2364	667
779	2367	664
780	2370	661
781	2373	658
782	2375	655
783	2378	652
784	2381	649
785	2384	646
786	2387	643
787	2390	639
788	2393	637
789	2396	634
790	2399	630
791	2402	627
792	2405	624
793	2407	621
794	2410	618
795	2413	615
796	2416	612
797	2419	609
798	2422	606
799	2425	603
800	2428	600
801	2431	597
802	2435	594
803	2438	591
804	2441	588
805	2444	585
806	2447	582
807	2449	579
808	2452	576
809	2455	573
810	2459	570
811	2461	566
812	2464	563
813	2467	560
814	2470	557
815	2473	554
816	2475	551
817	2478	548
818	2481	545
819	2484	542
820	2487	539
821	2490	536
822	2492	533
823	2495	530
824	2498	527
825	2501	523
826	2504	520
827	2507	517
828	2510	514
829	2513	511
830	2515	508
831	2518	505
832	2521	502
833	2524	499
834	2527	496
835	2530	493
836	2532	490
837	2535	487
838	2538	484
839	2541	481
840	2544	477
841	2546	474
842	2549	471
843	2552	468
844	2555	465
845	2558	462
846	2561	459
847	2563	456
848	2566	453
849	2569	450
850	2572	447
851	2575	444
852	2578	441
853	2580	438
854	2583	435
855	2586	432
856	2589	429
857	2592	426
858	2595	423
859	2598	419
860	2601	416
861	2604	413
862	2607	410
863	2610	407
864	2613	404
865	2615	401
866	2618	398
867	2621	395
868	2624	392
869	2627	389
870	2630	386
871	2633	383
872	2635	380
873	2638	377
874	2642	374
875	2645	371
876	2648	368
877	2650	365
878	2653	362
879	2657	359
880	2660	356
881	2662	353
882	2665	350
883	2668	347
884	2671	344
885	2674	341
886	2676	338
887	2679	334
888	2682	331
889	2685	328
890	2688	325
891	2691	322
892	2694	319
893	2696	316
894	2699	313
895	2702	310
896	2705	307
897	2708	304
898	2711	301
899	2714	298
900	2716	295
901	2719	292
902	2722	289
903	2725	286
904	2728	283
905	2731	280
906	2733	277
907	2736	274
908	2739	271
909	2742	268
910	2745	265
911	2748	262
912	2751	259
913	2754	256
914	2756	253
915	2759	250
916	2762	247
917	2765	244
918	2768	240
919	2771	237
920	2773	234
921	2776	231
922	2779	228
923	2782	225
924	2785	222
925	2788	219
926	2791	216
927	2794	213
928	2796	210
929	2799	207
930	2802	204
931	2805	201
932	2808	198
933	2811	195
934	2814	192
935	2816	189
936	2819	186
937	2822	183
938	2825	180
939	2828	177
940	2831	174
941	2834	171
942	2836	168
943	2839	165
944	2842	162
945	2845	159
946	2848	156
947	2851	153
948	2854	150
949	2857	147
950	2861	144
951	2864	141
952	2867	138
953	2869	135
954	2872	132
955	2875	129
956	2878	126
957	2881	123
958	2884	120
959	2887	117
960	2889	114
961	2892	111
962	2895	108
963	2898	105
964	2901	102
965	2904	99
966	2906	96
967	2909	93
968	2912	90
969	2915	87
970	2918	84
971	2921	81
972	2924	78
973	2926	75
974	2929	72
975	2932	69
976	2935	66
977	2938	63
978	2941	60
979	2944	57
980	2947	54
981	2950	51
982	2953	48
983	2957	45
984	2960	42
985	2962	39
986	2965	36
987	2968	33
988	2971	30
989	2974	27
990	2977	24
991	2979	21
992	2982	18
993	2985	15
994	2988	12
995	2991	9
996	2994	6
997	2997	3
998	2999	0
