iter	RMSE
458	37.33108786
459	37.24980353
460	37.20690104
461	37.10912706
462	37.05861436
463	37.02252449
464	36.93257968
465	36.8899549
466	36.83811632
467	36.78568875
468	36.73315223
469	36.68640996
470	36.610216
471	36.58157568
472	36.52657143
473	36.50029817
474	36.47385916
475	36.43595847
476	36.40256052
477	36.36291322
478	36.31541799
479	36.24761021
480	36.22130561
481	36.16656977
482	36.11267008
483	36.08209545
484	36.02848463
485	35.99459775
486	35.96759095
487	35.91655293
488	35.83469796
489	35.80805758
490	35.73293034
491	35.6896447
492	35.66939359
493	35.63117686
494	35.59139396
495	35.56587571
496	35.52495467
497	35.49276916
498	35.44446572
499	35.37285315
500	35.35049702
501	35.30560081
502	35.24122735
503	35.219478
504	35.17336874
505	35.09512563
506	35.02558171
507	34.97237696
508	34.94199195
509	34.90586769
510	34.87320048
511	34.80327814
512	34.74646729
513	34.72448441
514	34.70439921
515	34.66409466
516	34.60099042
517	34.55448559
518	34.47304088
519	34.44189066
520	34.40616089
521	34.37425782
522	34.31977163
523	34.29384536
524	34.24960087
525	34.22882793
526	34.20844924
527	34.16892361
528	34.13617262
529	34.11576465
530	34.08060262
531	34.06292693
532	34.0218308
533	33.97294838
534	33.94123997
535	33.91838578
536	33.89706722
537	33.86336588
538	33.83131808
539	33.78904918
540	33.74659699
541	33.69567058
542	33.67648419
543	33.62509228
544	33.58924494
545	33.56329576
546	33.52266218
547	33.50415779
548	33.48687401
549	33.43758467
550	33.39908698
551	33.36927787
552	33.33416627
553	33.30038838
554	33.25472637
555	33.23042391
556	33.17037416
557	33.14382387
558	33.11581024
559	33.08569419
560	33.06672626
561	33.04546191
562	33.00234044
563	32.98723543
564	32.96977835
565	32.94334326
566	32.90817226
567	32.88486528
568	32.86299119
569	32.84320079
570	32.82680781
571	32.79232909
572	32.7724482
573	32.71068113
574	32.67630594
575	32.64490729
576	32.62370014
577	32.59302415
578	32.5776543
579	32.55700579
580	32.52522234
581	32.49936336
582	32.46332011
583	32.44764865
584	32.43307224
585	32.3928313
586	32.35661278
587	32.34103249
588	32.32486364
589	32.30122008
590	32.27406058
591	32.25896218
592	32.22396233
593	32.18330444
594	32.16806358
595	32.1492442
596	32.09887645
597	32.08415407
598	32.06980626
599	32.05131971
600	32.03537264
601	32.01072686
602	31.97515275
603	31.93675781
604	31.91313861
605	31.87960148
606	31.85601384
607	31.81521896
608	31.7720306
609	31.755571
610	31.7286403
611	31.69160596
612	31.65863875
613	31.62050929
614	31.60607174
615	31.5924322
616	31.54357502
617	31.52395741
618	31.50859156
619	31.48140628
620	31.46931832
621	31.43936182
622	31.42513014
623	31.38815786
624	31.37221688
625	31.34285749
626	31.31426484
627	31.28648567
628	31.26961543
629	31.22712411
630	31.19007028
631	31.16559388
632	31.13563409
633	31.12017841
634	31.07595639
635	31.03852871
636	31.02677748
637	30.99912561
638	30.97319888
639	30.94901332
640	30.92427627
641	30.91001332
642	30.88135567
643	30.83694484
644	30.81696809
645	30.80518522
646	30.78405996
647	30.76003806
648	30.73935024
649	30.71000238
650	30.69487794
651	30.68075674
652	30.66677278
653	30.65210363
654	30.64114999
655	30.61498199
656	30.59053149
657	30.57373456
658	30.54498475
659	30.5310279
660	30.51938492
661	30.48180913
662	30.45428352
663	30.43689034
664	30.4096061
665	30.388038
666	30.37615206
667	30.34861627
668	30.31883916
669	30.28574565
670	30.26178851
671	30.24912228
672	30.2324424
673	30.21920104
674	30.18734373
675	30.17234475
676	30.15807173
677	30.13808254
678	30.11982172
679	30.09940125
680	30.08625082
681	30.0732662
682	30.05915919
683	30.04301829
684	29.99781061
685	29.96423927
686	29.9305703
687	29.91089448
688	29.88497753
689	29.87226496
690	29.84028416
691	29.82878461
692	29.81482905
693	29.78407231
694	29.76269405
695	29.73804389
696	29.72270388
697	29.69998114
698	29.68725517
699	29.67621983
700	29.6550396
701	29.6437749
702	29.63167506
703	29.61508254
704	29.6042944
705	29.5876496
706	29.5696838
707	29.55437665
708	29.53469859
709	29.52213552
710	29.49002033
711	29.4611599
712	29.41815501
713	29.40363069
714	29.38781566
715	29.36493489
716	29.32795134
717	29.27900063
718	29.24145398
719	29.22888363
720	29.21546366
721	29.20247914
722	29.17370275
723	29.140411
724	29.12867615
725	29.09838302
726	29.0617603
727	29.0496201
728	29.01715942
729	29.00548546
730	28.97125769
731	28.94594458
732	28.91486401
733	28.89230563
734	28.88035808
735	28.85683988
736	28.84202694
737	28.82391883
738	28.81243694
739	28.7962144
740	28.76147458
741	28.7411241
742	28.71250782
743	28.67287617
744	28.6568111
745	28.63613341
746	28.62491372
747	28.60692549
748	28.59665854
749	28.56520574
750	28.54837746
751	28.53117487
752	28.51240899
753	28.49792393
754	28.46839759
755	28.45721734
756	28.44306072
757	28.41608919
758	28.39735517
759	28.36383221
760	28.34866498
761	28.32710921
762	28.30265212
763	28.29167884
764	28.2809078
765	28.24876324
766	28.23031667
767	28.21544981
768	28.17020796
769	28.13501379
770	28.11226855
771	28.10113151
772	28.08107088
773	28.05463419
774	28.04294324
775	28.03071932
776	28.01437997
777	28.00435025
778	27.99299225
779	27.96480587
780	27.94776288
781	27.93717928
782	27.89859711
783	27.86477651
784	27.85183937
785	27.83638021
786	27.82572843
787	27.80027319
788	27.77337932
789	27.75454539
790	27.73094668
791	27.71075209
792	27.671369
793	27.66103355
794	27.63911847
795	27.62178397
796	27.60396497
797	27.57928938
798	27.56411901
799	27.53840077
800	27.52779994
801	27.50814016
802	27.49067522
803	27.4805005
804	27.46239114
805	27.43439019
806	27.42385808
807	27.40381188
808	27.38241775
809	27.36909928
810	27.35488025
811	27.34480161
812	27.32906157
813	27.31353995
814	27.29783231
815	27.28725501
816	27.26482461
817	27.24110007
818	27.23176449
819	27.22037789
820	27.19624346
821	27.17764868
822	27.15258614
823	27.14325409
824	27.12910256
825	27.1046288
826	27.08934595
827	27.06609478
828	27.03604775
829	27.02626517
830	27.01419395
831	26.99883363
832	26.98330337
833	26.97357569
834	26.95027539
835	26.93542999
836	26.92055
837	26.89914495
838	26.88804122
839	26.86448137
840	26.84612031
841	26.82870629
842	26.80111106
843	26.79147209
844	26.7779295
845	26.75660005
846	26.74339547
847	26.72645858
848	26.718182
849	26.69993293
850	26.68740124
851	26.65526581
852	26.64044292
853	26.61722081
854	26.60782401
855	26.59415046
856	26.56921381
857	26.55292199
858	26.5316339
859	26.52208322
860	26.49883922
861	26.48469658
862	26.46808791
863	26.43796225
864	26.42912024
865	26.41726569
866	26.3985322
867	26.39008414
868	26.3632746
869	26.34791401
870	26.33126661
871	26.32219436
872	26.30758234
873	26.29836652
874	26.27686109
875	26.26095211
876	26.25146422
877	26.22856623
878	26.1955309
879	26.18731249
880	26.1787253
881	26.17010244
882	26.16014364
883	26.14269221
884	26.13373453
885	26.12208593
886	26.11383719
887	26.10178601
888	26.0790568
889	26.05960166
890	26.0516402
891	26.04370519
892	26.00288178
893	25.97680267
894	25.95968847
895	25.94001941
896	25.91914035
897	25.89875127
898	25.8774578
899	25.86984163
900	25.85832543
901	25.83390297
902	25.81743899
903	25.80861073
904	25.78963995
905	25.7806582
906	25.75937835
907	25.74927037
908	25.73493946
909	25.72042577
910	25.70220493
911	25.68182301
912	25.66294625
913	25.63461804
914	25.62683317
915	25.61365791
916	25.6005566
917	25.59201067
918	25.58124595
919	25.57272816
920	25.55729739
921	25.52942743
922	25.51234852
923	25.50480387
924	25.48364653
925	25.46378108
926	25.4375376
927	25.42884722
928	25.42157277
929	25.40729574
930	25.38927586
931	25.35847785
932	25.34380448
933	25.33541018
934	25.31817624
935	25.31056175
936	25.29185545
937	25.27590617
938	25.25210232
939	25.21755792
940	25.21022999
941	25.1953362
942	25.17936537
943	25.16130807
944	25.14526201
945	25.12992624
946	25.11837828
947	25.0889033
948	25.0757797
949	25.05609281
950	25.04859992
951	25.02289274
952	25.00328533
953	24.99516121
954	24.97704989
955	24.96449393
956	24.93228947
957	24.91327239
958	24.89743892
959	24.89053864
960	24.88240493
961	24.86679989
962	24.85356839
963	24.84054827
964	24.8326652
965	24.81685114
966	24.80107886
967	24.78343689
968	24.76224794
969	24.75207083
970	24.7439596
971	24.72665958
972	24.70883445
973	24.70161166
974	24.69365024
975	24.68125601
976	24.67351975
977	24.65402035
978	24.6462931
979	24.63767844
980	24.61335573
981	24.59530405
982	24.57493285
983	24.55799691
984	24.54788241
985	24.53196467
986	24.52393917
987	24.5031207
988	24.49645789
989	24.48132705
990	24.45548578
991	24.43121279
992	24.41913428
993	24.40922864
994	24.38336476
995	24.36798253
996	24.33983627
997	24.33229727
998	24.32542075
