,CAS,NAME,SMILES
0,['72785-15-0'],"7-methyl-1,4-dioxacycloheptadecane-5,17-dione",CC1CCCCCCCCCC(=O)OCCOC(=O)C1
1,['72785-16-1'],(8Z)-cyclopentadec-8-en-1-one,C1CCCC(=O)CCCCCC/C=C\CC1
2,['72797-15-0'],2-hydroxy-3-nitro-4-undecylcyclopent-2-en-1-one,CCCCCCCCCCCC1CC(=O)C(=C1[N+](=O)[O-])O
3,['72797-24-1'],"1,9-bis(2-methylaziridin-1-yl)nonane-1,9-dione",CC1CN1C(=O)CCCCCCCC(=O)N2CC2C
4,['72797-25-2'],"N-methylacetamide;1,3,5,7-tetranitro-1,3,5,7-tetrazocane",CC(=O)NC.C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
5,['72812-40-9'],"(1,2,4-trimethylcyclohex-3-en-1-yl)methanol",CC1C=C(CCC1(C)CO)C
6,['72812-41-0'],6-methylheptyl tetradecanoate,CCCCCCCCCCCCCC(=O)OCCCCCC(C)C
7,['72812-43-2'],None,None
8,['72828-12-7'],(E)-4-ethenoxy-4-oxobut-2-enoic acid;ethenyl acetate,CC(=O)OC=C.C=COC(=O)/C=C/C(=O)O
9,['72828-50-3'],1-O-[(3R)-3-ethylheptyl] 6-O-(3-propylhexyl) hexanedioate,CCCC[C@@H](CC)CCOC(=O)CCCCC(=O)OCCC(CCC)CCC
10,['72828-54-7'],5-O-[(3R)-nonan-3-yl] 1-O-[(2R)-2-propylhexyl] pentanedioate,CCCCCC[C@@H](CC)OC(=O)CCCC(=O)OC[C@H](CCC)CCCC
11,['72828-80-9'],"2,2,3,3,4,4,5,5-octafluorooctyl pentanoate",CCCCC(=O)OCC(C(C(C(CCC)(F)F)(F)F)(F)F)(F)F
12,['72829-16-4'],bis[3-hydroxy-2-(hydroxymethyl)-2-methylpropyl] (E)-but-2-enedioate,CC(CO)(CO)COC(=O)/C=C/C(=O)OCC(C)(CO)CO
13,['72845-35-3'],"2,6-dimethyloct-5-enal",CCC(=CCCC(C)C=O)C
14,['72845-38-6'],3-methylpent-3-enyl propanoate,CCC(=O)OCCC(=CC)C
15,['72845-40-0'],[(E)-2-methylbut-2-enyl] (E)-2-methylbut-2-enoate,C/C=C(\C)/COC(=O)/C(=C/C)/C
16,['72845-44-4'],"2-[(5S)-3,3,5-trimethylcyclohexen-1-yl]acetonitrile",C[C@@H]1CC(=CC(C1)(C)C)CC#N
17,['72845-78-4'],"4-(dimethoxymethyl)-1,3-dimethylcyclohexene",CC1C=C(CCC1C(OC)OC)C
18,['72845-79-5'],2-oxopropyl propanoate,CCC(=O)OCC(=O)C
19,['72845-80-8'],"3,6-dimethyloctan-3-yl butanoate",CCCC(=O)OC(C)(CC)CCC(C)CC
20,['72845-82-0'],hexyl 2-oxocyclopentane-1-carboxylate,CCCCCCOC(=O)C1CCCC1=O
21,['72845-83-1'],"5,5-dimethyl-2-[(1E,3E)-penta-1,3-dienyl]-1,3-dioxane",C/C=C/C=C/C1OCC(CO1)(C)C
22,['72845-84-2'],5-methyl-3-(2-methylpropyl)oxolan-2-one,CC1CC(C(=O)O1)CC(C)C
23,['72845-95-5'],(2R)-4-cyclohexyloxy-2-methyl-4-oxobutanoic acid,C[C@H](CC(=O)OC1CCCCC1)C(=O)O
24,['72845-96-6'],"[(2E,4E)-hexa-2,4-dienyl] 3-methylbutanoate",C/C=C/C=C/COC(=O)CC(C)C
25,['72854-42-3'],1-heptoxy-3-hydroxypropan-2-one,CCCCCCCOCC(=O)CO
26,['72866-42-3'],"5-tert-butyl-1-N,1-N,3-N,3-N-tetramethylcyclopenta[c]pyrrole-1,3-diamine",CC(C)(C)C1=CC2=C(N=C(C2=C1)N(C)C)N(C)C
27,['72867-23-3'],methyl 2-prop-2-enylsulfanylacetate,COC(=O)CSCC=C
28,['72894-10-1'],[(E)-but-2-enyl] 2-pentoxyacetate,CCCCCOCC(=O)OC/C=C/C
29,['72901-31-6'],N-octadec-9-enyloctadec-9-enamide,CCCCCCCCC=CCCCCCCCCNC(=O)CCCCCCCC=CCCCCCCCC
30,['72905-87-4'],1-ethoxytridecane,CCCCCCCCCCCCCOCC
31,['72906-29-7'],2-cyano-N-[2-[2-[2-[(2-cyanoacetyl)amino]ethylamino]ethylamino]ethyl]acetamide;dihydrochloride,C(CNCCNC(=O)CC#N)NCCNC(=O)CC#N.Cl.Cl
32,['72906-41-3'],cyclohexanamine;2-[methyl-[(E)-octadec-9-enoyl]amino]acetic acid,CCCCCCCC/C=C/CCCCCCCC(=O)N(C)CC(=O)O.C1CCC(CC1)N
33,['72906-44-6'],2-(2-oxo-2-propan-2-yloxyethyl)icosanoic acid,CCCCCCCCCCCCCCCCCCC(CC(=O)OC(C)C)C(=O)O
