,Name,SMILES
94,['Fenpropimorph'],C[C@@H]1CN(C[C@@H](O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
95,"['2-Butenenitrile, E-']",None
96,"['Butane, 1-Isocyano-']",None
97,['2-Methylpiperidine'],CC1CCCCN1
98,"['Cyclohexanol, 1-Ethynyl-, Carbamate']",C#CC1(CCCCC1)OC(=O)N
99,['Diacetone Acrylamide'],CC(=O)CC(C)(C)NC(=O)C=C
100,"['Formamide, N,n-Dibutyl-']",CCCCN(CCCC)C=O
101,['5-Methylquinoxaline'],CC1=C2C(=CC=C1)N=CC=N2
102,"['Piperazine, 1-(2-Pyridinyl)-']",C1CN(CCN1)C2=CC=CC=N2
103,['2-Nitropropane'],CC(C)[N+](=O)[O-]
104,['Crotononitrile'],C/C=C/C#N
105,['Betazole'],C1=C(NN=C1)CCN
106,['Prodipine'],CC(C)N1CCC(CC1)(C2=CC=CC=C2)C3=CC=CC=C3
107,"['Cyclopentanamine, 1-Methyl-']",CC1(CCCC1)N
108,"[""N,n,n',n'-Tetrame Ethylenediamine""]",None
109,['4-Pyridine Ethaneamine'],None
110,['4-Vinylpyridine'],C=CC1=CC=NC=C1
111,"['Benzene, 1,3-Diisocyanato-']",C1=CC(=CC(=C1)N=C=O)N=C=O
112,['Methsuximide'],CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
113,"['Isoxazole, 5-Methyl-']",CC1=CC=NO1
114,['4-Isopropylnitrobenzene'],CC(C)C1=CC=C(C=C1)[N+](=O)[O-]
115,"['Nicotinic Acid, Butyl Ester']",CCCCOC(=O)C1=CN=CC=C1
116,['4-Phenylbutylamine'],C1=CC=C(C=C1)CCCCN
117,['Ethoxyquin'],CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
118,['Isobutyl Nitrate'],CC(C)CO[N+](=O)[O-]
119,['Pyrimidine'],C1=CN=CN=C1
120,"['Nitric Acid, 1-Methylpropyl Ester']",CCC(C)O[N+](=O)[O-]
121,"['2-Propanol, 1-(dimethylamino)-']",CC(CN(C)C)O
122,['Tecomanine'],C[C@H]1CN(C[C@@H]2C1=CC(=O)[C@H]2C)C
123,['Bufencarb'],CCCC(C)C1=CC(=CC=C1)OC(=O)NC.CCC(CC)C1=CC(=CC=C1)OC(=O)NC
124,['N-Nitrosodiethanolamine'],C(CO)N(CCO)N=O
125,['2-Methylbutyronitrile'],CCC(C)C#N
126,['4-Methyl-Pentylamine'],None
127,"['Hydrazine, 1,2-Bis(1-Methylethyl)-']",CC(C)NNC(C)C
128,['4-Methyl-2-Nitrophenol'],CC1=CC(=C(C=C1)O)[N+](=O)[O-]
129,"['N,n-Dimethyltriazenobenzene']",None
130,['N-(butoxymethyl)acrylamide'],CCCCOCNC(=O)C=C
131,"['Pentanenitrile, 4,4-Dimethyl-3-Oxo-']",CC(C)(C)C(=O)CC#N
132,"['3,4-Dimephenyl N-Methylcarbamate']",CC1=C(C=C(C=C1)OC(=O)NC)C
133,['Metamfepramone'],CC(C(=O)C1=CC=CC=C1)N(C)C
134,['Proheptazine'],CCC(=O)OC1(CCCN(CC1C)C)C2=CC=CC=C2
135,['Phenampromid(e)'],None
136,['Fenproporex'],CC(CC1=CC=CC=C1)NCCC#N
137,"['2-Propanamine, N-Ethyl-n-(1-Methylethyl)-']",CCN(C(C)C)C(C)C
138,['Oxolamine'],CCN(CC)CCC1=NC(=NO1)C2=CC=CC=C2
139,['1-Methylpyrazole'],CN1C=CC=N1
140,"['2,6-Dimethylpiperidine (cis-)']",None
141,"['Piperidine, 2,6-Dimethyl-']",CC1CCCC(N1)C
142,"[""Formamidine, N,n-Dimethyl-N'-Phenyl-""]",CN(C)C=NC1=CC=CC=C1
143,['2-Methyl-2-Nitropropane'],CC(C)(C)[N+](=O)[O-]
144,['Ciclonicate'],C[C@@H]1C[C@H](CC(C1)(C)C)OC(=O)C2=CN=CC=C2
145,['3-Nitropropene'],C=CC[N+](=O)[O-]
146,"['Butanenitrile, 3-Methyl-']",CC(C)CC#N
147,['Morpholine'],C1COCCN1
148,['Isoprocarb'],CC(C)C1=CC=CC=C1OC(=O)NC
149,['Fencamfamine'],CCNC1C2CCC(C2)C1C3=CC=CC=C3
150,['Mptp'],CN1CCC(=CC1)C2=CC=CC=C2
151,['Cropropamide'],CCCN(C(CC)C(=O)N(C)C)C(=O)/C=C/C
152,"['1,2-Ethanediamine, N-Ethyl-']",CCNCCN
153,"['Methanamine, 1,1-Diethoxy-N,n-Dimethyl-']",CCOC(N(C)C)OCC
154,['Spermidine'],C(CCNCCCN)CN
155,['2-Methylpyridine'],CC1=CC=CC=N1
156,"['1h-Pyrrole, 1-Ethyl-']",CCN1C=CC=C1
157,['Pyrrole'],C1=CNC=C1
158,"['Piperidine, 4-Methyl-']",CC1CCNCC1
159,"['Piperazine, 1-(2-Methoxyphenyl)-']",COC1=CC=CC=C1N2CCNCC2
160,['Dmp 30'],CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C
161,['2-Hydroxyethyl Carbamate'],C(COC(=O)N)O
162,"['Piperidine, 1-Ethyl-']",CCN1CCCCC1
163,['Terodiline'],CC(CC(C1=CC=CC=C1)C2=CC=CC=C2)NC(C)(C)C
164,"['Piperazine, 1,4-Dimethyl-']",CN1CCN(CC1)C
165,['1-Nitropropane'],CCC[N+](=O)[O-]
166,['Propionaldehyde Oxime'],CC/C=N/O
167,['3-Pyridine Ethaneamine'],None
168,"['N,n-Dimethylbenzamide']",CN(C)C(=O)C1=CC=CC=C1
169,['Moxastine'],CC(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN(C)C
170,"['2-Hexanamine, 4-Methyl-']",CCC(C)CC(C)N
171,['N-Hexylamine'],CCCCCCN
172,['Crotethamide'],CCC(C(=O)N(C)C)N(CC)C(=O)/C=C/C
173,['Dimemorfan'],CC1=CC2=C(C[C@H]3[C@@H]4[C@]2(CCCC4)CCN3C)C=C1
174,['Diethylhydroxylamine'],CCN(CC)O
175,['Butyl Nitrate'],CCCCO[N+](=O)[O-]
176,"['1,3-Propanediamine, N,n-Dimethyl-']",CN(C)CCCN
177,"['2-Propanone, (1-Methylethylidene)hydrazone']",CC(=NN=C(C)C)C
178,['Ethoheptazine'],CCOC(=O)C1(CCCN(CC1)C)C2=CC=CC=C2
179,['2-Nitrofuran'],C1=COC(=C1)[N+](=O)[O-]
180,['Cyclohexanamine'],C1CCC(CC1)N
181,"['2h-Azepin-2-One, 1-Acetylhexahydro-']",CC(=O)N1CCCCCC1=O
182,['2-Dimethylaminoethanol'],CN(C)CCO
183,['Phendimetrazine'],C[C@H]1[C@@H](OCCN1C)C2=CC=CC=C2
184,"[""1,2-Ethanediamine, N'-Ethyl-N,n-Dimethyl-""]",CCNCCN(C)C
185,['Butralin'],CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
186,"['1,2-Dinitroethane']",C(C[N+](=O)[O-])[N+](=O)[O-]
187,"['2-Butanamine, N-(1-Methylpropyl)-']",CCC(C)NC(C)CC
188,['Methylphenidate (ritalin)'],None
189,"['Hexanol, 6-Amino-']",C(CCCO)CCN
190,['Cyclopropanecarbonitrile'],C1CC1C#N
191,['Phencyclidine'],C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
192,"['2-Propanone, Oxime']",CC(=NO)C
193,['3-Ethoxy-Propionitrile'],CCOCCC#N
194,['Tert-Butyldiethanolamine'],CC(C)(C)N(CCO)CCO
195,"['2,4-Pentadienenitrile']",C=C/C=C/C#N
196,['Pheniprazine'],CC(CC1=CC=CC=C1)NN
