,Method,Training MAE,Training RMSE,Training R2,Test MAE,Test RMSE,Test R2
0,XGB,0.23653942843732742,0.3644739805869669,0.9848705071756765,0.34128562320312467,1.1159236110557276,0.7937243742630691
1,RF,0.11039407673078995,0.8880695354388498,0.9101774760690136,0.2818490277601216,0.6586387210375758,0.9281422692532778
2,DL1,1.4226352583436082,2.8228092354569267,0.09248383590476406,1.4864321787298573,2.4585891737664034,-0.0012693215912826794
3,DL2,1.2783674315359084,2.6619540317880257,0.19296492000919097,1.3924688258331515,2.524061434218281,-0.05530700842421887
