,Method,Training MAE,Training RMSE,Training R2,Test MAE,Test RMSE,Test R2
0,XGB,0.32554402316252096,1.3917638001162855,0.7965077590673693,0.4093560560202443,1.5540118843669393,0.6028968935618546
1,RF,0.09776065350586896,0.7863060416316854,0.9350468814951233,0.24836083172338186,0.5050628905813319,0.9580544848166469
2,DL,1.3983461570640343,2.880900178081334,0.1280869000086715,1.399038588553648,2.4663673894744322,-0.0002536662544025958
3,DL2,0.8810821733085439,2.329437611730692,0.4299421260863474,0.9469103833414633,1.7369935323470727,0.5038751099577234
