,no. Bit,Number Structure
0,0,2
1,3,1
2,4,1
3,7,1
4,11,1
5,21,1
6,23,1
7,24,3
8,25,1
9,27,1
10,32,2
11,33,1
12,37,1
13,61,1
14,74,1
15,76,2
16,80,2
17,103,1
18,105,1
19,106,1
20,115,1
21,116,1
22,121,1
23,122,1
24,124,1
