,train_loss,val_loss,N_Hidden,N_Layer
0,0.7191384322593494,0.45244740929789884,500,2
1,0.4297354566088974,0.2846221638923213,500,2
2,0.2748492923071752,0.17906617201140523,500,2
3,0.18646958563948493,0.12772459714215006,500,2
4,0.1432401549649773,0.10510022657606255,500,2
5,0.11392844541577707,0.09801006637573832,500,2
6,0.10191045351009528,0.08317960864382283,500,2
7,0.08873279110539578,0.06843982780044547,500,2
8,0.07561581424377438,0.06236715764466213,500,2
9,0.0688229679290687,0.05981510569939753,500,2
10,0.06763099808214544,0.06352805663907282,500,2
11,0.06404946971850435,0.054793112224767015,500,2
12,0.060489793878632514,0.04856975155264204,500,2
13,0.054866378507529956,0.042173586013783425,500,2
14,0.051536965578686485,0.04534288732296243,500,2
15,0.05043721030454412,0.04719617171137792,500,2
16,0.04840570015738632,0.0416669621078513,500,2
17,0.04888397194282211,0.04073106195556383,500,2
18,0.04278551353050453,0.03547442084345484,500,2
19,0.0432939032743868,0.03881295570865186,500,2
20,0.043756275984270385,0.040246816128073064,500,2
21,0.04214230163218908,0.03611587703670087,500,2
22,0.041675444255688796,0.03922756234016601,500,2
23,0.03937024460920045,0.03209476843917255,500,2
24,0.04055057257423165,0.03592201910460334,500,2
25,0.03865890304833141,0.031148726636806134,500,2
26,0.033710432941108155,0.030470145323612738,500,2
27,0.03363145361525643,0.030812752083502905,500,2
28,0.03535799223350273,0.03308778865402888,500,2
29,0.03419209132615455,0.027856259594706542,500,2
30,0.033750621528862684,0.03227433557336362,500,2
31,0.03229009972271974,0.02599360960701462,500,2
32,0.03261838492581087,0.0280273842053484,500,2
33,0.0327630029609934,0.0264579593430051,500,2
34,0.03254411781015044,0.02728799270699642,500,2
35,0.03228267849919371,0.02585240389184308,500,2
36,0.029631738894485535,0.02564822904618725,500,2
37,0.029763428575668015,0.026144761432797554,500,2
38,0.02818219144200794,0.024788274378538144,500,2
39,0.029093262331942243,0.026989091533638623,500,2
40,0.02804922366325654,0.024017713580728947,500,2
41,0.02725255607047789,0.024269491467200078,500,2
42,0.027193454511922684,0.021324626698785768,500,2
43,0.026653529772567238,0.022830495136397892,500,2
44,0.02862690863386122,0.026699242162937918,500,2
45,0.027248011759067825,0.022599019938757705,500,2
46,0.0248669571156338,0.021193039721738954,500,2
47,0.02544577456352668,0.021993278868936223,500,2
48,0.025760981415880506,0.019788553240117527,500,2
