,A_act,A_pred,B_act,B_pred,C_act,C_pred,0
1775,20.14294531595912,21.020914,3291.6374938387085,3561.4622,-88.15,-67.747925,470.0
572,22.556238700224323,22.243397,4544.388847288328,4210.6377,-34.46,-50.0656,369.0
1592,19.93145287516762,20.931446,3152.0087337995496,3527.4321,-79.15,-68.94475,454.0
331,23.15237798080048,23.29647,4279.672152072268,4795.2593,-19.036,-33.86952,358.0
1568,24.29379243724856,21.512693,4440.371868297415,3844.9932,0.0,-60.86087,272.5
1562,20.760406534496408,21.381609,3102.7334128094767,3758.2834,-58.15,-62.43107,357.5
485,26.063628417276576,21.502075,6602.513086129382,3850.4329,-35.95,-62.36441,418.5
1414,20.73599913251067,20.418089,3391.4775834709303,3229.183,-68.65,-76.6179,396.5
413,25.984810929543382,21.30091,7102.7174613910365,3795.9785,0.0,-65.50712,338.0
1763,20.032559386600987,20.305746,3189.9323102811613,3193.4165,-80.15,-78.502945,455.0
1284,23.333637479320974,20.794718,4335.14603213268,3524.5137,-115.0,-72.67328,482.0
453,23.05882394847213,21.669695,6202.238601318576,4052.293,-36.052,-61.028934,475.5
438,24.28932542216815,22.147356,6626.69022960582,4189.0156,-91.163,-50.944355,521.5
964,20.654648801175192,20.65935,3153.1830521969764,3357.1418,-59.55,-73.41452,367.0
1029,21.1533887323177,20.668724,3638.0222771330814,3434.9944,-78.871,-76.74022,433.5
1668,20.07891042452296,20.858324,3174.3668350525213,3459.857,-84.0,-70.081795,455.0
694,20.84125029711143,20.833326,2750.506971134177,3453.9792,-48.317,-70.32581,311.5
322,21.05506834884685,21.27775,3030.2019823801643,3695.6436,-58.15,-63.71823,341.5
1350,20.808553588790915,21.20803,3022.373193063984,3666.6157,-58.15,-64.75999,348.0
1681,19.97276125173593,20.407597,3167.5051314754,3248.705,-80.15,-76.75081,455.0
196,22.211334479144742,22.6714,4907.644671559068,4542.3745,-32.16,-44.70902,403.0
936,19.956574078532185,20.618294,5110.958330100257,3352.3423,0.0,-74.53545,304.5
596,20.678733841247908,20.380531,2852.879904368693,3199.0793,-51.208,-77.317566,328.0
120,23.453487033411317,20.843124,5299.896949905883,3553.6553,-40.19,-72.6362,405.0
1374,20.77889629279315,20.278698,3375.359487819972,3162.4094,-71.75,-79.38427,396.5
1611,20.648040381958296,20.538958,3396.1748570606383,3308.5422,-65.43,-74.68537,397.0
759,22.562685938484705,21.230341,4802.432650904892,3734.9656,-22.357,-67.937935,375.5
109,21.86083497628919,20.632513,4391.651470314754,3444.572,-70.184,-75.997475,429.5
305,20.937152966234628,20.2503,2400.8248859866367,3152.9968,-46.402,-79.59049,288.0
1830,24.086651882282816,20.253204,4760.45652465961,3168.788,-83.15,-79.42841,462.0
1454,20.16841190708764,21.839005,3344.5739251266414,3981.2656,-91.15,-55.065796,478.0
1844,20.03605931594234,20.74964,3267.82876397715,3423.1772,-87.15,-71.65377,471.0
755,21.234808141205967,21.389473,3618.254584109728,3790.5945,-63.884,-64.778595,392.5
344,25.62873917076279,22.316868,6616.128271784256,4196.444,0.0,-49.07745,406.5
427,21.12437616014597,20.752327,2659.025265389524,3392.0544,-44.15,-71.60983,291.5
561,23.04747220396367,21.612024,5004.574293633746,3899.3872,-44.743,-60.864006,399.5
1133,25.62523924142144,22.209253,6108.758251713204,4189.798,-0.15,-49.956577,382.0
845,22.078866758744795,21.987822,4411.614883071013,4171.451,-34.0,-54.609215,371.5
1623,26.061417935587297,22.961943,6026.157616672228,4641.4443,-33.851,-38.408344,348.0
1840,20.03605931594234,20.336105,3267.82876397715,3204.679,-87.15,-77.96399,471.0
1594,20.82066518638006,20.781002,2872.014386491473,3422.6038,-55.15,-71.59425,330.0
1317,22.62006635900212,23.556005,4906.903239159125,4942.7974,-48.995,-29.952724,423.5
613,23.14484852754639,20.895388,5433.267283662284,3551.842,-33.749,-70.97933,416.0
979,21.576373613900707,22.121548,3682.2940807160794,4140.0894,-71.45,-51.29569,389.5
1124,21.92316595475654,22.748415,4398.550015253364,4506.1216,-79.949,-43.428234,420.5
788,20.83203995673945,21.268196,3533.353666560852,3755.811,-88.677,-66.73261,401.0
710,23.69792946688356,22.388535,5690.75846685653,4363.5835,-40.706,-48.860046,468.0
611,18.761210053355256,21.70667,2998.672684701797,4030.2268,-135.697,-59.45203,401.0
1331,20.753521805068356,21.090698,2855.896290840515,3577.5933,-53.15,-66.79536,328.5
514,21.02375319158213,21.169395,4119.554989875647,3718.5935,-131.45,-67.24197,426.0
1164,23.556550742173727,24.282663,5154.553173665913,5310.543,-41.06,-19.142933,381.5
251,21.071877220025712,20.877804,3031.8828694980502,3457.6018,-57.77,-70.36248,342.5
976,20.614560794706165,20.289728,2837.153248183544,3156.8774,-51.73,-78.62089,329.5
1899,20.67329974042844,24.270308,3856.830030765027,5421.5664,-136.85,-20.908579,492.0
480,20.3388032039692,21.823698,2988.179804433023,4009.9368,-147.55,-57.28188,427.0
527,21.020759830961243,20.270098,3660.850105745024,3215.6204,-67.952,-82.587,419.5
239,21.27498825107872,21.341131,2734.084934250944,3672.8508,-47.175,-62.388012,300.0
1606,20.71509165986628,21.401316,3291.0848734163897,3746.1013,-69.05,-62.090828,388.0
1582,19.98116568732536,20.386875,2782.651059032374,3203.8618,-62.0,-77.23219,391.0
932,20.810787096331115,22.772596,4008.066122257969,4595.664,-108.709,-42.61737,501.0
254,23.031146875654343,20.629845,4112.5459208525735,3350.7803,-35.329,-74.41685,360.0
1689,20.10948875455792,20.898664,3141.531971626426,3479.17,-71.15,-69.273415,437.0
1222,21.64579655445448,21.919514,2928.704031480987,4006.6626,-102.78,-54.429443,362.0
1055,23.003700061345857,21.818256,5842.924802727041,3977.2166,-2.239,-57.117283,482.5
1735,19.942758567974224,20.212551,3081.756862612301,3149.6472,-83.0,-80.048004,449.0
1567,24.32819305853789,21.449978,6134.086687736139,3806.5872,0.0,-61.730625,364.5
518,20.981846142889644,20.54298,3631.915821466461,3404.4966,-66.828,-76.585594,420.0
1211,22.76218191094171,22.641045,4328.666557680995,4406.9556,-98.181,-43.81647,396.0
1433,20.12514633319028,20.978073,3165.732140953793,3536.7717,-84.0,-69.05575,452.0
1425,20.122199024271247,21.442385,3206.349741994209,3785.1948,-78.15,-61.995697,451.0
700,19.61864669028438,20.715895,2771.874960797162,3399.666,-107.515,-72.62096,333.0
23,21.636148722914832,22.297764,3076.276710090975,4201.614,-106.83,-48.60295,362.5
306,20.905147033442013,21.719063,2535.1461873864446,3916.0974,-57.17,-57.790066,298.0
63,22.701393664486663,23.004002,4469.105827672887,4627.4243,-92.898,-37.86488,439.5
425,21.83797030631576,23.882616,4287.88777568407,5079.075,-104.561,-25.96892,353.0
303,23.2026894650824,20.842846,4289.529518855376,3456.35,-29.918,-71.38526,363.0
1580,20.79768538715198,21.223133,3031.81379194526,3681.0017,-58.15,-64.680595,349.5
715,23.36106126777853,25.397848,5464.911710595301,5930.338,-30.36,-3.2836745,408.5
429,22.97224674897556,20.891254,4564.812777063185,3489.8408,-42.633,-70.77548,368.0
1733,20.129475193165103,20.196934,3175.9325929157576,3134.8835,-84.0,-80.15004,453.0
921,21.367183758202195,22.557428,3081.895017717881,4389.7114,-96.77,-44.269005,376.5
188,23.54678778137943,22.136654,6376.571923879341,4216.0557,-46.48,-51.93025,525.0
1432,20.12514633319028,20.718468,3165.732140953793,3412.8633,-84.0,-73.29426,452.0
1251,20.804086573710503,20.721046,3030.2019823801643,3405.174,-58.15,-72.22014,349.0
1848,20.11073215050813,21.092348,3287.9073059880584,3600.1418,-90.15,-66.45684,473.0
1296,23.31823318504884,22.375721,4305.903201451655,4398.356,-115.0,-49.33599,480.0
1809,19.805685677388283,21.137825,3245.6088178297573,3647.011,-91.15,-65.6128,483.0
859,21.770942054258704,21.790197,3557.4939686758007,3974.8257,0.0,-56.381157,277.0
554,21.49559892883848,22.17014,3829.700973199371,4250.3887,-55.85,-51.164516,387.5
416,23.53621891580259,23.683714,5859.641570502178,5084.0215,-64.75,-29.833227,465.0
1552,20.34032291013057,22.033285,2764.732341838695,4098.048,-98.591,-53.291733,362.5
1067,23.778243634927197,22.371723,5794.114603925753,4250.4575,1.203,-47.2378,410.0
602,20.67030637980755,20.730877,3026.3106135730045,3392.72,-55.669,-71.96307,353.0
1301,20.731186729666312,20.667402,2680.508384307159,3365.5447,-48.401,-73.59973,307.5
115,20.9486658916996,20.719406,3358.7946906609727,3476.9487,-60.109,-73.83681,379.0
1489,20.756238855478088,21.429203,3110.5622021256568,3779.1665,-58.15,-61.247173,358.0
765,21.24282113732959,20.88667,3010.8004003865967,3456.459,-36.118,-69.76935,368.5
526,22.98841089632837,18.621002,4288.290728075344,2431.1462,-80.052,-109.60636,303.5
865,21.121543980481597,21.576117,3898.534451969336,3904.0437,-94.212,-62.22937,444.0
1389,20.245341275044566,21.375055,3079.200993159078,3718.7354,-66.0,-62.258183,419.0
591,20.657112567224694,20.761482,2393.9746953349795,3399.6907,-42.12,-71.27578,270.5
720,22.90577111734082,21.497284,4888.213155959292,3857.8894,-41.531,-63.221416,391.0
1785,19.9917345529022,20.195166,3233.865633855488,3141.402,-89.15,-80.67787,471.0
420,22.85670302900912,23.356232,5403.692880727868,4908.0986,-45.117,-34.31603,434.5
1466,20.105712515005408,20.65517,3170.176130183273,3367.1567,-75.15,-72.9072,445.0
173,25.130828170253757,22.849598,7088.551957898937,4641.4746,0.0,-41.58707,345.5
1605,20.70509844056269,20.101261,3371.2148346525823,3082.0103,-66.95,-81.44673,393.5
1229,20.82227699594516,20.007889,3272.203675653838,3016.5164,-63.15,-83.125755,376.5
1341,20.76733731562632,20.183037,3335.9852827297736,3121.606,-71.85,-80.67835,393.0
482,22.00909843042708,22.425255,4635.564309215613,4340.3804,-69.15,-49.127144,488.5
772,22.674867884215374,22.748991,4998.311262180802,4506.98,-18.889,-42.71938,383.5
1323,20.7197198559032,21.171867,2918.066088351354,3646.7349,-53.15,-65.29262,335.5
1006,20.646129236331117,20.940928,3154.4724998490533,3509.4211,-57.01,-69.09128,365.0
32,21.288665606531097,20.501287,2153.1242946078023,3235.7776,-29.57,-75.328766,226.5
879,23.638868159248265,21.383743,5562.278823837648,3823.7559,-34.165,-63.3713,412.0
203,24.16956797148153,23.503534,5298.0410663209295,4886.5605,-24.13,-30.614685,371.0
270,21.123432100257848,22.22239,3374.657199366609,4276.422,-65.548,-50.872284,385.0
124,21.14530665864129,20.720737,3823.580702022193,3470.8318,-72.51,-73.433945,427.5
1546,24.644568250315277,23.30113,5758.765317578109,4773.4243,0.0,-33.603504,404.5
163,21.150003932231,21.693552,3514.9421961572707,3996.886,-113.214,-59.230034,455.5
1573,20.80146162670449,20.775288,3033.4256015103565,3427.3245,-58.15,-71.18329,349.5
650,20.701161020053668,20.89836,2376.843462243104,3493.5413,-40.05,-69.99104,272.5
1553,21.54851233427548,21.89718,3687.3597679206655,4028.3755,-71.35,-54.760433,390.5
1381,20.81032657931252,20.898836,3008.097165487422,3480.478,-58.15,-69.44259,347.0
49,22.272537190916523,22.41727,4969.119088371824,4330.797,-33.952,-47.9213,408.0
864,20.24522614578992,20.912937,2567.3593528374317,3483.6614,-55.0,-69.190216,349.0
233,20.568209756784192,20.255442,2154.696960226317,3113.5356,-34.361,-78.77139,247.0
1315,20.853546101508016,20.365622,3269.25176156462,3249.5642,-70.374,-79.368454,389.0
774,24.398905446743736,20.598661,5243.3546703623215,3341.4678,8.743,-75.079575,337.0
1074,24.10500348547398,22.657654,5731.580997970221,4455.9204,0.0,-44.27165,397.5
1494,20.69890448666253,20.68846,2998.1499978856878,3370.6838,-55.555,-72.592766,346.0
1446,20.178036712776358,20.748041,3330.9886730779767,3425.545,-90.15,-72.27557,475.0
256,20.618314008407744,20.43343,2748.388592848623,3234.7913,-51.343,-76.563446,315.0
247,20.686700785669665,20.928066,2930.546099555382,3516.5225,-58.155,-69.03293,343.0
351,21.199900951196177,21.482857,3517.4289880577044,3813.779,-66.45,-63.16753,391.0
218,22.672219911358432,23.847466,4767.110995578363,5092.5566,-42.704,-26.386845,410.5
365,21.58282085216109,21.952202,3918.999828275866,4131.5605,-139.05,-55.892426,488.0
1617,20.622850101040942,20.183681,3305.591159502252,3134.2263,-65.05,-80.36352,388.5
352,23.831847815892093,24.189505,7053.329313731408,5318.2153,-0.215,-23.34705,394.0
1761,20.23995322592696,20.852226,3215.4219272606056,3487.1335,-75.15,-70.92423,444.0
1874,24.852261425703336,21.293207,5913.03851880871,3716.6873,0.0,-63.480003,384.5
220,21.71699248552985,20.05918,3728.4079523734704,3093.804,-54.183,-84.2449,379.0
298,20.87097667066198,21.140715,2658.134164958536,3563.35,-65.752,-65.98493,323.0
1557,21.90472224816165,22.263334,3725.582680464366,4251.4155,-93.15,-49.616966,404.0
78,18.393947731022703,22.991116,3468.489844491209,4699.737,-113.642,-39.81011,307.5
59,23.01829845083544,20.721851,2727.3613857794016,3390.923,-49.322,-72.38211,316.5
679,19.706052820414435,21.98183,3462.17615616622,4150.969,-142.01,-54.65054,414.0
350,20.861075554762103,20.719187,3121.0619901497093,3427.0347,-60.1,-74.323074,354.5
1000,22.527387309009107,21.48293,4895.767937649405,3845.236,-65.738,-63.144463,434.5
1718,19.83403049988304,20.549156,3078.09575231444,3331.8215,-76.15,-74.59194,447.0
316,22.521907156487774,21.647385,4864.945533594587,4024.2266,-61.783,-63.913464,420.5
73,21.581669559614596,21.609589,3524.3367433366866,3867.1248,-121.15,-58.74009,423.5
1258,20.393996168648265,20.270493,3103.4241883373747,3149.092,-58.15,-79.26384,369.0
1601,20.72112443280993,20.222742,3342.6627794994565,3138.655,-69.55,-80.02439,393.0
210,20.14393542754911,21.633165,3630.5089419746414,3923.2378,-126.15,-59.171024,448.0
69,20.573275443988777,20.455318,2595.934433841488,3237.711,-44.154,-75.97442,301.0
162,22.682121027258304,21.825756,4856.317747251139,4081.7847,-28.379,-57.55575,382.5
903,20.97217528549907,20.613312,3911.194064810616,3461.8655,-85.15,-76.86743,454.5
618,20.705674086835938,21.409773,3026.2645618711445,3735.5713,-59.091,-61.737537,349.0
1904,24.72267193666963,23.692787,6901.25047609443,5016.841,-7.17,-29.282045,442.0
1737,20.197746841172386,20.465965,3234.533383532456,3259.2336,-78.15,-76.49342,451.0
620,21.758692301563972,21.69865,4216.756316991298,3994.5388,-101.291,-58.964382,457.5
495,20.8794501838042,20.308022,2653.8905006321475,3185.243,-38.64,-79.46005,292.0
1182,20.86178935614093,21.291332,3382.0853388766072,3681.5127,-61.62,-63.851223,382.5
1787,20.12889954689186,20.729643,3294.8841388198302,3408.0698,-89.15,-72.23285,472.0
974,21.819089108553207,20.121521,3760.908940961081,3070.2256,-41.575,-81.89078,308.0
538,21.44607032348817,24.028141,2535.008032280865,5188.3193,-24.0,-22.006163,204.5
1110,20.808254252728823,20.941904,2761.26004351846,3514.2017,-53.15,-68.503624,318.0
45,19.90400606085913,22.063337,1988.051969291059,4102.1177,-137.85,-51.929085,347.5
1175,21.64752349327422,21.394146,5315.1699968277135,3838.1982,0.0,-63.485767,315.5
1417,20.26544284290641,20.709133,3312.222604570075,3415.4604,-82.15,-73.12307,461.0
1739,20.161296919150285,21.173195,3213.5798591862103,3629.6182,-83.0,-65.199356,455.0
1695,19.86656602724705,21.463547,3020.5080991386594,3803.9355,-83.0,-60.719193,445.0
1117,20.772310899427183,20.390423,2822.9693240107003,3212.6194,-53.15,-77.3785,353.0
76,24.02333079222548,21.421772,6188.549732940726,3850.9954,-44.505,-62.827164,454.0
1826,24.071500872370912,20.934122,4779.798239440761,3524.6013,-84.15,-69.00569,465.0
1353,20.64267535869162,21.693455,3932.815338833831,3973.3694,0.0,-60.24837,367.5
1883,20.83240837035433,21.010313,2968.7229603972232,3568.6196,-58.15,-67.78689,342.0
1460,25.543543522322008,22.5197,6904.789549382362,4453.569,0.0,-47.25632,328.0
999,24.67565314907069,23.796513,6207.769410711948,5053.677,-0.15,-26.394793,413.5
692,22.75888921425873,23.31214,5046.0714821796855,4794.414,-37.714,-34.313313,403.5
962,22.52174597553127,24.470362,5621.040795410856,5401.164,-28.815,-15.251485,469.0
30,21.88646274837421,20.151693,2886.895993947494,3053.3474,-20.307,-80.77672,280.5
1040,20.701943898985284,20.583635,3248.7380309711366,3404.9604,-76.065,-77.0185,398.0
943,20.77196551166324,22.05277,3625.7656166830743,4204.8154,-70.0,-53.955776,462.0
841,20.85824337509772,21.145054,3391.086144005121,3604.6118,-76.77,-66.04714,400.5
1285,21.6791149607501,20.933496,4020.543830876904,3541.3982,-71.15,-70.92156,444.0
450,23.1798478209599,21.381388,4620.984340406775,3753.6526,-41.847,-62.594135,367.0
432,22.018999546326956,22.5562,4034.283356126799,4361.2036,-55.08,-46.16382,370.0
1481,20.745025266075206,20.906603,3317.804070835493,3512.9343,-61.689,-69.79111,406.5
1498,20.393075134611067,20.446743,2634.9171994658764,3236.119,-43.0,-76.120316,340.0
1208,22.479263280565533,20.121521,4174.886109660295,3070.2256,-26.095,-81.89078,309.0
1526,20.144534099673287,25.194838,3214.2015571613188,5742.0205,-109.61,-4.8240576,383.0
44,23.026311446959056,21.801695,3694.9582987275458,3954.97,-64.95,-55.741325,369.5
1007,19.453850675178792,20.769796,2449.3288409705565,3415.9019,-85.56,-71.35302,357.5
168,21.455741180878743,21.10528,3633.278951841514,3661.2192,-55.83,-67.60004,373.5
575,22.19360457392869,22.41177,3881.055528528417,4329.0723,-72.945,-48.38651,437.0
354,21.06059455307004,23.3797,3373.2871612362774,4810.879,-72.15,-31.823786,388.0
1834,24.0505703738756,21.419657,4784.357357924889,3782.9697,-85.15,-61.87679,467.0
552,23.519502148027453,25.556528,6611.186924174691,6146.9507,-44.143,-2.2986126,497.5
1324,25.710665148371515,21.287968,6113.363421899192,3708.6597,0.0,-63.61352,385.5
1395,20.556098159195045,20.24529,3102.503154300178,3159.9497,-63.15,-79.43633,367.0
1368,20.76876491838397,20.559757,2828.2652697245867,3306.2896,-53.15,-74.98316,325.5
576,20.694368394029336,20.743315,2600.9310434932845,3414.3557,-68.91,-73.238686,321.0
529,20.61941924925238,20.419981,3547.6066682864844,3312.4622,-84.669,-80.8796,439.5
1662,20.0764006067716,21.606909,3130.6867958384246,3857.0298,-83.0,-59.227737,449.0
1822,24.08906959663046,21.100088,4811.619965425938,3618.696,-86.15,-66.393,469.0
185,22.21214038392729,20.11817,4339.663704085135,3143.263,-32.656,-83.30427,369.5
941,20.762640042036608,20.824688,3974.1006895512137,3563.9497,-83.15,-75.93352,386.5
1447,20.169471096230417,21.963562,3310.4035623466098,4060.117,-90.15,-53.585217,473.0
307,23.34620959392872,21.315332,3481.499450266625,3725.0693,4.316,-63.880608,246.5
1849,19.09315072036128,20.795128,2472.5158728570063,3422.658,-136.101,-71.03971,405.0
479,20.520362038551777,20.979752,2975.416575262557,3527.8074,-82.627,-68.87548,387.5
1796,20.16293175456631,20.241676,3264.720274101608,3168.4622,-86.15,-79.58687,464.0
1664,19.9368178984343,19.73559,3104.805739393172,2895.0527,-84.0,-87.27885,453.0
1299,21.28871165823296,20.934221,3841.515537311524,3589.199,-67.012,-70.148476,416.5
1574,20.834549774490814,21.084986,2970.334769962319,3598.5898,-58.15,-66.62652,342.0
1866,20.78525142764981,21.033268,3055.530418403099,3553.6582,-58.15,-67.58344,352.0
1469,20.693539463395854,19.69242,3414.015286361156,2869.0566,-69.081,-87.96844,398.0
1539,22.27923771353714,21.224352,4224.826877742242,3688.637,-41.13,-66.278625,359.0
123,22.091530976756264,21.859673,3993.304249226784,4023.7964,-77.601,-56.953346,378.0
411,22.929464717947727,23.066317,4374.750495732178,4652.059,-35.58,-38.469532,348.5
483,24.2079981166836,24.178638,4694.971004614859,5277.756,0.0,-21.31207,315.5
985,21.02937149920904,21.266766,3957.469117424518,3814.7534,-98.944,-69.04991,475.0
1165,26.233858533201623,23.682247,6521.4666960261775,4942.451,-8.486,-27.738926,398.0
1493,25.2524507148657,22.024689,5998.2341672494895,4102.2075,0.0,-52.526882,397.0
917,21.04857505888461,21.040361,4040.3046161449774,3658.6619,-102.038,-69.117294,489.0
1797,20.175572946726845,21.26229,3295.4597850930786,3703.1057,-86.15,-64.62011,467.0
194,21.81835228132345,18.903126,3936.5409215142954,2425.112,-60.12,-100.694336,385.0
