,Name,SMILES,A,B,C,Tmin,Tmax,No.C,SMILES,Atom,Count Unique Atom,Pass Screen
522,2-Methoxy-5-(2-propenyl)phenol,COC1=C(C=C(C=C1)CC=C)O,24.37624801,6468.237836,-23.75,356,527,10,COC1=C(C=C(C=C1)CC=C)O,"[1, 6, 8]",3,TRUE
523,Hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,24.79886448,7067.847113,-20.296,375,553,9,C1=CC=C(C=C1)CCC(=O)O,"[1, 6, 8]",3,TRUE
524,Cycloheptanol,C1CCCC(CC1)O,22.9884109,4288.290728,-80.052,284,323,7,C1CCCC(CC1)O,"[1, 6, 8]",3,TRUE
525,Cyclohepta,C1CCCC(=O)CC1,21.02075983,3660.850106,-67.952,374,465,7,C1CCCC(=O)CC1,"[1, 6, 8]",3,TRUE
526,Citronellic acid,CC(CCC=C(C)C)CC(=O)O,25.33750821,6737.900484,-42.951,373,530,10,CC(CCC=C(C)C)CC(=O)O,"[1, 6, 8]",3,TRUE
527,Cycloocta,C1CCCC(=O)CCC1,20.61941925,3547.606668,-84.669,395,484,8,C1CCCC(=O)CCC1,"[1, 6, 8]",3,TRUE
528,5-Nona,CCCCC(=O)CCCC,21.0951103,3633.698022,-81.803,357,459,9,CCCCC(=O)CCCC,"[1, 6, 8]",3,TRUE
529,2-Butyne,CC#CC,21.13879034,2517.738644,-38.19,245,320,4,CC#CC,"[1, 6]",2,TRUE
530,Azetidine,C1CNC1,20.45655741,3327.495651,-30.036,210,315,3,C1CNC1,"[1, 6, 7]",3,TRUE
531,Oxetane,C1COC1,21.18645385,2684.855665,-42.818,300,353,3,C1COC1,"[1, 6, 8]",3,TRUE
532,(Z)-2-Butenoic acid,C/C=C\C(=O)O,22.5243479,3960.906877,-82.35,348,445,4,C/C=C\C(=O)O,"[1, 6, 8]",3,TRUE
533,3-Methylbutanoic acid,CC(C)CC(=O)O,22.14898047,3767.710777,-95,363,464,5,CC(C)CC(=O)O,"[1, 6, 8]",3,TRUE
534,"3,5-Dihydroxy-toluene",CC1=CC(=CC(=C1)O)O,20.81817839,4089.697369,-139.122,395,473,7,CC1=CC(=CC(=C1)O)O,"[1, 6, 8]",3,TRUE
535,"2,6-Dimethyl-2,5-heptadien-4-one",CC(=CC(=O)C=C(C)C)C,23.435642,5175.525119,-35.947,315,470,9,CC(=CC(=O)C=C(C)C)C,"[1, 6, 8]",3,TRUE
536,Carbon suboxide,C(=C=O)=C=O,21.44607032,2535.008032,-24,160,249,3,C(=C=O)=C=O,"[6, 8]",2,TRUE
537,1-Methyl-3-isopropylcyclo-pentane carboxylic acid,CC(C)C1CCC(C1)(C)C(=O)O,21.93440257,4290.107468,-123.484,375,537,10,CC(C)C1CCC(C1)(C)C(=O)O,"[1, 6, 8]",3,TRUE
538,2-Methyl-2-butene,CC=C(C)C,20.93392935,2588.865498,-36.52,229,328,5,CC=C(C)C,"[1, 6]",2,TRUE
539,"2,3-Dimethyl-1,3-butadiene",CC(=C)C(=C)C,21.36471999,3036.018312,-33.077,273,342,6,CC(=C)C(=C)C,"[1, 6]",2,TRUE
540,"3-Acetyl-6-methyl-2H-pyran-2,4(3H)-dione",CC1=CC(=O)C(C(=O)O1)C(=O)C,23.44349381,5925.064921,-45.437,365,542,8,CC1=CC(=O)C(C(=O)O1)C(=O)C,"[1, 6, 8]",3,TRUE
541,"1,2,3-Trimethylbenzene",CC1=C(C(=CC=C1)C)C,21.11723815,3680.085902,-65.53,338,479,9,CC1=C(C(=CC=C1)C)C,"[1, 6]",2,TRUE
542,"2,3-Dimethylphenol",CC1=C(C(=CC=C1)O)C,21.00422727,3630.670123,-106.977,378,520,8,CC1=C(C(=CC=C1)O)C,"[1, 6, 8]",3,TRUE
543,"2,3,5,6-Tetramethylphenol",CC1=CC(=C(C(=C1C)O)C)C,23.48420352,6297.273196,4.874,381,522,10,CC1=CC(=C(C(=C1C)O)C)C,"[1, 6, 8]",3,TRUE
544,"1,2,3,5-Tetramethylbenzene",CC1=CC(=C(C(=C1)C)C)C,19.82141233,2909.086006,-120.52,360,503,10,CC1=CC(=C(C(=C1)C)C)C,"[1, 6]",2,TRUE
545,"3,4,5-Trimethylphenol",CC1=CC(=CC(=C1C)C)O,23.7813291,5834.564116,-44.647,397,521,9,CC1=CC(=CC(=C1C)C)O,"[1, 6, 8]",3,TRUE
546,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,22.59430043,4951.414512,-45.798,367,493,9,CC1=CC(=C(C(=C1)C)O)C,"[1, 6, 8]",3,TRUE
547,1-Methyl-2-isopropylbenzene,CC1=CC=CC=C1C(C)C,22.04386747,4383.316112,-34.646,355,453,10,CC1=CC=CC=C1C(C)C,"[1, 6]",2,TRUE
548,1(2H)-Naphthale,C1C=CC2=CC=CC=C2C1=O,19.99132009,3371.125034,-138.205,388,534,10,C1C=CC2=CC=CC=C2C1=O,"[1, 6, 8]",3,TRUE
549,"1,1-Diphenyl-hydrazine",C1=CC=C(C=C1)N(C2=CC=CC=C2)N,23.51950215,6611.186924,-44.143,399,596,12,C1=CC=C(C=C1)N(C2=CC=CC=C2)N,"[1, 6, 7]",3,TRUE
550,1-Methyl-3-isopropylbenzene,CC1=CC(=CC=C1)C(C)C,21.80734592,4152.286237,-44.133,352,450,10,CC1=CC(=CC=C1)C(C)C,"[1, 6]",2,TRUE
551,4-Ethylpyridine,CCC1=CC=NC=C1,21.49559893,3829.700973,-55.85,333,442,7,CCC1=CC=NC=C1,"[1, 6, 7]",3,TRUE
552,3-Ethylpyridine,CCC1=CN=CC=C1,21.41242956,3781.553919,-55.929,334,440,7,CCC1=CN=CC=C1,"[1, 6, 7]",3,TRUE
553,Diallyl cyanamide,C=CCN(CC=C)C#N,23.09603372,5350.982103,-32.619,369,495,7,C=CCN(CC=C)C#N,"[1, 6, 7]",3,TRUE
554,Pentylbenzene,CCCCCC1=CC=CC=C1,20.92451177,3745.200705,-80.15,361,510,11,CCCCCC1=CC=CC=C1,"[1, 6]",2,TRUE
555,2-Methylpropylbenzene,CC(C)CC1=CC=CC=C1,20.86091437,3522.863089,-68.51,334,470,10,CC(C)CC1=CC=CC=C1,"[1, 6]",2,TRUE
556,Benzyl ethyl ether,CCOCC1=CC=CC=C1,22.18158508,4428.158957,-42.884,299,458,9,CCOCC1=CC=CC=C1,"[1, 6, 8]",3,TRUE
557,4-Tolylhydrazine,CC1=CC=C(C=C1)NN,24.55559636,6179.228868,-40.878,355,512,7,CC1=CC=C(C=C1)NN,"[1, 6, 7]",3,TRUE
558,Ethyl levulinate,CCOC(=O)CCC(=O)C,23.0474722,5004.574294,-44.743,320,479,7,CCOC(=O)CCC(=O)C,"[1, 6, 8]",3,TRUE
559,Isobutyl butyrate,CCCC(=O)OCC(C)C,22.47702977,4440.949817,-25.079,277,430,8,CCCC(=O)OCC(C)C,"[1, 6, 8]",3,TRUE
560,Isobutyl propionate,CCC(=O)OCC(C)C,22.48234874,4044.651897,-40.891,270,410,7,CCC(=O)OCC(C)C,"[1, 6, 8]",3,TRUE
561,Ethyl methyl ether,CCOC,18.4364074,1161.631154,-112.4,232,299,3,CCOC,"[1, 6, 8]",3,TRUE
562,tert-Butyl nitrite,CC(C)(C)ON=O,22.53079513,3707.162,0,267,337,4,CC(C)(C)ON=O,"[1, 6, 7, 8]",4,TRUE
563,"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,20.57695958,2896.306659,-52.383,272,398,8,CC(C)CC(C)(C)C,"[1, 6]",2,TRUE
564,Butyramide,CCCC(=O)N,22.08266602,4164.351783,-109.32,320,398,4,CCCC(=O)N,"[1, 6, 7, 8]",4,TRUE
565,Isopropyl nitrite,CC(C)ON=O,21.51765769,3131.515726,0,253,268,3,CC(C)ON=O,"[1, 6, 7, 8]",4,TRUE
566,3-Methyl-2-butenoic acid,CC(=CC(=O)O)C,23.23722824,4631.880173,-72.65,369,471,5,CC(=CC(=O)O)C,"[1, 6, 8]",3,TRUE
567,Tetrahydro-2-pyra,C1CCOC(=O)C1,21.54957152,4231.944168,-58.49,310,481,5,C1CCOC(=O)C1,"[1, 6, 8]",3,TRUE
568,Propyl nitrite,CCCON=O,22.09330397,3407.825938,0,253,268,3,CCCON=O,"[1, 6, 7, 8]",4,TRUE
569,Diisopentyl ether,CC(C)CCOCCC(C)C,22.5562387,4544.388847,-34.46,291,447,10,CC(C)CCOCCC(C)C,"[1, 6, 8]",3,TRUE
570,"1,3,5-Cycloheptatriene",C1C=CC=CC=C1,21.15295124,3275.005922,-48.168,273,338,7,C1C=CC=CC=C1,"[1, 6]",2,TRUE
571,Methyl isobutyrate,CC(C)C(=O)OC,21.57234409,3298.637353,-37.32,366,533,5,CC(C)C(=O)OC,"[1, 6, 8]",3,TRUE
572,Dimethyl oxalate,COC(=O)C(=O)OC,22.19360457,3881.055529,-72.945,346,528,4,COC(=O)C(=O)OC,"[1, 6, 8]",3,TRUE
573,Methyl propanoate,CCC(=O)OC,20.69436839,2600.931043,-68.91,267,375,4,CCC(=O)OC,"[1, 6, 8]",3,TRUE
574,Methyl 3-methylbutanoate,CC(C)CC(=O)OC,21.88791338,3614.284927,-41.247,253,390,6,CC(C)CC(=O)OC,"[1, 6, 8]",3,TRUE
575,Propyl isovalerate,CCCOC(=O)CC(C)C,22.45573086,4292.732415,-36.751,281,429,8,CCCOC(=O)CC(C)C,"[1, 6, 8]",3,TRUE
576,Methyl propyl ether,CCCOC,17.57360574,1101.303424,-130.18,254,335,4,CCCOC,"[1, 6, 8]",3,TRUE
577,3-Ethoxy-1-propene,CCOCC=C,20.94189629,2758.036424,-47.88,244,401,5,CCOCC=C,"[1, 6, 8]",3,TRUE
578,"1,2-Epoxy-2-methylpropane",CC1(CO1)C,20.10398558,2454.758337,-42.771,204,329,4,CC1(CO1)C,"[1, 6, 8]",3,TRUE
579,"3,3-Dimethyl-1-butene",CC(C)(C)C=C,20.26829805,2326.808288,-48.241,232,337,6,CC(C)(C)C=C,"[1, 6]",2,TRUE
580,Isobutylene glycol,CC(C)(CO)O,25.81658406,5616.166223,-58.15,451,451,4,CC(C)(CO)O,"[1, 6, 8]",3,TRUE
581,"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,20.64085632,3052.790342,-52.989,287,408,8,CCC(C)(C)C(C)C,"[1, 6]",2,TRUE
582,"3,3,4-Trimethyl-1-pentene",CC(C)C(C)(C)C=C,20.828517,2976.782008,-58.15,283,403,8,CC(C)C(C)(C)C=C,"[1, 6]",2,TRUE
583,"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(=C)C,20.81732644,3003.952512,-58.15,285,407,8,CCC(C)(C)C(=C)C,"[1, 6]",2,TRUE
584,"3,3-Dimethylpentane",CCC(C)(C)CC,20.60611031,2825.317961,-48.029,265,378,7,CCC(C)(C)CC,"[1, 6]",2,TRUE
585,"3,3-Dimethylhexane",CCCC(C)(C)CC,20.6634677,3009.386613,-55.774,286,408,8,CCCC(C)(C)CC,"[1, 6]",2,TRUE
586,3-Methyl-1-butene,CC(C)C=C,20.60687016,2331.068071,-36.503,213,308,5,CC(C)C=C,"[1, 6]",2,TRUE
587,2-Methyl-1-butene,CCC(=C)C,20.65711257,2393.974695,-42.12,223,318,5,CCC(=C)C,"[1, 6]",2,TRUE
588,"2,3-Dimethyl-1-butene",CC(C)C(=C)C,20.6939309,2612.697253,-43.783,243,352,6,CC(C)C(=C)C,"[1, 6]",2,TRUE
589,Allyl ethyl ether,CCOCC=C,20.94463637,2758.697266,-47.873,248,340,5,CCOCC=C,"[1, 6, 8]",3,TRUE
590,"2,2,3-Trimethylpentane",CCC(C)C(C)(C)C,20.60413008,2979.406955,-54.795,284,408,8,CCC(C)C(C)(C)C,"[1, 6]",2,TRUE
591,"3,4,4-Trimethyl-1-pentene",CC(C=C)C(C)(C)C,20.83240837,2968.72296,-58.15,282,402,8,CC(C=C)C(C)(C)C,"[1, 6]",2,TRUE
592,"2,3-Dimethylpentane",CCC(C)C(C)C,20.67873384,2852.879904,-51.208,278,378,7,CCC(C)C(C)C,"[1, 6]",2,TRUE
593,3-Methyl-2-pentanol,CCC(C)C(C)O,21.57971236,3119.265974,-97.08,320,430,6,CCC(C)C(C)O,"[1, 6, 8]",3,TRUE
594,3-Methyl-2-penta,CCC(C)C(=O)C,21.64107626,3513.97511,-43.15,293,415,6,CCC(C)C(=O)C,"[1, 6, 8]",3,TRUE
595,(Z)-2-Methyl-2-butenoic acid,C/C=C(/C)\C(=O)O,22.61714208,4103.206636,-88.15,361,461,5,C/C=C(/C)\C(=O)O,"[1, 6, 8]",3,TRUE
596,2-Methyl-3-pentanol,CCC(C(C)C)O,21.33913827,2963.979635,-97.55,313,422,6,CCC(C(C)C)O,"[1, 6, 8]",3,TRUE
597,2-Methyl-3-penta,CCC(=O)C(C)C,23.37722542,4581.45356,0.05,333,395,6,CCC(=O)C(C)C,"[1, 6, 8]",3,TRUE
598,"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,20.67030638,3026.310614,-55.669,298,408,8,CC(C)C(C)C(C)C,"[1, 6]",2,TRUE
599,"2,3,4-Trimethyl-1-pentene",CC(C)C(C)C(=C)C,20.81483965,3000.268376,-58.15,285,408,8,CC(C)C(C)C(=C)C,"[1, 6]",2,TRUE
600,"2,3,4-Trimethyl-2-pentene",CC(C)C(=C(C)C)C,20.78340936,3066.582827,-58.15,291,416,8,CC(C)C(=C(C)C)C,"[1, 6]",2,TRUE
601,"2,4-Dimethyl-3-penta",CC(C)C(=O)C(C)C,21.3467368,3369.902361,-54.4,299,423,7,CC(C)C(=O)C(C)C,"[1, 6, 8]",3,TRUE
602,"1,8-Dimethylnaphthalene",CC1=C2C(=CC=CC2=CC=C1)C,21.78427402,4933.721448,-67.816,338,413,12,CC1=C2C(=CC=CC2=CC=C1)C,"[1, 6]",2,TRUE
603,"1,2-Dimethylnaphthalene",CC1=C(C2=CC=CC=C2C=C1)C,21.02478935,4156.879894,-101.78,411,543,12,CC1=C(C2=CC=CC=C2C=C1)C,"[1, 6]",2,TRUE
604,"2,6-Dimethylphenol",CC1=C(C(=CC=C1)C)O,21.16849369,3746.835541,-85.603,362,504,8,CC1=C(C(=CC=C1)C)O,"[1, 6, 8]",3,TRUE
605,"1,2-Diisopropylbenzene",CC(C)C1=CC=CC=C1C(C)C,20.96480701,3729.036558,-81.82,388,476,12,CC(C)C1=CC=CC=C1C(C)C,"[1, 6]",2,TRUE
606,N-Methylacetanilide,CC(=O)N(C)C1=CC=CC=C1,23.16815069,5775.857407,-30.247,376,527,9,CC(=O)N(C)C1=CC=CC=C1,"[1, 6, 7, 8]",4,TRUE
607,"2,6-Dimethylnaphthalene",CC1=CC2=C(C=C1)C=C(C=C2)C,18.76121005,2998.672685,-135.697,384,418,12,CC1=CC2=C(C=C1)C=C(C=C2)C,"[1, 6]",2,TRUE
608,"2,7-Dimethylnaphthalene",CC1=CC2=C(C=C1)C=CC(=C2)C,21.73746247,4760.012126,-68.063,368,398,12,CC1=CC2=C(C=C1)C=CC(=C2)C,"[1, 6]",2,TRUE
609,Isovalerophe,CC(C)CC(=O)C1=CC=CC=C1,23.14484853,5433.267284,-33.749,331,501,11,CC(C)CC(=O)C1=CC=CC=C1,"[1, 6, 8]",3,TRUE
610,"3,4-Dimethylhexane",CCC(C)C(C)CC,20.73040385,3061.056623,-58.314,291,400,8,CCC(C)C(C)CC,"[1, 6]",2,TRUE
611,"2,3-Dimethyl-pyridine",CC1=C(N=CC=C1)C,21.16248394,3545.61263,-66.355,372,436,7,CC1=C(N=CC=C1)C,"[1, 6, 7]",3,TRUE
612,3-Pentanol,CCC(CC)O,21.96627035,3118.667302,-89.74,307,409,5,CCC(CC)O,"[1, 6, 8]",3,TRUE
613,"2,4-Toluene diisocyanate",CC1=C(C=C(C=C1)N=C=O)N=C=O,22.19150922,4805.87041,-73.685,293,444,9,CC1=C(C=C(C=C1)N=C=O)N=C=O,"[1, 6, 7, 8]",4,TRUE
614,"2,3-Dimethylhexane",CCCC(C)C(C)C,20.70567409,3026.264562,-59.091,290,408,8,CCCC(C)C(C)C,"[1, 6]",2,TRUE
615,tert-Butyl methacrylate,CC(=C)C(=O)OC(C)(C)C,21.10791268,3280.962709,-65.837,314,409,8,CC(=C)C(=O)OC(C)(C)C,"[1, 6, 8]",3,TRUE
616,3-tert-Butylphenol,CC(C)(C)C1=CC(=CC=C1)O,21.7586923,4216.756317,-101.291,391,524,10,CC(C)(C)C1=CC(=CC=C1)O,"[1, 6, 8]",3,TRUE
617,"p-Mentha-1,4(8)-diene",CC1=CCC(=C(C)C)CC1,22.74776773,4622.826408,-46.738,313,458,10,CC1=CCC(=C(C)C)CC1,"[1, 6]",2,TRUE
618,Nitrosobenzene,C1=CC=C(C=C1)N=O,22.99389105,2970.61108,-136.118,298,338,6,C1=CC=C(C=C1)N=O,"[1, 6, 7, 8]",4,TRUE
619,4-Ethylaniline,CCC1=CC=C(C=C1)N,23.07963932,5228.217476,-37.726,325,490,8,CCC1=CC=C(C=C1)N,"[1, 6, 7]",3,TRUE
620,3-Methylhexane,CCCC(C)CC,20.71338775,2859.856737,-53.715,272,378,7,CCCC(C)CC,"[1, 6]",2,TRUE
621,3-Methyl-1-pentanol,CCC(C)CCO,21.93580715,3420.236871,-96.99,335,448,6,CCC(C)CCO,"[1, 6, 8]",3,TRUE
622,3-Hexa,CCCC(=O)CC,20.99170121,3131.239416,-65.85,300,422,6,CCCC(=O)CC,"[1, 6, 8]",3,TRUE
623,"2,4-Dimethylhexane",CCC(C)CC(C)C,20.6633756,2960.779042,-58.55,285,398,8,CCC(C)CC(C)C,"[1, 6]",2,TRUE
624,4-Methylheptane,CCCC(C)CCC,20.77424507,3052.629161,-60.783,292,408,8,CCCC(C)CCC,"[1, 6]",2,TRUE
625,4-Heptanol,CCCC(CCC)O,20.2547128,2625.637782,-127.35,335,453,7,CCCC(CCC)O,"[1, 6, 8]",3,TRUE
626,4-Octa,CCCCC(=O)CCC,21.89537375,4583.258786,5.053,288,433,8,CCCCC(=O)CCC,"[1, 6, 8]",3,TRUE
627,Butyl caprylate,CCCCCCCC(=O)OCCCC,23.14701296,5357.010271,-51.869,387,462,12,CCCCCCCC(=O)OCCCC,"[1, 6, 8]",3,TRUE
628,3-Methylheptane,CCCCC(C)CC,20.75856447,3053.550195,-61.337,302,408,8,CCCCC(C)CC,"[1, 6]",2,TRUE
629,4-Methyl cyclohexa,CC1CCC(=O)CC1,21.08792624,3752.615029,-50.708,366,443,7,CC1CCC(=O)CC1,"[1, 6, 8]",3,TRUE
630,"2,5-Dimethyl-pyridine",CC1=CN=C(C=C1)C,21.20220354,3549.253017,-63.334,358,431,7,CC1=CN=C(C=C1)C,"[1, 6, 7]",3,TRUE
631,Butyl propionate,CCCCOC(=O)CC,20.50525708,2892.8689,-95.044,305,414,7,CCCCOC(=O)CC,"[1, 6, 8]",3,TRUE
632,(Z)-2-Butene,C/C=C\C,20.7453246,2227.336612,-35.277,205,298,4,C/C=C\C,"[1, 6]",2,TRUE
633,"1,2-Butadiene",CC=C=C,21.44858014,2605.490162,-21.2,209,290,4,CC=C=C,"[1, 6]",2,TRUE
634,"2,2-Dimethylpentane",CCCC(C)(C)C,20.59413686,2744.589327,-49.652,261,368,7,CCCC(C)(C)C,"[1, 6]",2,TRUE
635,2-Methyl-2-pentanol,CCCC(C)(C)O,19.05764486,1867.51164,-146.55,309,419,6,CCCC(C)(C)O,"[1, 6, 8]",3,TRUE
636,"1,1-Dimethylcyclohexane",CC1(CCCCC1)C,20.53514463,3038.974832,-55.42,290,420,8,CC1(CCCCC1)C,"[1, 6]",2,TRUE
637,"2,2-Dimethylhexane",CCCCC(C)(C)C,20.62535992,2927.000119,-58.32,283,398,8,CCCCC(C)(C)C,"[1, 6]",2,TRUE
638,5-Methyl-2(5H)-fura,CC1C=CC(=O)O1,23.96033206,5989.610986,0,370,482,5,CC1C=CC(=O)O1,"[1, 6, 8]",3,TRUE
639,"3,5-Dimethyl-pyridine",CC1=CC(=CN=C1)C,21.22962732,3684.11082,-65.385,371,446,7,CC1=CC(=CN=C1)C,"[1, 6, 7]",3,TRUE
640,4-Methylcyclohexene,CC1CCC=CC1,20.70878258,2954.446933,-54.15,292,429,7,CC1CCC=CC1,"[1, 6]",2,TRUE
641,3-Methylcyclohexene,CC1CCCC=C1,20.73360444,2940.163997,-56.656,318,376,7,CC1CCCC=C1,"[1, 6]",2,TRUE
642,1-Methylcyclohexene,CC1=CCCCC1,20.74495619,3017.183166,-56.145,310,383,7,CC1=CCCCC1,"[1, 6]",2,TRUE
643,2-Methylhexane,CCCCC(C)C,20.71725609,2844.889934,-53.653,270,378,7,CCCCC(C)C,"[1, 6]",2,TRUE
644,2-Hexa,CCCCC(=O)C,21.07625213,3213.948273,-64.17,303,426,6,CCCCC(=O)C,"[1, 6, 8]",3,TRUE
645,4-Pentenoic acid,C=CCCC(=O)O,21.60561644,3557.493969,-108.15,362,464,5,C=CCCC(=O)O,"[1, 6, 8]",3,TRUE
646,"1,4-Pentadiene",C=CCC=C,20.70116102,2376.843462,-40.05,235,310,5,C=CCC=C,"[1, 6]",2,TRUE
647,"1,2-Pentadiene",CCC=C=C,20.83641487,2551.034025,-43.99,249,335,5,CCC=C=C,"[1, 6]",2,TRUE
648,"2,3-Pentadiene",CC=C=CC,20.97286606,2619.581983,-44.09,257,335,5,CC=C=CC,"[1, 6]",2,TRUE
649,"2,5-Dimethylhexane",CC(C)CCC(C)C,20.67979303,2959.904059,-58.902,285,398,8,CC(C)CCC(C)C,"[1, 6]",2,TRUE
650,2-Methylheptane,CCCCCC(C)C,20.81253706,3074.457668,-59.735,294,408,8,CCCCCC(C)C,"[1, 6]",2,TRUE
651,1-Hexene,CCCCC=C,20.68320086,2644.79529,-47.81,247,358,6,CCCCC=C,"[1, 6]",2,TRUE
652,"1,5-Hexadiene",C=CCCC=C,20.68444425,2670.78687,-40.998,286,320,6,C=CCCC=C,"[1, 6]",2,TRUE
653,"1,2-Hexadiene",CCCC=C=C,20.09696269,2521.123444,-55,349,349,6,CCCC=C=C,"[1, 6]",2,TRUE
654,"2,3-Hexadiene",CCC=C=CC,20.04948339,2438.967208,-55,341,341,6,CCC=C=CC,"[1, 6]",2,TRUE
655,"1,3-Cyclohexadiene",C1CC=CC=C1,20.69344736,2771.879566,-51.104,307,363,6,C1CC=CC=C1,"[1, 6]",2,TRUE
656,1-Heptene,CCCCCC=C,20.78490604,2897.434926,-53.85,270,388,7,CCCCCC=C,"[1, 6]",2,TRUE
657,Butyl methanoate,CCCCOC=O,21.93833999,3530.783982,-40.15,286,403,5,CCCCOC=O,"[1, 6, 8]",3,TRUE
658,Methylcyclopropane,CC1CC1,20.64357337,2193.005068,-37.16,177,278,4,CC1CC1,"[1, 6]",2,TRUE
659,"2,3,3-Trimethyl-1-butene",CC(=C)C(C)(C)C,20.5463352,2719.468124,-49.557,260,375,7,CC(=C)C(C)(C)C,"[1, 6]",2,TRUE
660,"2,3-Dimethyl-2-butanol",CC(C)C(C)(C)O,21.30844481,2927.506687,-92.51,306,414,6,CC(C)C(C)(C)O,"[1, 6, 8]",3,TRUE
661,2-Hydroxy-2-methyl propionic acid,CC(C)(C(=O)O)O,26.37560567,6679.935207,-35.478,371,485,4,CC(C)(C(=O)O)O,"[1, 6, 8]",3,TRUE
662,"2,2,3,3-Tetramethylbutane",CC(C)(C)C(C)(C)C,20.50267819,2924.513327,-53.65,372,406,8,CC(C)(C)C(C)(C)C,"[1, 6]",2,TRUE
663,"2,3,3-Trimethyl-2-butanol",CC(C)(C)C(C)(C)O,21.19485829,3056.624146,-85.505,298,363,7,CC(C)(C)C(C)(C)O,"[1, 6, 8]",3,TRUE
664,"2,2-Dimethylsuccinic acid",CC(C)(CC(=O)O)C(=O)O,24.39172138,6034.822244,-23.72,334,493,6,CC(C)(CC(=O)O)C(=O)O,"[1, 6, 8]",3,TRUE
665,3-Ethyl-3-pentanol,CCC(CC)(CC)O,19.38700663,2184.922995,-137.65,308,416,7,CCC(CC)(CC)O,"[1, 6, 8]",3,TRUE
666,3-Ethyl-3-hexanol,CCCC(CC)(CC)O,25.22205659,5917.643689,0,336,435,8,CCCC(CC)(CC)O,"[1, 6, 8]",3,TRUE
667,4-Methyl-4-heptanol,CCCC(C)(CCC)O,20.99243803,3078.556269,-109.05,339,440,8,CCCC(C)(CCC)O,"[1, 6, 8]",3,TRUE
668,3-Methyl-1-butyne,CC(C)C#C,20.67951672,2361.531271,-44.15,225,323,5,CC(C)C#C,"[1, 6]",2,TRUE
669,2-Methoxypropane,CC(C)OC,20.79082368,2407.559947,-44.06,260,325,4,CC(C)OC,"[1, 6, 8]",3,TRUE
670,Methyl carbamate,COC(=O)N,23.46110859,5465.975505,0,333,388,2,COC(=O)N,"[1, 6, 7, 8]",4,TRUE
671,Methylcyclobutane,CC1CCC1,20.45816922,2442.467137,-36,309,309,5,CC1CCC1,"[1, 6]",2,TRUE
672,3-Methyl-2-butanol,CC(C)C(C)O,20.87753904,2511.959155,-116,305,406,5,CC(C)C(C)O,"[1, 6, 8]",3,TRUE
673,"2,4-Dimethyl-3-pentanol",CC(C)C(C(C)C)O,19.84644143,2370.741612,-127.05,320,437,7,CC(C)C(C(C)C)O,"[1, 6, 8]",3,TRUE
674,"2,6-Dihydroxy-toluene",CC1=C(C=CC=C1O)O,19.70605282,3462.176156,-142.01,375,453,7,CC1=C(C=CC=C1O)O,"[1, 6, 8]",3,TRUE
675,3-Ethyl-2-methylpentane,CCC(CC)C(C)C,20.6912599,3032.619697,-57.921,289,408,8,CCC(CC)C(C)C,"[1, 6]",2,TRUE
676,1-Ethyl-2-methylbenzene,CCC1=CC=CC=C1C,20.04080264,3551.935528,-64.98,350,510,9,CCC1=CC=CC=C1C,"[1, 6]",2,TRUE
677,2-Methylstyrene,CC1=CC=CC=C1C=C,21.34547038,3739.550162,-62.128,305,385,9,CC1=CC=CC=C1C=C,"[1, 6]",2,TRUE
678,8-Methylquinoline,CC1=C2C(=CC=C1)C=CC=N2,22.59618855,5327.108901,-39.923,493,524,10,CC1=C2C(=CC=C1)C=CC=N2,"[1, 6, 7]",3,TRUE
679,"N,N-Dimethyl-benzamide",CN(C)C(=O)C1=CC=CC=C1,23.27499064,6794.928609,0,373,403,9,CN(C)C(=O)C1=CC=CC=C1,"[1, 6, 7, 8]",4,TRUE
680,3-Methylquinoline,CC1=CC2=CC=CC=C2N=C1,20.9123311,3933.92058,-107.253,443,528,10,CC1=CC2=CC=CC=C2N=C1,"[1, 6, 7]",3,TRUE
681,7-Methylquinoline,CC1=CC2=C(C=CC=N2)C=C1,20.63348804,3919.621526,-122.834,493,533,10,CC1=CC2=C(C=CC=N2)C=C1,"[1, 6, 7]",3,TRUE
682,"Carbamic acid, ethylnitroso-ethyl ester",CCN(C(=O)OCC)N=O,21.49292793,3862.913461,-68.81,273,348,5,CCN(C(=O)OCC)N=O,"[1, 6, 7, 8]",4,TRUE
683,"Carbamic acid, methylnitroso-allyl ester",CCOC(=O)N(C)N=O,20.75308431,3324.603605,-87.431,275,337,4,CCOC(=O)N(C)N=O,"[1, 6, 7, 8]",4,TRUE
684,Diisopropyl oxalate,CC(C)OC(=O)C(=O)OC(C)C,23.82906169,5269.424539,-38.079,316,467,8,CC(C)OC(=O)C(=O)OC(C)C,"[1, 6, 8]",3,TRUE
685,"1,3-Dihydroxy-4,6-dimethyl benzene",CC1=CC(=C(C=C1O)O)C,22.87602172,5129.583941,-36.788,322,488,8,CC1=CC(=C(C=C1O)O)C,"[1, 6, 8]",3,TRUE
