,Name,SMILES,A,B,C,Tmin,Tmax,No.C,SMILES,Atom,Count Unique Atom,Pass Screen
42,2-Methyl-2-propanol,CC(C)(C)O,21.74754779,2658.288438,-95.5,283,374,4,CC(C)(C)O,"[1, 6, 8]",3,TRUE
43,"2,2-Dimethyl-1-propanol",CC(C)(C)CO,23.02631145,3694.958299,-64.95,333,406,5,CC(C)(C)CO,"[1, 6, 8]",3,TRUE
44,2-Methyl-2-butanol,CCC(C)(C)O,19.90400606,1988.051969,-137.85,299,396,5,CCC(C)(C)O,"[1, 6, 8]",3,TRUE
45,tert-Butyl hydroperoxide,CC(C)(C)OO,26.91217708,6103.409347,8.37,273,388,4,CC(C)(C)OO,"[1, 6, 8]",3,TRUE
46,"3,3-Dimethyl-2-buta",CC(=O)C(C)(C)C,23.65906183,4770.956313,13.85,283,403,6,CC(=O)C(C)(C)C,"[1, 6, 8]",3,TRUE
47,"2,3-Dimethyl-2,3-butanediol",CC(C)(C(C)(C)O)O,21.08415,3111.784875,-121.969,346,447,6,CC(C)(C(C)(C)O)O,"[1, 6, 8]",3,TRUE
48,D-Bornyl acetate,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,22.27253719,4969.119088,-33.952,320,496,12,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,"[1, 6, 8]",3,TRUE
49,Diethylmalonic acid diethyl ester,CCC(CC)(C(=O)OCC)C(=O)OCC,23.00485135,4701.517254,-82.373,386,491,11,CCC(CC)(C(=O)OCC)C(=O)OCC,"[1, 6, 8]",3,TRUE
50,3-Methyl-3-pentanol,CCC(C)(CC)O,19.59822276,2187.916355,-123.65,306,419,6,CCC(C)(CC)O,"[1, 6, 8]",3,TRUE
51,"2,2-Dimethoxy propane",CC(C)(OC)OC,19.96840937,2314.991421,-77.721,292,357,5,CC(C)(OC)OC,"[1, 6, 8]",3,TRUE
52,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,22.80632247,4945.326477,-129.79,433,568,6,CCC(CO)(CO)CO,"[1, 6, 8]",3,TRUE
53,"3,5,5-Trimethyl-2-cyclohexen-1-one",CC1=CC(=O)CC(C1)(C)C,21.67280588,4588.619204,-38.415,293,488,9,CC1=CC(=O)CC(C1)(C)C,"[1, 6, 8]",3,TRUE
