,Name,SMILES,A,B,C,Tmin,Tmax,No.C
90,2-Ethylphenol,CCC1=CC=CC=C1O,21.02444397,3565.373415,-102.305,424,491,8
91,2-Hydroxy-benzaldehyde,C1=CC=C(C(=C1)C=O)O,22.85955823,5009.246239,-27.593,306,470,7
92,2-Aminoanisole,COC1=CC=CC=C1N,25.18763294,6680.236846,-2.9,334,492,7
93,2-Methoxyphenol,COC1=CC=CC=C1O,19.83856659,2873.036734,-133.807,361,479,7
94,1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12,21.09356757,4206.707836,-78.148,390,551,11
95,1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,23.69182762,6514.395457,-19.82,414,556,10
96,2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,23.46603612,5713.871816,-70.966,435,548,12
97,"2,6-Toluene diisocyanate",CC1=C(C=CC=C1N=C=O)N=C=O,20.15883315,3469.090819,-124.909,373,474,9
98,Naphthalene,C1=CC=C2C=CC=CC2=C1,21.03176619,3995.583808,-70.82,418,613,10
99,Quinoline,C1=CC=C2C(=C1)C=CC=N2,21.48719449,4440.63206,-64.59,519,702,9
100,2-Methylnaphthalene,CC1=CC2=CC=CC=C2C=C1,21.16858579,4237.378269,-74.755,387,547,11
101,2-Naphthalenamine,C1=CC=C2C=C(C=CC2=C1)N,22.77206,5996.645384,-46.07,388,579,10
102,6-Methylquinoline,CC1=CC2=C(C=C1)N=CC=C2,20.83530963,4017.430736,-106.755,453,541,10
103,2-Methylquinoline,CC1=NC2=CC=CC=C2C=C1,21.43573172,4291.366982,-87.925,443,522,10
104,"1,2-Benzopyrone",C1=CC=C2C(=C1)C=CC(=O)O2,23.70188991,6400.935577,-38.741,379,564,9
105,"N,N-Diethylaniline",CCN(CC)C1=CC=CC=C1,23.23071193,5364.424595,-30.394,322,489,10
106,3-(Diethylamino)-phenol,CCN(CC)C1=CC(=CC=C1)O,22.65036838,4924.096642,-108.741,431,554,10
107,"1,2-Dimethoxy-4-allyl benzene",COC1=C(C=C(C=C1)CC=C)OC,24.70369864,6428.815277,-33.535,358,521,11
108,Eugenol acetate,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,24.03164312,6526.371202,-33.501,374,555,12
109,2-Methoxy-4-methyl phenol,CC1=CC(=C(C=C1)O)OC,21.86083498,4391.65147,-70.184,356,503,8
110,1-Phenyl-1-propa,CCC(=O)C1=CC=CC=C1,19.85712543,3022.462994,-128.785,405,492,9
111,Methyl benzoate,COC(=O)C1=CC=CC=C1,20.68151997,3466.023776,-93.99,333,472,8
112,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,20.43360063,3398.880395,-104.874,344,440,9
113,2-Ethoxyaniline,CCOC1=CC=CC=C1N,24.25690502,6006.148152,-29.807,340,501,8
114,"Indene, (1H-indene)",C1C=CC2=CC=CC=C21,21.51558537,4027.716383,-52.375,297,457,9
115,"1,2-Dimethylbenzene",CC1=CC=CC=C1C,20.94866589,3358.794691,-60.109,313,445,8
116,2-Methylphenol,CC1=CC=CC=C1O,21.14555994,3533.408929,-96.85,356,493,7
117,o-Toluidine,CC1=CC=CC=C1N,21.45461291,3927.342094,-77.847,391,474,7
118,"1,2,4-Trimethylbenzene",CC1=CC(=C(C=C1)C)C,21.13063919,3636.594674,-63.86,333,471,9
119,"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,21.21102244,3748.101963,-113.109,388,529,8
120,"2,4-Dimethylaniline",CC1=CC(=C(C=C1)N)C,23.45348703,5299.89695,-40.19,326,484,8
121,"2,4-Diaminotoluene",CC1=C(C=C(C=C1)N)N,23.46440129,5926.236937,-60.738,379,627,7
122,"2,5-Dimethylphenol",CC1=CC(=C(C=C1)C)O,21.03294051,3599.262862,-105.697,374,513,8
123,Diethyl oxalate,CCOC(=O)C(=O)OCC,22.09153098,3993.304249,-77.601,300,456,6
124,"1,2,4,5-Tetramethylbenzene",CC1=CC(=C(C=C1C)C)C,21.14530666,3823.580702,-72.51,355,500,10
125,3-Methylpentane,CCC(C)CC,20.7067563,2676.455835,-44.864,255,358,6
126,3-Penta,CCC(=O)CC,21.70665388,3410.519962,-40.14,282,399,5
127,Methyl acrylate,COC(=O)C=C,21.5015396,3096.83419,-43.027,229,353,4
128,Methyl glycolate,COC(=O)CO,23.08447475,4507.807678,-34.889,283,425,3
129,Methylcyclopentane,CC1CCCC1,21.1423133,2983.091091,-34.76,255,373,6
130,Cyclopentanol,C1CCC(C1)O,21.07344298,2825.142964,-117.629,380,438,5
131,2-Methyl tetrahydrofuran,CC1CCCO1,22.14706933,3853.270234,12.124,351,533,5
132,Ethylene carbonate,C1COC(=O)O1,20.85598684,3926.522374,-102.261,368,449,3
133,1-Methylpyrrole,CN1C=CC=C1,21.16112542,3123.933314,-61.65,322,422,5
134,4-Ethyl-2-tert-butylphenol,CCC1=CC(=C(C=C1)O)C(C)(C)C,23.93811212,6098.129519,-30.022,394,521,12
135,Ethyl methacrylate,CCOC(=O)C(=C)C,23.34148929,4612.147019,0,285,390,6
136,Isobutyl isobutyrate,CC(C)COC(=O)C(C)C,22.47316143,4158.275261,-40.734,277,421,8
137,Butyl methacrylate,CCCCOC(=O)C(=C)C,21.16439509,3471.418733,-76.025,338,437,8
138,2-Ethyl-1-butanol,CCC(CC)CO,20.64371152,2737.059874,-119.45,329,444,6
139,Tetrahydrofurfuryl alcohol,C1CC(OC1)CO,23.52058436,5274.248455,-11.548,333,453,5
140,2-Hydroxymethyl-furan,C1=COC(=C1)CO,25.52436299,6037.992904,-12.034,304,443,5
141,Furfuraldehyde,C1=COC(=C1)C=O,21.30655669,3518.934879,-74.932,366,435,5
142,"1,1-Dimethylethylbenzene",CC(C)(C)C1=CC=CC=C1,20.8367142,3471.377286,-69.42,332,472,10
143,2-Methyl-4-tert-butylphenol,CC1=C(C=CC(=C1)C(C)(C)C)O,23.20849198,5561.113716,-43.861,347,520,11
144,4-tert-Butyltoluene,CC1=CC=C(C=C1)C(C)(C)C,21.4893359,3986.235313,-63.45,342,465,11
145,(1-Methylethyl)benzene,CC(C)C1=CC=CC=C1,20.86399984,3363.538016,-65.32,319,454,9
146,Isopropylbenzene,CC(C)C1=CC=CC=C1,23.33577888,5144.371142,-2.336,295,438,9
147,1-Phenylethanol,CC(C1=CC=CC=C1)O,24.4807163,6151.406733,-1.726,404,476,8
148,Methyl phenyl ketone,CC(=O)C1=CC=CC=C1,22.25073171,4620.731056,-44.001,310,476,8
149,3-Methylbenzoic acid methyl ester,CC1=CC(=CC=C1)C(=O)OC,21.65558254,4236.756571,-74.05,359,417,9
150,Carvone,CC1=CCC(CC1=O)C(=C)C,23.13674343,5444.163116,-31.98,330,501,10
151,"1,3-Diisopropylbenzene",CC(C)C1=CC(=CC=C1)C(C)C,22.22816638,4684.943247,-37.559,307,475,12
152,4-sec-Butylphenol,CCC(C)C1=CC=C(C=C1)O,23.36651839,5631.699462,-39.674,344,515,10
153,p-Menthane,CC1CCC(CC1)C(C)C,21.25269923,3864.343366,-46.665,281,445,10
154,"p-Mentha-1,5-diene",CC1=CCC(C=C1)C(C)C,22.14191154,4285.873014,-44.643,315,448,10
155,4-Isopropylaniline,CC(C)C1=CC=C(C=C1)N,23.2943784,5461.414084,-36.244,333,501,9
156,4-Isopropylphenol,CC(C)C1=CC=C(C=C1)O,21.09271562,3691.258044,-115.222,391,507,9
157,"N,N-Dimethyl-4-toluidine",CC1=CC=C(C=C1)N(C)C,19.97996834,3092.79085,-118.038,323,483,9
158,"1,4-Diisopropylbenzene",CC(C)C1=CC=C(C=C1)C(C)C,20.91152519,3771.132419,-81.533,366,484,12
159,4-Vinyl-1-Cyclohexene,C=CC1CCC=CC1,20.76922544,3188.242213,-57.254,329,396,8
160,Ethylbenzene,CCC1=CC=CC=C1,20.8812462,3259.935502,-60.852,306,420,8
161,Styrene,C=CC1=CC=CC=C1,21.48733265,3677.235301,-49.03,285,418,8
162,Benzonitrile,C1=CC=C(C=C1)C#N,22.68212103,4856.317747,-28.379,301,464,7
163,Benzyl alcohol,C1=CC=C(C=C1)CO,21.15000393,3514.942196,-113.214,404,507,7
164,Benzaldehyde,C1=CC=C(C=C1)C=O,21.24291324,3747.929269,-66.153,368,478,7
165,N-Methylaniline,CNC1=CC=CC=C1,22.79543124,4837.678321,-39.065,309,468,7
166,Phenyl hydrazine,C1=CC=C(C=C1)NN,23.56373481,5798.73359,-34.526,345,516,6
167,Methoxybenzene,COC1=CC=CC=C1,21.12398472,3426.00715,-69.762,360,437,7
168,2-Ethylpyridine,CCC1=CC=CC=N1,21.45574118,3633.278952,-55.83,324,423,7
169,N-Nitrosopiperidine,C1CCN(CC1)N=O,22.02535468,4480.319417,-63.698,273,488,5
170,3-Methylstyrene,CC1=CC(=CC=C1)C=C,21.56458438,3875.114859,-56.908,314,442,9
171,Diphenyl ether,C1=CC=C(C=C1)OC2=CC=CC=C2,21.04111468,4149.523135,-95.069,477,544,12
172,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,23.2083308,5413.216373,-36.277,393,475,10
173,Isobutyl phenylacetate,CC(C)COC(=O)CC1=CC=CC=C1,25.13082817,7088.551958,0,298,393,12
174,Tripropylamine,CCCN(CCC)CCC,21.59992906,3682.063822,-64.15,341,475,9
175,Triethanolamine,C(CO)N(CCO)CCO,24.60293751,6834.238342,-85.959,433,609,6
176,Tributylamine,CCCCN(CCCC)CCCC,20.56031189,3547.811598,-93.996,336,488,12
177,1-Cyclohexyl-amino-2-propanol,CC(CNC1CCCCC1)O,21.3837854,4054.460909,-99.779,345,512,9
178,Acetic acid-2-ethylhexyl ester,CCCCC(CC)COC(=O)C,20.08885759,3390.446025,-74.972,268,423,10
179,2-Ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,22.86506141,5105.89034,-38.96,323,489,11
180,Cinnamic acid methyl ester,COC(=O)/C=C/C1=CC=CC=C1,22.18326597,5156.584054,-52.281,350,536,10
181,2-Ethylhexyl vinyl ether,CCCCC(CC)COC=C,20.69268751,3291.227634,-91.341,293,450,10
182,2-Phenylethyl acetate,CC(=O)OCCC1=CC=CC=C1,20.75195605,3669.641376,-107.957,422,506,10
183,Propylbenzene,CCCC1=CC=CC=C1,20.89973596,3434.996442,-65.9,324,455,9
184,N-Ethylaniline,CCNC1=CC=CC=C1,23.83233136,5825.158056,-3.855,312,477,8
185,Phenyl isocyanate,C1=CC=C(C=C1)N=C=O,22.21214038,4339.663704,-32.656,283,456,7
186,Ethoxybenzene,CCOC1=CC=CC=C1,21.05918998,3473.564742,-78.579,390,454,8
187,Phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,24.53054424,6501.233881,-39.171,370,539,8
188,Acetanilide,CC(=O)NC1=CC=CC=C1,23.54678778,6376.571924,-46.48,473,577,8
189,Butylbenzene,CCCCC1=CC=CC=C1,20.96146826,3627.653736,-71.95,343,486,10
190,Cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO,23.09400745,5635.185576,-36.131,345,523,9
191,Cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,24.06258987,6164.225224,-27.704,349,519,9
192,Benzyl formate,C1=CC=C(C=C1)COC=O,24.58009587,6210.071996,0,298,357,8
193,2-Ethyl-1-hexanol,CCCCC(CC)CO,20.26599546,2738.604909,-141,370,478,8
194,"N,N-Diethyl-1,3-propanediamine",CCN(CC)CCCN,21.81835228,3936.540922,-60.12,328,442,7
195,4-Methyl benzylamine,CC1=CC=C(C=C1)CN,25.20248462,6350.032328,0,353,466,8
196,p-Toluonitrile,CC1=CC=C(C=C1)C#N,22.21133448,4907.644672,-32.16,315,491,8
197,"1,4-Diethylbenzene",CCC1=CC=C(C=C1)CC,21.02163481,3667.073993,-70.71,344,487,10
198,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO,22.80613826,4936.682572,-89.844,354,453,8
199,2-Methyl-1-pentanol,CCCC(C)CO,23.00722302,4087.36485,-65.15,330,443,6
200,Methyl cyanoacetate,COC(=O)CC#N,22.4067779,4407.654437,-73.15,385,573,4
201,Ethyl propanoate,CCC(=O)OCC,21.05483809,2934.414443,-64.15,282,396,5
202,Vinyl propionate,CCC(=O)OC=C,22.69455499,4104.588187,0,363,383,5
203,Ethyl N-methylcarbamate,CCOC(=O)NC,24.16956797,5298.041066,-24.13,299,443,4
204,4-Methyl-2-hexa,CCC(C)CC(=O)C,24.05510647,5162.395778,-0.15,336,418,7
205,Diethyl malonate,CCOC(=O)CC(=O)OCC,25.08664156,6576.394863,12.807,313,472,7
206,Ethyl butanoate,CCCC(=O)OCC,19.05287851,2121.970318,-112.77,280,422,6
207,Ethyl cyanoacetate,CCOC(=O)CC#N,25.96717313,6194.851908,-50.2,340,479,5
208,"1,1-Diethoxyethane",CCOC(C)OCC,21.90106114,3367.786285,-52.162,250,376,6
209,Diethyl carbonate,CCOC(=O)OCC,21.70994658,3540.627533,-51.575,308,400,5
210,6-Hexanelactam,C1CCC(=O)NCC1,20.14393543,3630.508942,-126.15,346,550,6
211,Propyl butyrate,CCCC(=O)OCCC,22.15321723,3996.638392,-39.965,271,416,7
212,"2,4-Dimethylphenol",CC1=CC(=C(C=C1)O)C,21.15357294,3667.511484,-103.146,368,513,8
213,Dibutyl malate,CCCCOC(=O)CC(C(=O)OCCCC)O,23.17722287,6453.563462,0,413,553,12
214,"3,7-Dimethyl-1-octanol",CC(C)CCCC(C)CCO,26.02542853,7039.002629,-0.15,357,486,10
215,"3,7-Dimethyl-6-octen-1-ol",CC(CCC=C(C)C)CCO,20.71976591,3322.349374,-136.287,366,499,10
216,"3,7-Dimethyl-trans-2,6-octadien-1-ol",CC(=CCC/C(=C/CO)/C)C,23.84729816,5682.190548,-42.419,342,503,10
217,Isopentyl butanoate,CCCC(=O)OCCC(C)C,22.17893711,4372.83935,-41.32,294,477,9
218,Butanoic anhydride,CCCC(=O)OC(=O)CCC,22.67221991,4767.110996,-42.704,350,471,8
219,Caprylic acid ethyl ester,CCCCCCCC(=O)OCC,24.37438292,5961.452673,-13.227,330,414,10
220,3-Hepta,CCCCC(=O)CC,21.71699249,3728.407952,-54.183,354,404,7
221,Propyl propanoate,CCCOC(=O)CC,21.75689629,3558.184744,-47.85,299,420,6
222,"1,4-Dimethylbenzene",CC1=CC=C(C=C1)C,20.96489912,3331.453795,-58.523,308,439,8
223,4-Methylphenol,CC1=CC=C(C=C1)O,21.13888245,3512.179094,-109.75,364,503,7
224,p-Toluidine,CC1=CC=C(C=C1)N,21.70808148,4076.853549,-73.223,317,474,7
225,"1,4-Benzoqui",C1=CC(=O)C=CC1=O,23.44706282,5356.558964,-8.036,388,457,6
226,"1,4-Dimethyl-piperazine",CN1CCN(CC1)C,20.60102159,3151.370918,-59.831,276,321,6
227,Isobutyl acrylate,CC(C)COC(=O)C=C,20.94772183,3173.183306,-73.695,321,394,7
228,2-Ethyl-4-methyl-1-pentanol,CCC(CC(C)C)CO,20.84783569,3053.527169,-122.63,343,450,8
229,Methyl hexanoate,CCCCCC(=O)OC,22.94226709,4470.763689,-30.883,314,423,7
230,Methyl heptanoate,CCCCCCC(=O)OC,22.37484105,4267.869101,-51.471,283,445,8
231,"1,2-Epoxybutane",CCC1CO1,21.01806581,2728.22946,-49.132,294,370,4
232,[(2-Propenyloxy)-methyl] oxirane,C=CCOC[C@H]1CO1,21.37075277,3493.433749,-71.584,324,420,6
233,Butane,CCCC,20.56820976,2154.69696,-34.361,196,298,4
234,1-Butene,CCC=C,20.53399334,2092.589333,-34.615,194,288,4
235,"1,3-Butadiene",C=CC=C,20.64589898,2134.979924,-34.52,206,212,4
236,1-Butyne,CCC#C,21.10724493,2335.857448,-37.41,210,300,4
237,2-Propenal,C=CC=O,21.22313403,2774.405502,-39.639,208,326,3
238,Propylamine,CCCN,21.51627614,2731.763928,-46.94,243,338,3
239,Allylamine,C=CCN,21.27498825,2734.084934,-47.175,273,327,3
240,Acrylonitrile,C=CC#N,18.23067142,1626.716501,-109.392,283,353,3
241,"1,2-Diaminoethane",C(CN)N,21.73573553,3286.99318,-68.119,285,418,2
242,1-Propen-3-ol,C=CCO,23.08668523,3616.723365,-57.329,301,375,3
243,"1,2-Ethanediol",C(CO)O,25.14284766,6022.181052,-28.25,371,494,2
244,Acetaldehyde oxime,C/C=N/O,23.80587466,4217.592155,-44.735,288,388,2
245,Methyl methanoate,COC=O,21.40319619,2590.868747,-42.59,230,324,2
246,"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,20.62994206,2932.157909,-52.535,277,400,8
247,"2,4,4-Trimethyl-2-pentene",CC(=CC(C)(C)C)C,20.68670079,2930.5461,-58.155,282,404,8
248,"2-Methyl-2,4-pentanediol",CC(CC(C)(C)O)O,21.9513496,3700.065432,-116.705,293,483,6
249,4-Methoxy-4-methyl-2-penta,CC(=O)CC(C)(C)OC,20.93685363,3376.006514,-75.058,343,423,7
250,2-Methylpentane,CCCC(C)C,20.68485872,2638.302,-45.335,250,348,6
251,2-Penta,CCCC(=O)C,21.07187722,3031.882869,-57.77,282,403,5
252,Butanoic acid,CCCC(=O)O,22.0521798,3632.051674,-91.816,393,463,4
253,(E)-2-Butenoic acid,C/C=C/C(=O)O,23.64294373,4873.651608,-56.25,360,461,4
254,1-Methoxy-2-propanol,CC(COC)O,23.03114688,4112.545921,-35.329,331,389,4
255,2-Dimethylamino ethanol,CN(C)CCO,22.2585605,3906.628039,-43.287,323,408,4
256,"2,4-Dimethylpentane",CC(C)CC(C)C,20.61831401,2748.388593,-51.343,262,368,7
257,4-Methyl-2-penta,CC(C)CC(=O)C,20.31386621,2741.665044,-77.7,293,416,6
258,4-Methyl-2-pentanol,CC(C)CC(C)O,22.24711665,3607.59822,-68.36,315,427,6
259,Diisopropylamine,CC(C)NC(C)C,20.02788514,2389.823134,-75.601,300,355,6
260,Diisopropyl ether,CC(C)OC(C)C,20.66959258,2631.216945,-53.874,283,365,6
261,Isopropyl ethanoate,CC(C)OC(=O)C,21.02105917,2848.827355,-61.71,294,385,5
262,Ethanoic anhydride,CC(=O)OC(=O)C,22.36894643,4143.960089,-29.877,465,545,4
263,Succinic anhydride,C1CC(=O)OC1=O,24.32833121,6747.014116,-7.65,401,534,4
264,"1,2-Propylene carbonate",CC1COC(=O)O1,21.18795053,4119.094473,-88.715,359,515,4
265,"1,3-Dimethylbenzene",CC1=CC(=CC=C1)C,21.04680207,3381.813634,-57.03,309,440,8
266,3-Methylphenol,CC1=CC(=CC=C1)O,21.21901241,3584.73355,-105.55,363,503,7
267,m-Toluidine,CC1=CC(=CC=C1)N,20.41494969,3215.223905,-114.829,394,477,7
268,"1,3-Phenylene diamine",C1=CC(=CC(=C1)N)N,23.25067534,6028.105604,-44.548,372,558,6
269,"2,4-Dimethyl-pyridine",CC1=CC(=NC=C1)C,21.21495986,3558.645261,-64.26,347,433,7
270,"2,6-Dimethyl-pyridine",CC1=NC(=CC=C1)C,21.1234321,3374.657199,-65.548,352,418,7
271,Glutaric anhydride,C1CC(=O)OC(=O)C1,24.36123515,7024.733509,-13.104,374,560,5
272,"1,3-Divinylbenzene",C=CC1=CC(=CC=C1)C=C,21.60349807,4839.407562,-3.477,385,484,10
273,Dimethyl malonate,COC(=O)CC(=O)OC,25.24238842,6440.04959,16.788,433,620,5
274,3-Methylbutanoic acid ethyl ester,CCOC(=O)CC(C)C,22.11796465,3874.011921,-42.141,267,418,7
275,"1,3,5-Trimethylbenzene",CC1=CC(=CC(=C1)C)C,21.24229154,3641.215963,-63.14,330,466,9
276,"3,5-Dimethylphenol",CC1=CC(=CC(=C1)O)C,21.32721088,3788.374176,-108.329,384,524,8
277,"2,4,6-Collidine",CC1=CC(=NC(=C1)C)C,20.66968468,3253.112943,-88.182,297,381,8
278,"2,6-Dimethyl-4-heptanol",CC(C)CC(CC(C)C)O,19.94110071,2633.36756,-138.236,305,458,9
279,"2,6-Dimethyl-4-hepta",CC(C)CC(=O)CC(C)C,20.87392398,3393.163076,-78.389,360,441,9
280,Methylcyclohexane,CC1CCCCC1,20.68255613,2972.568278,-49.449,277,398,7
281,Toluene,CC1=CC=CC=C1,20.8393852,3056.958021,-55.525,286,410,7
282,4-Methylpyridine,CC1=CC=NC=C1,21.1077515,3410.637394,-62.537,348,460,6
283,Cyclohexylamine,C1CCC(CC1)N,21.61187948,3673.567283,-42.319,304,408,6
284,Cyclohexanol,C1CCC(CC1)O,21.09950824,3035.958445,-116.55,318,434,6
285,Cyclohexa,C1CCC(=O)CC1,21.0051483,3474.485776,-61.986,298,458,6
286,Phenol,C1=CC=C(C=C1)O,22.35211453,3760.236586,-98.55,315,351,6
287,3-Methylpyridine,CC1=CN=CC=C1,21.126909,3412.831758,-61.802,347,458,6
288,2-Methylpiperidine,CC1CCCCN1,20.57850231,2926.180398,-68.161,324,431,6
289,2-Methylpyridine,CC1=CC=CC=N1,21.08686705,3262.403873,-61.291,291,442,6
290,2-Methylpyrazine,CC1=NC=CN=C1,22.65930241,4618.119925,7.515,406,528,5
291,5-Hexen-2-one,CC(=O)CCC=C,22.4756252,4554.133387,21.222,449,560,6
292,Pentanoic acid,CCCCC(=O)O,22.16330255,3811.202005,-101,372,465,5
293,Isobutyl vinyl ether,CC(C)COC=C,18.10642393,1496.749388,-128.975,283,356,6
294,Ethylene glycol isopropyl ether,CC(C)OCCO,22.13159596,3751.291043,-60.955,340,414,5
295,Propyl ethanoate,CCCOC(=O)C,21.05396311,2956.703466,-64.36,290,399,5
296,Pentane,CCCCC,20.6722866,2451.88471,-41.138,219,328,5
297,1-Pentene,CCCC=C,20.65220806,2403.921863,-39.7,222,318,5
298,Butyl amine,CCCCN,20.87097667,2658.134165,-65.752,297,349,4
299,Butyronitrile,CCCC#N,21.29129055,3332.156084,-49.515,304,401,4
300,3-Butenenitrile,C=CCC#N,23.64962123,3529.867553,-42.763,254,392,4
301,"1,3-Diamino-propane",C(CN)CN,21.3568912,3235.484351,-83.266,353,373,3
302,2-(Methylamino) ethanol,CNCCO,26.19538234,6320.59608,-0.308,350,410,3
303,2-Methoxy ethanol,COCCO,23.20268947,4289.529519,-29.918,329,397,3
304,Diethyl amine,CCNCC,21.83700322,3041.629712,-33.176,244,302,4
305,Divinyl ether,C=COC=C,20.93715297,2400.824886,-46.402,253,323,4
306,Ethyl methanoate,CCOC=O,20.90514703,2535.146187,-57.17,248,348,3
307,Ethyl nitrite,CCON=O,23.34620959,3481.49945,4.316,203,290,2
308,Pyrrole,C1=CNC=C1,21.71314717,3472.291412,-62.045,339,439,4
309,Tetrahydrofuran,C1CCOC1,21.00284572,2770.263151,-46.795,253,362,4
310,Furan,C1=COC=C1,20.94406072,2436.602453,-45.773,276,335,4
311,Di-tert-butyl peroxide,CC(C)(C)OOC(C)(C)C,21.22472282,3847.838436,-0.03,244,310,8
312,5-Methyl-2-hexa,CC(C)CCC(=O)C,21.03690095,3313.373897,-69.63,316,445,7
313,"2,5-Hexandione",CC(=O)CCC(=O)C,21.77395844,4627.519077,-22.244,324,480,6
314,2-Methylpropyl ethanoate,CC(C)COC(=O)C,21.53976251,3367.30044,-53.45,295,369,6
315,Ethyl decanoate,CCCCCCCCCC(=O)OCC,24.39142205,6243.908484,-27.899,359,447,12
316,Methyl caprate,CCCCCCCCCC(=O)OC,22.52190716,4864.945534,-61.783,380,461,11
317,2-Hepta,CCCCCC(=O)C,21.10088979,3389.543412,-70.17,321,451,7
318,Acetic acid 2-methoxyethyl ester,CC(=O)OCCOC,21.91160698,3718.090069,-59.819,343,417,5
319,Hexane,CCCCCC,20.72646643,2696.039321,-48.833,250,358,6
320,1-Pentanamine,CCCCCN,21.24134748,3109.871427,-57.45,285,401,5
321,Valeronitrile,CCCCC#N,21.83767097,3875.939184,-38.355,291,439,5
322,Pentanal,CCCCC=O,21.05506835,3030.201982,-58.15,283,400,5
323,"2-Butyne-1,4-diol",C(C#CCO)O,23.8930275,5391.758582,-89.76,362,503,4
324,"1,2-Dimethoxy ethane",COCCOC,21.29375432,2950.152612,-55.921,359,467,4
325,Propyl methanoate,CCCOC=O,20.65437249,2607.217101,-68.35,268,377,4
326,2-Ethoxy ethanol,CCOCCO,23.1907851,4334.581899,-36.338,273,407,4
327,Cyclohexane,C1CCCCC1,20.56213093,2723.42857,-52.532,282,378,6
328,Cyclohexene,C1CCC=CC1,20.74154836,2827.533048,-49.265,316,365,6
329,Pyridine,C1=CC=NC=C1,21.17199362,3527.056096,-62.616,327,429,5
330,"3,4-Dihydro-2H-pyran",C1CC=COC1,22.32356248,3870.59949,0,273,358,5
331,"1,3,5-Trioxane",C1OCOCO1,23.15237798,4279.672152,-19.036,329,387,3
332,Piperidine,C1CCNCC1,20.68686197,2856.810417,-67.499,315,417,5
333,Morpholine,C1COCCN1,21.38963396,3333.339612,-63.463,346,402,4
334,Diisobutyl amine,CC(C)CNCC(C)C,22.3342695,4100.632346,-32.841,268,412,8
335,Diisopropanolamine,CC(CNCC(C)O)O,25.23861218,6556.058432,-42.4,390,521,6
336,Methyl octanoate,CCCCCCCC(=O)OC,21.92993555,4153.25102,-66.962,373,419,9
337,2-Octa,CCCCCCC(=O)C,21.62288583,3722.105777,-77.05,342,472,8
338,Heptanoic acid,CCCCCCC(=O)O,22.11011284,4036.20141,-114.85,393,522,7
339,2-Ethoxyethyl acetate,CCOCCOC(=O)C,21.01866448,3327.794988,-78.144,310,430,6
340,1-Hexanamine,CCCCCCN,21.40483102,3383.188277,-61.75,307,429,6
341,1-Hexanol,CCCCCCO,21.14919803,2983.206221,-120.64,340,420,6
342,Butyl vinyl ether,CCCCOC=C,21.24673553,3089.838936,-49.263,269,367,6
343,Butyl isocyanate,CCCCN=C=O,19.33165248,2156.117655,-112.484,344,389,5
344,Diethylene triamine,C(CNCCN)N,25.62873917,6616.128272,0,371,442,4
345,Diethanolamine,C(CO)NCCO,23.63304262,5360.256916,-98.798,467,514,4
346,Dipropyl ether,CCCOCCC,20.80480038,2846.27609,-56.458,292,389,6
347,Bis(2-hydroxyethyl) ether,C(COCCO)O,22.49167421,4528.109571,-105.762,411,519,4
348,Ethylene glycol diacetate,CC(=O)OCCOC(=O)C,23.38358055,5025.769589,-39.646,311,464,6
349,Octane,CCCCCCCC,20.84012203,3123.134317,-63.515,298,423,8
350,1-Octene,CCCCCCC=C,20.86107555,3121.06199,-60.1,291,418,8
351,1-Heptanamine,CCCCCCCN,21.19990095,3517.428988,-66.45,325,457,7
352,Adiponitrile,C(CCC#N)CC#N,23.83184782,7053.329314,-0.215,348,440,6
353,1-Heptanol,CCCCCCCO,20.76911031,2935.542709,-132.21,360,430,7
354,Heptanal,CCCCCCC=O,21.06059455,3373.287161,-72.15,323,453,7
355,2-Butoxyethanol,CCCCOCCO,22.03557816,3895.255571,-72.931,278,443,6
356,2-(2-Methoxy-ethoxy)-ethanol,COCCOCCO,20.89324267,3321.757609,-112.496,355,466,5
357,"1,5-Cyclooctadiene",C1/C=C\CC/C=C\C1,19.37885548,2529.852544,-104.467,324,386,8
358,10-Undecenoic acid methyl ester,COC(=O)CCCCCCCCC=C,20.66915509,3528.09226,-135.347,384,523,12
359,Nonane,CCCCCCCCC,20.892644,3311.186441,-70.456,315,449,9
360,Octyl amine,CCCCCCCCN,21.72470615,3989.963198,-61.303,308,452,8
361,1-Octanol,CCCCCCCCO,20.49818814,2935.335477,-145,369,450,8
362,Diethylene glycol monoethyl ether,CCOCCOCCO,24.14573622,5758.127502,-19.203,318,475,6
363,Dibutyl amine,CCCCNCCCC,21.60481054,3709.87905,-64.654,286,432,8
364,Diethylene glycol dimethyl ether,COCCOCCOC,22.71979132,4418.202579,-38.32,386,433,6
365,Nonanoic acid,CCCCCCCCC(=O)O,21.58282085,3918.999828,-139.05,419,557,9
