,Name,Actual,Predict
136,CC1=CC2=C(C=CC2)C=C1,480.15,480.15
137,CC1=CCC2=CC=CC=C12,471.15,468.8994373281747
138,CCC/C=C/CCC,395.45,395.45
139,CC1C=CC2=CC=CC=C12,472.15,472.15
140,CC(C)CC(C)C(C)C,404.55,416.76030386685716
141,CC1=CC2=CC=CC=C2C1,481.15,481.15
142,CCCC(C)C(C)(C)C,406.75,406.75
143,CCC(CC)C(C)(C)C,406.95,406.95
144,CCC(C(C)C)C(C)C,409.85,418.6761754580579
145,CC1=C2C=CCC2=CC=C1,482.15,472.87927089913893
146,CC1=C2CC=CC2=CC=C1,482.15,482.15
147,CCC(=C)C1=CC=CC=C1,455.15,455.15
148,C/C=C(/C)\C1=CC=CC=C1,467.85,468.16596013693606
149,CCCC(C)(C)C(C)C,410.85,410.85
150,C/C=C(\C)/C1=CC=CC=C1,467.85,467.85
151,CC/C=C/C1=CC=CC=C1,471.85,471.85
152,C1CCC2=CC=CC=C2C1,480.75,480.75
153,CC(=CCCC(=C)C=C)C,440.15,440.15
154,CC(C)C1CCC(=C)C=C1,444.65,444.65
155,CCC(C)C(C)C(C)C,412.25,419.84677778343047
156,CC1=CCC(C=C1)C(C)C,445.15,445.15
157,CC1=CCC(CC1)C(=C)C,451.15,451.15
158,CC1=CCC(CC1)C(=C)C,451.15,451.15
159,CCC(C)C(C)(C)CC,413.65,413.65
160,CCC(C)(CC)C(C)C,417.85,417.85
161,CC1=CCC(=C(C)C)CC1,459.15,459.15
162,CC=CC(C)C(C)C=CC,426.65,426.65
163,CC=C(C)CCC(=CC)C,427.15,431.30989409852225
164,CC=C(C)C=CCC(C)C,438.65,438.65
165,CC(=CCCC=C(C)C)C,439.15,419.55829069981786
166,C/C=C(/C)\CCC=C(C)C,441.15,441.15
167,C=CCCCCCCC=C,440.15,426.340716612778
168,CC1(C2CCC(C2)C1=C)C,433.15,433.15
169,CC1(C2CCC(=C)C1C2)C,439.15,439.15
170,CC1=CCC2CC1C2(C)C,428.15,428.6
171,CC1=CCC2CC1C2(C)C,429.05,428.6
