,Name,Actual,Predict
135,C1=CC=C2C=CC=CC2=C1,491.05,490.68582
136,CC1=CC2=C(C=CC2)C=C1,480.15,478.6335
137,CC1=CCC2=CC=CC=C12,471.15,465.51462
138,CCC/C=C/CCC,395.45,395.04645
139,CC1C=CC2=CC=CC=C12,472.15,472.47968
140,CC(C)CC(C)C(C)C,404.55,406.12766
141,CC1=CC2=CC=CC=C2C1,481.15,473.40433
142,CCCC(C)C(C)(C)C,406.75,406.41287
143,CCC(CC)C(C)(C)C,406.95,406.68506
144,CCC(C(C)C)C(C)C,409.85,407.6192
145,CC1=C2C=CCC2=CC=C1,482.15,480.1328
146,CC1=C2CC=CC2=CC=C1,482.15,481.82205
147,CCC(=C)C1=CC=CC=C1,455.15,461.82288
148,C/C=C(/C)\C1=CC=CC=C1,467.85,463.7381
149,CCCC(C)(C)C(C)C,410.85,410.31796
150,C/C=C(\C)/C1=CC=CC=C1,467.85,463.43634
151,CC/C=C/C1=CC=CC=C1,471.85,464.29483
152,C1CCC2=CC=CC=C2C1,480.75,480.58243
153,CC(=CCCC(=C)C=C)C,440.15,443.67783
154,CC(C)C1CCC(=C)C=C1,444.65,440.7455
155,CCC(C)C(C)C(C)C,412.25,408.54977
156,CC1=CCC(C=C1)C(C)C,445.15,440.2129
157,CC1=CCC(CC1)C(=C)C,451.15,447.70203
158,CC1=CCC(CC1)C(=C)C,451.15,447.70203
159,CCC(C)C(C)(C)CC,413.65,409.45972
160,CCC(C)(CC)C(C)C,417.85,415.76538
161,CC1=CCC(=C(C)C)CC1,459.15,451.5037
162,CC=CC(C)C(C)C=CC,426.65,430.85013
163,CC=C(C)CCC(=CC)C,427.15,443.18005
164,CC=C(C)C=CCC(C)C,438.65,437.63947
165,CC(=CCCC=C(C)C)C,439.15,436.44736
166,C/C=C(/C)\CCC=C(C)C,441.15,436.83
167,C=CCCCCCCC=C,440.15,440.312
168,CC1(C2CCC(C2)C1=C)C,433.15,436.82098
169,CC1(C2CCC(=C)C1C2)C,439.15,437.59747
170,CC1=CCC2CC1C2(C)C,428.15,432.7493
171,CC1=CCC2CC1C2(C)C,429.05,432.7493
172,CC1=CCC(CCC1)(C)C,438.15,443.20322
173,CC1CCC(C=C1)C(C)C,440.15,435.6896
174,CC1CCC(=CC1)C(C)C,440.65,440.203
175,CC1=CCC(CC1)C(C)C,446.15,444.6618
176,CC1CCC(=C(C)C)CC1,446.15,445.31375
177,CC1CCCC(=C(C)C)C1,447.15,444.75073
178,CC1=CCC(CC1)C(C)C,447.65,444.6618
179,CCCCCC1=CCCC1,452.15,458.41974
180,C1CCCCC=CCCC1,468.15,469.88138
181,CCCCCCCCC=C,443.65,448.63025
182,CCCC/C=C/CCCC,444.15,445.8883
183,CCCC/C=C\CCCC,444.15,445.89548
184,CC1CCC2(C1C2)C(C)C,430.15,435.29672
185,CC1C2CCC(C2)C1(C)C,439.15,434.8306
186,CC1CCC2C(C1)C2(C)C,442.15,434.44083
187,C1CCC2CCCCC2C1,428.65,461.07648
188,C1CCC2CCCCC2C1,460.45,461.07648
189,C1CCC2CCCCC2C1,468.95,461.07648
190,CC1CCC(CC1)C(C)C,443.85,438.891
191,CC(C)(C)C1CCCCC1,444.65,437.16623
192,CC(C)CC1CCCCC1,444.45,444.4531
193,CCC(C)C1CCCCC1,452.45,447.8152
194,CCCC1CCCCC1C,449.15,447.49197
195,CCCCC1CCCCC1,454.05,454.18906
196,C1CCCCCCCCC1,475.15,473.42328
197,CC(C(C)(C)C)C(C)(C)C,432.45,430.23798
198,CC(C)C(C)(C)C(C)(C)C,439.25,434.10556
199,CC(C)(C)CCC(C)(C)C,410.55,424.58957
200,CC(C)C(C)CC(C)(C)C,421.05,421.67
201,CC(C)CC(C)C(C)(C)C,421.55,424.91315
202,CC(C)CC(C)(C)C(C)C,426.25,427.20276
203,CCC(C)(C)CC(C)(C)C,426.95,426.7417
204,CC(C)C(C)C(C)C(C)C,429.35,430.81372
205,CCC(C)C(C)C(C)(C)C,430.15,429.36633
206,CC(C)C(C(C)C)C(C)C,430.25,430.81372
207,CCCC(C)(C)C(C)(C)C,433.45,432.54117
208,CCC(C)(C)C(C)C(C)C,434.75,431.4269
209,CCCCCC(C)(C)C,405.85,405.29416
210,CCC(C)C(C)(C)C(C)C,437.75,431.6813
211,CCC(C)(CC)C(C)(C)C,442.65,439.52557
212,CC1=CC2=CC=CC=C2C=C1,514.25,515.5304
213,CC1=CC=CC2=CC=CC=C12,517.85,517.98126
214,CCC(C)(C)C(C)(C)CC,443.15,438.27667
215,CCC(CC)CC(C)(C)C,420.15,423.5163
216,CCCC(C)CC(C)C,406.05,409.27386
217,CC(C)CC(C)CC(C)C,420.75,428.16306
218,CCCC(C)CC(C)(C)C,421.45,423.2441
219,CC(C)CCCC(C)(C)C,422.05,422.4579
220,CCC(C)CCC(C)(C)C,423.95,425.24582
221,CCCC(C)(C)CC(C)C,424.15,426.58563
222,CCC(C)(C)CCC(C)C,425.95,428.12854
223,CCC(CC(C)C)C(C)C,427.25,429.63342
224,CCC(C)CC(C)(C)CC,428.85,429.58725
225,CC(C)CCC(C)C(C)C,429.15,430.60953
226,CC1(CCC2=CC=CC=C21)C,464.15,468.21652
227,CCCC(CC)C(C)(C)C,429.25,430.77084
228,CC1=CC2=C(CCCC2)C=C1,507.15,492.05576
229,CC1=C2CCCCC2=CC=C1,507.15,498.2415
230,CCC1=CC(=CC=C1)C(C)C,465.15,467.1717
231,CCC(C)C(C)CC(C)C,429.65,430.3479
232,CCC1=CC=C(C=C1)C(C)C,469.75,467.1717
233,CCCC(C)C1=CC=CC=C1,472.15,465.7607
234,CCCCC/C=C/CCCC,465.15,465.73956
235,CCCCC(C)C(C)(C)C,430.95,430.77084
236,CCCCC/C=C\CCCC,465.45,465.74673
237,CCCCCCCC/C=C/C,465.65,468.65527
238,CCCCCC/C=C\CCC,465.75,465.74673
239,CCCCCCCCCC=C,465.85,465.39572
240,CCCCCC#CCCCCC,483.15,484.73322
241,CCCCCCCCCCC#C,488.15,491.3601
242,C1=CC2=C3C(=C1)C=CC3=CC=C2,553.15,545.4874
243,C1CC2=CC=CC3=C2C1=CC=C3,552.15,550.5449
244,C=C,169.45,187.74144
245,CC=C,225.55,235.45143
246,C=C=C,238.75,237.93977
247,CC=C=C,284.05,281.12735
248,CCC#C,281.15,279.7023
249,CC#CC,300.05,283.79803
250,CC1CC1,273.85,274.78555
251,C1CCC1,285.75,283.12332
252,CC(=C)C,266.25,274.6943
253,CCC=C,266.95,270.26883
254,CC(C)(C)C,282.55,298.9114
255,CC(=C)C=C,307.15,309.99112
256,CC(=C=C)C,313.98,312.4269
257,CC(C)C=C,293.25,298.76422
258,CCC(=C)C,304.35,308.84222
259,CC=C(C)C,311.65,309.33124
260,CCC(C)C,300.95,304.99057
261,C=CCC=C,299.15,304.34552
262,C/C=C/C=C,315.15,309.9495
263,CC=CC=C,315.15,315.95047
264,C/C=C\C=C,317.25,310.2763
265,CCC=C=C,318.05,315.27527
266,CCC(C)(C)C,322.85,327.5675
267,CC=C=CC,321.35,316.32346
268,CCCC=C,303.05,305.66425
269,CCCC=C,308.15,305.66425
270,CC/C=C/C,309.45,309.85422
271,CC/C=C\C,310.05,310.00552
272,CCCCC,309.15,311.92795
273,CC(C)C(C)C,331.05,336.47977
274,CC(=C)C1CC1,343.15,339.1085
275,CC1CC1(C)C,327.15,331.55582
276,CCC1(CC1)C,329.95,333.49374
277,CC(C)C1CC1,331.45,339.79434
278,CC(=C)CC=C,329.15,334.20428
279,CCC(=C=C)C,343.15,343.25113
280,CC(C)C=C=C,343.15,342.65265
281,CC=C=C(C)C,345.15,346.30292
282,CCC(=C)C=C,348.15,342.17825
283,C/C=C(/C)\C=C,349.15,343.05618
284,CC(=CC=C)C,349.65,346.15912
285,CC=C(C)C=C,350.15,343.5793
286,CC(C)CC=C,327.05,330.4348
287,CCC(C)C=C,327.35,330.3996
288,C/C=C\C(C)C,329.45,336.17758
289,C/C=C/C(C)C,331.75,336.62595
290,CCCC(=C)C,335.25,339.9206
291,CCC(=C)CC,337.85,342.62057
292,CCC=C(C)C,340.45,342.44196
293,CC/C(=C\C)/C,340.85,341.58807
294,CC/C(=C/C)/C,343.55,340.99652
295,CCCC(C)C,333.35,336.3549
296,CCC(C)CC,336.35,338.21716
297,C1CC=CC=C1,353.65,353.88812
298,C1C=CCC=C1,358.65,355.14102
299,CC1CCC=C1,338.05,340.646
300,CC1CCC(C1)C,363.95,367.71457
301,CC1CC=CC1,338.85,350.6397
302,CC1=CCCC1,348.65,348.6817
303,C=C1CCCC1,348.65,348.55075
