,Method,Training MAE,Training RMSE,Training R2,Test MAE,Test RMSE,Test R2,Time Evaluate,Time Training
0,DT,5.358167929905716e-05,0.0046372118991137076,0.9999784962658027,0.2968723356898235,0.5801767710539671,0.6541294849894487,1.292403,848.863742
1,RF,0.043193395471337,0.07858921899602966,0.9938237346575941,0.23867647869630773,0.49548270200467553,0.7477391459294491,139.588649,10740.096611
2,XGB,0.0524915354248492,0.0839315043440965,0.9929555025785369,0.21092861689127776,0.39393686283177637,0.8405420739276847,16.635238,99537.743466
3,KNN,5.467550656810755e-05,0.004637215165244704,0.9999784962355113,0.607278641730252,0.9396321905592924,0.09278830384535641,30.370505,8496.117516
