,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
30,CN,6.876868218,8.37847123,9.609833263,10.63788393,11.5091367,56,Methanamine,21.97633264,2419.234054,-35.32,203,288,1,"[1, 6, 7]",3,TRUE,CHN,amine
31,CCC,4.910052976,7.125899702,8.893525429,10.33643769,11.53658451,62,Propane,20.55812443,1851.271507,-26.11,248,270,3,"[1, 6]",2,TRUE,CH,alkane
32,CCN,9.075118122,9.52532134,9.948514801,10.34705837,10.7230448,68,Ethanamine,21.72258777,2539.475047,-40.7,220,308,2,"[1, 6, 7]",3,TRUE,CHN,amine
33,CC=O,7.572662246,9.019203616,10.24567747,11.29875329,12.21277563,70,Ethanal,21.14095477,2465.147601,-37.15,219,313,2,"[1, 6, 8]",3,TRUE,CHO,aldehyde
34,C(=O)N,7.656989245,8.862560234,9.886911993,10.76804896,11.53404309,75,Formamide,23.31176292,5274.025104,-44.106,391,466,1,"[1, 6, 7, 8]",4,TRUE,CHON,amide
35,C1CO1,8.359398381,9.271941633,10.08502578,10.81407074,11.47146552,78,Oxirane,21.45286295,2491.367137,-32.638,223,284,2,"[1, 6, 8]",3,TRUE,CHO,ester
36,CC(C)C,4.88633991,6.949768342,8.705831273,10.21844536,11.53495409,81,2-Methylpropane,20.72952887,2181.791479,-24.28,188,278,4,"[1, 6]",2,TRUE,CH,alkane
37,CC1CO1,7.845951331,8.306794898,8.730851215,9.12235608,9.484919034,96,Propylene oxide,20.9517053,2455.437599,-46.846,199,307,3,"[1, 6, 8]",3,TRUE,CHO,ester
38,CC(C)(C)N,7.355249501,8.157868135,8.881146985,9.536296228,10.13250913,97,tert-Butyl amine,20.47820171,2269.694968,-63.629,292,348,4,"[1, 6, 7]",3,TRUE,CHN,amine
39,CC(C)(C)O,4.899526251,7.136936844,8.901735438,10.32936324,11.50802115,98,2-Methyl-2-propanol,21.74754779,2658.288438,-95.5,283,374,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
40,CC(C)(C)CO,4.50018812,5.395051219,6.146722986,6.787026439,7.339005136,108,"2,2-Dimethyl-1-propanol",23.02631145,3694.958299,-64.95,333,406,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
41,CCC(C)(C)O,4.897990781,7.254816192,9.028551784,10.41176527,11.52063829,109,2-Methyl-2-butanol,19.90400606,1988.051969,-137.85,299,396,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
42,CC(C)(C#N)O,7.578818324,8.841058021,9.907813794,10.82123397,11.6121625,110,Acetone cyanohydrine,44.1152278,12812.38936,0,353,387,4,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
43,CC(C)(C)OO,7.604047655,9.161301989,10.38984123,11.38380996,12.20453488,114,tert-Butyl hydroperoxide,26.91217708,6103.409347,8.37,273,388,4,"[1, 6, 8]",3,TRUE,CHO,ester
44,CC(=O)C(C)(C)C,7.593922127,9.158085135,10.38993096,11.38519445,12.20605951,116,"3,3-Dimethyl-2-buta",23.65906183,4770.956313,13.85,283,403,6,"[1, 6, 8]",3,TRUE,CHO,ketone
45,CCC(CC)(C(=O)OCC)C(=O)OCC,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,130,Diethylmalonic acid diethyl ester,23.00485135,4701.517254,-82.373,386,491,11,"[1, 6, 8]",3,TRUE,CHO,ester
46,CCC(C)(CC)O,2.832161551,3.697618235,4.466758542,5.15481347,5.773963412,131,3-Methyl-3-pentanol,19.59822276,2187.916355,-123.65,306,419,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
47,CC(C)(OC)OC,7.587876654,8.863023788,9.925189509,10.82362089,11.5934685,132,"2,2-Dimethoxy propane",19.96840937,2314.991421,-77.721,292,357,5,"[1, 6, 8]",3,TRUE,CHO,ester
48,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,134,Triethyl citrate,31.34635729,10853.87956,0,400,456,12,"[1, 6, 8]",3,TRUE,CHO,ester
49,CCC(CO)(CO)CO,7.563206541,9.135267943,10.37230452,11.37110001,12.19443343,135,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",22.80632247,4945.326477,-129.79,433,568,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
50,CCC(C)C,4.812011255,7.189660428,8.991037698,10.40300507,11.53951582,147,2-Methylbutane,20.58338379,2376.150384,-38.646,255,323,5,"[1, 6]",2,TRUE,CH,alkane
51,CC(C)CN,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,148,Isobutyl amine,20.61216611,2494.254579,-66.329,255,289,4,"[1, 6, 7]",3,TRUE,CHN,amine
52,CC(C)CO,7.536124817,9.044392455,10.24345776,11.21956274,12.02960503,149,2-Methyl-1-propanol,21.5177498,2740.951243,-106.48,303,401,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
53,CC(C)C=O,4.92161379,7.253671543,9.014297496,10.39059776,11.49603026,150,2-Methylpropanal,23.01829845,2727.361386,-49.322,286,347,4,"[1, 6, 8]",3,TRUE,CHO,aldehyde
54,CCC(C)O,7.59800017,8.829413012,9.885282174,10.80064701,11.60180326,153,2-Butanol,22.10299785,3026.034303,-86.6,295,392,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
55,CCC(=O)C,7.572619422,9.149794316,10.38926342,11.38900216,12.21242831,154,2-Buta,21.04240413,2838.235463,-54.46,265,378,4,"[1, 6, 8]",3,TRUE,CHO,ketone
56,CC(=O)C=C,7.577001615,9.142126605,10.37449932,11.37004006,12.19103397,155,Methyl vinyl ketone,23.75259284,4603.323513,22.27,279,355,4,"[1, 6, 8]",3,TRUE,CHO,ketone
57,CC(CN)O,7.56908616,9.143146576,10.38264775,11.38400672,12.20983889,157,1-Amino-2-propanol,25.68218217,6048.269341,-4.19,306,431,3,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
58,CCC(=O)N,7.212432112,8.538228654,9.676555525,10.66454985,11.53014736,162,Propionamide,22.70139366,4469.105828,-92.898,381,498,3,"[1, 6, 7, 8]",4,TRUE,CHON,amide
59,CCC(=O)O,4.913050093,7.237437379,9.007415253,10.40020393,11.52476417,165,Propanoic acid,22.2092161,3674.465291,-70.364,373,438,3,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
60,C=CC(=O)O,8.627333034,9.692082419,10.58617154,11.3475868,12.00381968,166,Propenoic acid,24.14824603,5030.084634,-15.491,300,415,3,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
61,C(C(=O)O)O,9.634863365,9.840555318,10.03869503,10.22969095,10.41392257,168,Glycolic acid,28.22877221,6235.607664,0,350,375,2,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
62,CC(=O)NC,8.122217456,9.134142982,10.03128981,10.83213821,11.55140322,169,N-Methylacetamide,24.92755596,6431.81094,0,353,479,3,"[1, 6, 7, 8]",4,TRUE,CHON,amide
63,CC(=O)OC,7.577484967,8.835488323,9.899721161,10.81175186,11.6020524,170,Methyl ethanoate,21.28532686,2725.569975,-50.74,260,351,3,"[1, 6, 8]",3,TRUE,CHO,ester
64,CC(C)C(C)C,7.565240996,9.133408274,10.37009753,11.37036379,12.19608891,173,"2,3-Dimethylbutane",20.57327544,2595.934434,-44.154,254,348,6,"[1, 6]",2,TRUE,CH,alkane
65,CC(C)C(=O)O,7.579552151,9.152408083,10.38988194,11.38890975,12.21235358,174,2-Methylpropanoic acid,22.21918629,3695.331318,-82,344,446,4,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
66,CC(=C)C(=O)N,3.64947379,5.987301835,7.76726006,9.167747545,10.29842453,177,Methacrylamide,15.00175635,747.9279925,-296.789,390,418,4,"[1, 6, 7, 8]",4,TRUE,CHON,amide
67,CC(=C)C(=O)O,7.587084264,9.147756772,10.37817016,11.37312477,12.19430639,178,2-Methylpropenoic acid,23.24344522,4402.082181,-59.35,341,438,4,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
68,CC1(C2CCC(C2)C1=C)C,9.054793092,9.734657491,10.34068686,10.88428971,11.37463933,182,Camphene,22.33383201,4299.508923,-36.143,323,434,10,"[1, 6]",2,TRUE,CH,alkene
69,CC(C)(C1=CC=CC=C1)OO,7.621961168,9.20310568,10.44421597,11.44433196,12.26743492,184,Cumenyl hydroperoxide,13.17288208,696.2418649,-263.227,347,389,9,"[1, 6, 8]",3,TRUE,CHO,ester
70,C/C=C(\C)/C(=O)O,4.88765649,7.251185703,9.026404859,10.40865811,11.51542432,185,(E)-2-Methyl-2-butenoic acid,21.58166956,3524.336743,-121.15,373,474,5,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
71,C1CC2=CC=CC3=C2C1=CC=C3,7.614101795,8.861336938,9.916017873,10.81954034,11.60222773,190,Acenaphthene,21.5657587,4810.894651,-71.07,367,413,12,"[1, 6]",2,TRUE,CH,aromatic
72,CC1=CNC2=CC=CC=C12,7.617747767,9.176933055,10.40100848,11.38752661,12.19952497,191,3-Methylindole,24.02333079,6188.549733,-44.505,368,540,9,"[1, 6, 7]",3,TRUE,CHN,aromatic
73,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7.575204635,9.14757133,10.38224652,11.37746826,12.19673833,198,Diethyl phthalate,32.06550067,16410.27067,229.91,413,570,12,"[1, 6, 8]",3,TRUE,CHO,ester
74,C1=CC=C2C(=C1)C(=O)OC2=O,7.56908616,9.143146576,10.38264775,11.38400672,12.20983889,204,Phthalic anhydride,20.02951997,3622.387724,-133.336,404,558,8,"[1, 6, 8]",3,TRUE,CHO,aromatic
75,CC(C)CCOC(=O)C1=CC=CC=C1O,8.622547828,9.602704166,10.4374958,11.15702835,11.78363092,214,Isopentyl salicylate,18.39394773,3468.489844,-113.642,287,328,12,"[1, 6, 8]",3,TRUE,CHO,ester
76,CCOC(=O)C1=CC=CC=C1N,7.567286495,8.848536229,9.919576099,10.82821658,11.60879112,215,Ethyl anthranilate,20.82939198,3994.40949,-113.5,433,593,9,"[1, 6, 7, 8]",4,TRUE,CHON,ester
77,CCCC(C)C1=CC=CC=C1O,7.572576809,9.137601151,10.3719673,11.3704549,12.19477931,216,2-(2-Pentyl)phenol,21.0138751,3850.368977,-109.909,397,501,11,"[1, 6, 8]",3,TRUE,CHO,alcohol
78,C1C2=CC=CC=C2C(=O)O1,7.583605776,9.148904614,10.38164495,11.37763116,12.1990923,217,Phthalide,22.57035355,5740.121286,-43.794,368,563,8,"[1, 6, 8]",3,TRUE,CHO,ester
79,C1=CC(=C(C(=C1)O)O)O,7.587084264,9.147756772,10.37817016,11.37312477,12.19430639,221,"1,2,3-Trihydroxybenzene",30.58859956,14248.18702,166.406,458,582,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
80,CCCCOC(=O)C(C(C(=O)OCCCC)O)O,7.855063865,8.615037018,9.280973985,9.869311384,10.39286611,225,Dibutyl tartrate,30.91400089,13064.80795,73.947,428,511,12,"[1, 6, 8]",3,TRUE,CHO,ester
81,CC1=CC(=C(C(=C1)C)N)C,9.032416133,9.485485205,9.915192305,10.32329897,10.71139397,226,"2,4,6-Trimethyl-aniline",24.2840525,5865.939141,-39.039,341,477,9,"[1, 6, 7]",3,TRUE,CHN,amine
82,CCC(CC)C(=O)O,9.022800717,9.526226375,9.957297542,10.33056707,10.65693027,228,2-Ethylbutyric acid,25.12599274,5953.029817,-28.838,374,467,6,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
83,CC(C)(C)C1=CC=CC=C1O,7.769813358,8.849117442,9.83093279,10.72789723,11.55055468,231,2-tert-Butylphenol,21.8140004,4435.384469,-66.116,328,497,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
84,CC1=CC(=C(C=C1)C(C)(C)C)O,4.841547883,7.13067704,8.91347251,10.34119941,11.51032648,232,3-Methyl-6-tert-butylphenol,21.82268114,4439.14459,-83.918,378,517,11,"[1, 6, 8]",3,TRUE,CHO,alcohol
85,CC(C)C1=CC=CC=C1O,4.806119119,7.076464811,8.871138368,10.32545533,11.52785184,233,2-Isopropylphenol,21.10335356,3690.512007,101.616,375,493,9,"[1, 6, 8]",3,TRUE,CHO,alcohol
86,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,6.51449844,8.086370258,9.417052585,10.55810246,11.54735976,239,Pyromellitic acid,26.15248518,9604.358733,0,561,622,10,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
87,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,4.879297722,7.137164864,8.91329849,10.34700946,11.52861558,240,Pyromellitic acid dianhydride,15.52481158,1162.123907,-383.267,562,622,10,"[1, 6, 8]",3,TRUE,CHO,aromatic
88,CCC(C)C1=CC=CC=C1O,11.50271186,11.55594953,11.60885653,11.66143594,11.71369078,242,2-sec-Butylphenol,20.89485448,3667.18682,-109.418,452,513,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
89,C[C@@H]1CCC(=C(C)C)C(=O)C1,5.616559215,6.289950423,6.905231803,7.469614056,7.989162257,243,Pulegone,18.5783848,2309.716199,-163.383,331,494,10,"[1, 6, 8]",3,TRUE,CHO,ketone
90,CC1=CC(=C(C=C1)C(C)C)O,7.181889292,8.521474861,9.673452846,10.67465546,11.55286565,244,p-Cymen-3-ol,22.81111184,5029.025445,-58.598,339,514,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
91,CCC1=CC=CC=C1O,9.349519465,9.961740139,10.52299954,11.03940645,11.5161308,246,2-Ethylphenol,21.02444397,3565.373415,-102.305,424,491,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
92,C1=CC=C(C(=C1)C=O)O,6.45895948,8.022972462,9.360993152,10.51870334,11.53024994,247,2-Hydroxy-benzaldehyde,22.85955823,5009.246239,-27.593,306,470,7,"[1, 6, 8]",3,TRUE,CHO,aldehyde
93,COC1=CC=CC=C1N,9.389937057,9.721411666,10.04224919,10.35295356,10.65399737,248,2-Aminoanisole,25.18763294,6680.236846,-2.9,334,492,7,"[1, 6, 7, 8]",4,TRUE,CHON,ester
94,COC1=CC=CC=C1O,8.527531565,9.503269577,10.30494331,10.97531608,11.54420361,249,2-Methoxyphenol,19.83856659,2873.036734,-133.807,361,479,7,"[1, 6, 8]",3,TRUE,CHO,ester
95,CC1=CC=CC2=CC=CC=C12,7.190129834,8.529108854,9.679928089,10.67964544,11.55618696,251,1-Methylnaphthalene,21.09356757,4206.707836,-78.148,390,551,11,"[1, 6]",2,TRUE,CH,aromatic
96,C1=CC=C2C(=C1)C=CC=C2O,4.867028453,7.176601259,8.960698782,10.38033829,11.53684806,254,1-Naphthol,23.69182762,6514.395457,-19.82,414,556,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
97,C1=CC=C(C=C1)C2=CC=CC=C2O,6.494054535,8.104359053,9.438722751,10.56247574,11.52183373,256,2-Phenylphenol,23.46603612,5713.871816,-70.966,435,548,12,"[1, 6, 8]",3,TRUE,CHO,alcohol
98,CC1=C(C=CC=C1N=C=O)N=C=O,6.502943335,8.050339619,9.374917365,10.52157162,11.52389547,258,"2,6-Toluene diisocyanate",20.15883315,3469.090819,-124.909,373,474,9,"[1, 6, 7, 8]",4,TRUE,CHON,aromatic
99,C1=CC=C2C=CC=CC2=C1,4.877087328,7.118408997,8.890830304,10.32756276,11.51572357,259,Naphthalene,21.03176619,3995.583808,-70.82,418,613,10,"[1, 6]",2,TRUE,CH,aromatic
100,C1=CC=C2C(=C1)C=CC=N2,4.849426168,7.146978774,8.930587892,10.35535357,11.51967108,260,Quinoline,21.48719449,4440.63206,-64.59,519,702,9,"[1, 6, 7]",3,TRUE,CHN,aromatic
101,CC1=CC2=CC=CC=C2C=C1,4.868681317,7.18509754,8.968396771,10.38362925,11.53408696,262,2-Methylnaphthalene,21.16858579,4237.378269,-74.755,387,547,11,"[1, 6]",2,TRUE,CH,aromatic
102,C1=CC=C2C=C(C=CC2=C1)N,7.194949117,8.645138098,9.813578409,10.77510898,11.58021939,264,2-Naphthalenamine,22.77206,5996.645384,-46.07,388,579,10,"[1, 6, 7]",3,TRUE,CHN,amine
103,CC1=CC2=C(C=C1)N=CC=C2,6.483556405,8.07750302,9.416893918,10.55819931,11.5423365,265,6-Methylquinoline,20.83530963,4017.430736,-106.755,453,541,10,"[1, 6, 7]",3,TRUE,CHN,aromatic
104,C1=CC=C2C(=C1)C=CC(=O)O2,7.193359307,8.505340042,9.64843484,10.65328174,11.54353054,267,"1,2-Benzopyrone",23.70188991,6400.935577,-38.741,379,564,9,"[1, 6, 8]",3,TRUE,CHO,aromatic
105,CCN(CC)C1=CC=CC=C1,7.770052187,8.900385175,9.878854548,10.73413878,11.48812298,268,"N,N-Diethylaniline",23.23071193,5364.424595,-30.394,322,489,10,"[1, 6, 7]",3,TRUE,CHN,amine
106,CCN(CC)C1=CC(=CC=C1)O,8.826260868,9.863033452,10.74001068,11.4914926,12.14261806,269,3-(Diethylamino)-phenol,22.65036838,4924.096642,-108.741,431,554,10,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
107,C1=CC=C(C=C1)C2=CC=C(C=C2)O,4.884453981,7.181086748,8.953007126,10.36160097,11.50822523,273,4-Phenylphenol,26.26547303,8455.297392,-6.667,450,581,12,"[1, 6, 8]",3,TRUE,CHO,alcohol
108,CC(=O)C1=CC2=CC=CC=C2C=C1,4.87920206,7.104653525,8.877329843,10.32265034,11.52362811,278,2-Acetyl-naphthalene,25.84990247,8173.615249,-3.312,393,575,12,"[1, 6, 8]",3,TRUE,CHO,ketone
109,C1=CC=C2C=C(C=CC2=C1)C(=O)O,3.183149743,4.035798334,4.830641982,5.573366255,6.268934762,279,2-Naphthoic acid,30.17093365,10464.17164,-20.274,433,582,11,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
110,COC1=C(C=C(C=C1)CC=C)OC,4.8728216,7.094014043,8.869670436,10.32162318,11.53099506,280,"1,2-Dimethoxy-4-allyl benzene",24.70369864,6428.815277,-33.535,358,521,11,"[1, 6, 8]",3,TRUE,CHO,ester
111,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,4.506556746,5.100327581,5.665823613,6.205017505,6.719702584,281,Eugenol acetate,24.03164312,6526.371202,-33.501,374,555,12,"[1, 6, 8]",3,TRUE,CHO,ester
112,CC1=CC(=C(C=C1)O)OC,4.829179406,5.47686383,6.074719084,6.628282521,7.14230034,282,2-Methoxy-4-methyl phenol,21.86083498,4391.65147,-70.184,356,503,8,"[1, 6, 8]",3,TRUE,CHO,ester
113,CCC(=O)C1=CC=CC=C1,4.907358182,7.132554199,8.89615713,10.32829859,11.51439669,284,1-Phenyl-1-propa,19.85712543,3022.462994,-128.785,405,492,9,"[1, 6, 8]",3,TRUE,CHO,ketone
114,COC(=O)C1=CC=CC=C1,8.745633428,9.595521003,10.32808975,10.96606339,11.52665301,285,Methyl benzoate,20.68151997,3466.023776,-93.99,333,472,8,"[1, 6, 8]",3,TRUE,CHO,ester
115,CCOC(=O)C1=CC=CC=C1,6.140270477,6.798533346,7.402394325,7.95832983,8.471827509,286,Ethyl benzoate,20.43360063,3398.880395,-104.874,344,440,9,"[1, 6, 8]",3,TRUE,CHO,ester
116,CCOC(=O)CC(=O)C1=CC=CC=C1,9.062275513,10.04560444,10.88098272,11.59946486,12.2239827,290,Ethyl benzoylacetate,27.84283592,8906.201117,7.527,381,538,11,"[1, 6, 8]",3,TRUE,CHO,ester
117,CC(C)CCOC(=O)C1=CC=CC=C1,3.740928097,4.723750557,5.618043972,6.43525439,7.184936216,291,Isopentyl benzoate,25.03055059,7815.510308,43.314,345,536,12,"[1, 6, 8]",3,TRUE,CHO,ester
118,CCOC1=CC=CC=C1N,7.177411536,8.495237727,9.640589433,10.64524668,11.5336336,292,2-Ethoxyaniline,24.25690502,6006.148152,-29.807,340,501,8,"[1, 6, 7, 8]",4,TRUE,CHON,ester
119,CC1=CC=CC=C1C,3.304008161,3.966409619,4.499131857,4.936860828,5.302924939,297,"1,2-Dimethylbenzene",20.94866589,3358.794691,-60.109,313,445,8,"[1, 6]",2,TRUE,CH,aromatic
120,CC1=CC=CC=C1O,4.888935683,7.159511046,8.936762885,10.36571216,11.53961076,298,2-Methylphenol,21.14555994,3533.408929,-96.85,356,493,7,"[1, 6, 8]",3,TRUE,CHO,alcohol
