,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
444,C1=CC=C(C=C1)CCCO,7.585286324,9.146940505,10.37950517,11.37708875,12.20103997,840,3-Phenyl-1-propanol,24.13611141,5877.364568,-42.345,348,508,9,"[1, 6, 8]",3,TRUE,CHO,alcohol
445,C1=CC=C(C=C1)NCCO,7.957080821,9.3635478,10.49355323,11.42131648,12.19667227,841,2-Anilinoethanol,23.53621892,5859.641571,-64.75,377,553,8,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
446,C1=CC=C(C=C1)OCCO,7.403169969,9.013325029,10.2763309,11.29353078,12.13031919,842,2-Phenoxy ethanol,23.49511777,5595.680123,-50.46,351,518,8,"[1, 6, 8]",3,TRUE,CHO,ester
447,CCC1=CC=C(C=C1)O,7.621561114,9.17948618,10.40528887,11.39494321,12.2106938,846,4-Ethylphenol,21.04383173,3569.711485,-116.086,445,502,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
448,C1=CC(=CC=C1C=O)O,7.613631276,9.171963593,10.400532,11.3939947,12.21394498,847,4-Hydroxy-benzaldehyde,23.78650992,6587.613058,-45.582,394,583,7,"[1, 6, 8]",3,TRUE,CHO,aldehyde
449,COC1=CC=C(C=C1)C=O,7.579100074,9.157162838,10.39624784,11.39498386,12.21711991,848,4-Methoxy benzaldehyde,22.85670303,5403.692881,-45.117,347,522,8,"[1, 6, 8]",3,TRUE,CHO,ester
450,CCCC(=O)CCC,7.570299992,9.137616326,10.37363451,11.37335799,12.19863504,849,4-Hepta,25.70113245,5398.756138,-36.06,296,417,7,"[1, 6, 8]",3,TRUE,CHO,ketone
451,CCCC(=O)OC=C,4.892803813,7.09963559,8.867453552,10.31540829,11.52311011,850,Vinyl butanoate,23.69597227,4722.65038,0,1,390,6,"[1, 6, 8]",3,TRUE,CHO,ester
452,CCOC(=O)CCC(=O)OCC,4.825495864,7.046293262,8.831090509,10.2968076,11.52198967,851,Diethyl succinate,21.41609067,3829.988796,-101.346,357,488,8,"[1, 6, 8]",3,TRUE,CHO,ester
453,C1=CC(=CC=C1N)O,7.569539905,9.119224607,10.35553536,11.36479853,12.20429958,852,4-Aminophenol,20.55001933,3162.384182,-206.235,418,458,6,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
454,C1=CC(=CC=C1O)O,8.114868289,9.365859973,10.41301595,11.30240249,12.06717718,853,"1,4-Benzenediol",24.97254847,6991.426616,-39.017,432,560,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
455,C=CCOCC(CO)O,11.53632927,12.66745693,13.56943916,14.30550261,14.91757216,854,Glycerol-1-allyl ether,21.83797031,4287.887776,-104.561,323,383,6,"[1, 6, 8]",3,TRUE,CHO,ester
456,CC(=CCCC(=C)C=C)C,4.821627751,7.224396421,9.022917495,10.41966584,11.53574333,855,"7-Methyl-3-methylene-1,6-octadiene",22.27442531,4416.164791,-33.537,287,444,10,"[1, 6]",2,TRUE,CH,alkene
457,CNC=O,5.47691468,6.865763466,8.084975807,9.163842435,10.12527766,857,N-Methylformamide,22.15614151,4258.400871,-72.061,369,472,2,"[1, 6, 7, 8]",4,TRUE,CHON,amide
458,CC(=O)CC(C)(C)O,7.621910025,9.148464562,10.23578479,11.04959907,11.68157532,858,4-Hydroxy-4-methyl-2-penta,22.97224675,4564.812777,-42.633,295,441,6,"[1, 6, 8]",3,TRUE,CHO,ketone
459,CC(C)CC(C)(C)CO,8.43864949,9.393337579,10.20856776,10.91281746,11.52730475,859,"2,2,4-Trimethyl-1-pentanol",21.19089784,3276.808846,-102.35,343,456,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
460,CC(C)CCO,4.713501091,7.12421029,8.771648955,9.968770187,10.87801076,860,3-Methyl-1-butanol,20.90404179,2597.753476,-126.68,322,425,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
461,CC(=O)CC(=O)C,7.19583994,8.667705479,9.826848049,10.76336165,11.53576497,861,"2,4-Pentandione",22.36316694,4909.537397,40.581,428,596,5,"[1, 6, 8]",3,TRUE,CHO,ketone
462,CCCCCC(=O)OCC,7.577599053,9.148980143,10.38196386,11.37523523,12.1925069,863,Ethyl hexanoate,22.01899955,4034.283356,-55.08,300,440,8,"[1, 6, 8]",3,TRUE,CHO,ester
463,CCCC=O,7.559623026,9.17703724,10.41815902,11.40062166,12.19765417,864,Butanal,21.05967352,2839.08742,-50.15,261,371,4,"[1, 6, 8]",3,TRUE,CHO,aldehyde
464,C/C=C/C=O,6.692816441,8.550460037,9.847749799,10.80500105,11.54041609,865,trans-2-Butenal,24.95320676,5788.480178,55.918,288,376,4,"[1, 6, 8]",3,TRUE,CHO,aldehyde
465,CC(=O)CCC(=O)O,7.576774133,8.954347331,10.11357061,11.10254562,11.95621173,867,4-Oxopentanoic acid,26.91180866,7365.117756,-40.635,375,519,5,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
466,CCCCOC(=O)C,7.608965968,9.045948918,10.19527504,11.13546078,11.91883067,868,Butyl ethanoate,21.87455838,3676.537618,-43.85,301,385,6,"[1, 6, 8]",3,TRUE,CHO,ester
467,C1COCCO1,7.602654759,9.173023099,10.40348487,11.39362208,12.20757829,869,"1,4-Dioxane",22.09374146,3840.117868,-8.669,427,583,4,"[1, 6, 8]",3,TRUE,CHO,ester
468,CC(C)CCOC(=O)C,7.610828317,9.167424766,10.39320171,11.38349116,12.20020622,870,Isopentyl acetate,21.33460218,3441.92492,-64.067,273,415,7,"[1, 6, 8]",3,TRUE,CHO,ester
469,C(CCCC(=O)O)CCCC(=O)O,7.589548764,9.14799117,10.37816767,11.3739132,12.19641026,872,Nonanedioic acid,25.55063548,7810.267322,-73.354,451,630,9,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
470,CCCCCCCC(=O)O,7.595827419,9.135353677,10.36408544,11.3675073,12.2023865,875,Octanoic acid,21.77708996,6218.57314,-130,417,514,8,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
471,C(CCCN)CCN,8.202611081,9.448446075,10.46630693,11.31352345,12.02968944,876,"1,6-Diaminohexane",22.94721765,5043.004439,-31.035,394,564,6,"[1, 6, 7]",3,TRUE,CHN,amine
472,CCCCCCCC=C,7.617772708,9.171646157,10.39713416,11.38838646,12.20670143,878,1-ne,20.90563058,3306.972711,-67.46,312,438,9,"[1, 6]",2,TRUE,CH,alkene
473,CCCCCCCC=O,7.589058839,9.16783508,10.40988603,11.41255705,12.23896891,880,Octanal,23.30008881,5225.947127,0,293,438,8,"[1, 6, 8]",3,TRUE,CHO,aldehyde
474,CCCCOCCOCCOC(=O)C,7.583430313,9.15474429,10.38803744,11.38178974,12.19961219,881,Diethylene glycol monobutyl ether acetate,26.55580598,8585.494763,51.821,293,519,10,"[1, 6, 8]",3,TRUE,CHO,ester
475,CCCCCCCCC=O,8.181971773,9.454728431,10.4920518,11.3537368,12.08091001,883,Nonanal,23.72680388,5314.159162,-22.65,306,458,9,"[1, 6, 8]",3,TRUE,CHO,aldehyde
476,CNC,7.591789494,9.155720906,10.3865906,11.38055506,12.2000057,888,Dimethyl amine,21.44107371,2306.849481,-47.342,201,280,2,"[1, 6, 7]",3,TRUE,CHN,amine
477,CC(=O)O[C@H]1C[C@@H]2CC[C@]1(C2(C)C)C,7.573045476,9.147094685,10.38617729,11.38693457,12.21209338,891,Isobornyl acetate,17.57293799,1868.619183,-198.026,405,450,12,"[1, 6, 8]",3,TRUE,CHO,ester
478,CC(C)(CO)CO,7.581931863,9.150155053,10.38191384,11.3750008,12.19265825,892,"2,2-Dimethyl-1,3-propanediol",27.9174627,7753.775699,0,402,437,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
479,CC(=C)C#N,7.60823237,9.16683068,10.39628065,11.39088971,12.21207829,899,Methacrylonitrile,20.9321103,2917.154265,-53.27,273,373,4,"[1, 6, 7]",3,TRUE,CHN,alkene
480,CC(=O)N(C)C,9.620570572,10.01833081,10.39644128,10.75632298,11.09926309,904,"N,N-Dimethyl-acetamide",27.27596249,7538.203077,61.34,303,363,4,"[1, 6, 7, 8]",4,TRUE,CHON,amide
481,COC(=O)C1=CC=CC=C1C(=O)OC,7.591805835,9.053055089,10.27454659,11.31081461,12.20102015,908,Dimethyl phthalate,16.76555955,1345.073503,-294.004,495,523,10,"[1, 6, 8]",3,TRUE,CHO,ester
482,C1=CC=C2C(=C1)C3=CC=CC=C3O2,7.586749856,9.153108907,10.38919183,11.3894969,12.21561092,918,"Dibenzo[b,d]furan",21.26626145,4635.140634,-82.401,433,603,12,"[1, 6, 8]",3,TRUE,CHO,aromatic
483,COC(=O)C1=CC=CC=C1N,4.921942711,7.097833672,8.85139541,10.29470867,11.50341772,920,Anthranilic acid methyl ester,22.23912668,5295.812164,-45.448,350,540,8,"[1, 6, 7, 8]",4,TRUE,CHON,ester
484,CCN(CC)C(=O)C1=CC=CC(=C1)C,7.190231887,8.579804808,9.733754202,10.70732653,11.53974882,922,"N,N-Diethyl-m-toluamide",17.00661719,3873.153056,0,298,404,12,"[1, 6, 7, 8]",4,TRUE,CHON,amide
485,CCC1=CC=CC=C1CC,4.840525867,7.185370962,8.972932132,10.38077765,11.51828037,924,"1,2-Diethylbenzene",21.00450358,3645.913236,-71.91,344,486,10,"[1, 6]",2,TRUE,CH,aromatic
486,C1=CC=C2C=C(C=CC2=C1)O,4.888067164,7.150484615,8.920199827,10.34235701,11.51018767,925,2-Naphthol,24.10970076,7020.395439,-2.241,417,561,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
487,CCCCOC(=O)C1=CC=CC=C1,8.750229955,9.436042358,10.0563505,10.62011142,11.1347203,927,Butyl benzoate,19.658113,3103.166299,-142.92,374,475,11,"[1, 6, 8]",3,TRUE,CHO,ester
488,CCC(C)CO,3.001741459,3.367409046,3.72313401,4.069316427,4.406335191,929,2-Methyl-1-butanol,21.16582269,2752.187858,-116.32,320,423,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
489,C1=CC=C(C=C1)/C=C/C(=O)O,7.65468901,8.900287011,9.931918947,10.80035606,11.54148388,931,(E)-Cinnamic acid,26.44779171,8418.122155,-8.93,431,573,9,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
490,CC(=O)OCC1=CC=CC=C1,4.887402671,7.168342941,8.9424542,10.36177257,11.52305247,932,Benzyl acetate,21.18965445,3863.307203,-89.669,319,489,9,"[1, 6, 8]",3,TRUE,CHO,ester
491,C1=CC=C(C=C1)CC#N,4.890659241,7.172408361,8.950772304,10.37578214,11.54323569,934,Phenyl acetonitrile,22.6922524,5201.746958,-40.895,333,506,8,"[1, 6, 7]",3,TRUE,CHN,aromatic
492,C1CN(CCN1)CCN,7.707826159,8.981414785,10.03369422,10.91773796,11.67090519,935,1-(2-Aminoethyl) piperazine,24.84438658,6501.480257,0,435,488,6,"[1, 6, 7]",3,TRUE,CHN,amine
493,CC1=CC=C(C=C1)OC(=O)C,7.605019958,9.161887964,10.39156066,11.38737623,12.21025378,936,4-Tolyl acetate,25.94833798,7018.627054,8.512,373,478,9,"[1, 6, 8]",3,TRUE,CHO,ester
494,COC1=CC=C(C=C1)CC=C,8.785577285,9.602028788,10.31589343,10.94536331,11.50456916,938,4-Allylanisol,23.10446119,5168.216714,-41.916,325,488,10,"[1, 6, 8]",3,TRUE,CHO,ester
495,CCOC(=O)C=C,13.36019763,13.81152321,14.21313369,14.57281468,14.8968068,939,Ethyl acrylate,22.81755908,3943.957548,-23.216,243,393,5,"[1, 6, 8]",3,TRUE,CHO,ester
496,CCCCOC(=O)CCC(=O)OCCCC,5.079595778,6.355167121,7.301855817,8.032331496,8.613073511,940,Dibutyl succinate,27.15033345,8358.197378,1.193,398,475,12,"[1, 6, 8]",3,TRUE,CHO,ester
497,CCOC(=O)CC(C(=O)OCC)O,4.877406324,7.243058713,9.032444566,10.43326732,11.55969526,941,Diethyl malate,23.03830792,5295.321713,-38.605,330,498,8,"[1, 6, 8]",3,TRUE,CHO,ester
498,CC(=CCC/C(=C/C=O)/C)C,8.738820084,9.595138155,10.33710603,10.98619509,11.55881779,942,"3,7-Dimethyl-2,6-octadienal",23.28940482,5443.826939,-38.879,334,501,10,"[1, 6, 8]",3,TRUE,CHO,aldehyde
499,CCOC(=O)CCCCC(=O)OCC,7.399461136,8.965906398,10.2001769,11.19780337,12.02088921,943,Diethyl adipate,33.45948568,15620.19847,199.514,347,513,10,"[1, 6, 8]",3,TRUE,CHO,ester
500,CCCCOC(=O)C=C,7.586070977,9.149585845,10.37969749,11.37277338,12.19130578,944,Butyl acrylate,21.68114124,3802.521259,-46.14,273,420,7,"[1, 6, 8]",3,TRUE,CHO,ester
501,C(CO)N,11.49478809,12.19234268,12.81026715,13.36146065,13.85617903,945,2-Aminoethanol,22.06267959,3632.719424,-99.782,339,444,2,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
502,CC(CC(C)(C)OC)O,7.57465502,9.14820167,10.38569327,11.38439786,12.20734866,947,4-Methoxy-4-methyl-2-pentanol,21.460922,3736.572919,-65.589,343,423,7,"[1, 6, 8]",3,TRUE,CHO,ester
503,CCOC(=O)C,7.585648819,9.155444218,10.38789187,11.38118462,12.19877737,948,Ethyl ethanoate,21.15612881,2819.906886,-57.44,271,373,4,"[1, 6, 8]",3,TRUE,CHO,ester
504,CC(=CC(=O)C)C,7.579704366,9.171151132,10.40900694,11.39933184,12.20962428,949,4-Methyl-3-penten-2-one,21.17510211,3283.391937,-62.623,292,409,6,"[1, 6, 8]",3,TRUE,CHO,ketone
505,CCC1=CC(=CC=C1)CC,4.866466676,7.152938912,8.930975225,10.35319581,11.51669303,951,"1,3-Diethylbenzene",21.04751587,3646.258624,-71.29,342,484,10,"[1, 6]",2,TRUE,CH,aromatic
506,CCOC(=O)CC(=O)C,8.824809862,9.633110904,10.33978179,10.9628562,11.51633947,952,Ethyl acetoacetate,23.19649551,4912.166949,-33.217,301,460,6,"[1, 6, 8]",3,TRUE,CHO,ester
507,CCCCCCOC(=O)C(=C)C,8.090358171,9.300861882,10.31943329,11.1883673,11.93838216,953,Hexyl methacrylate,24.29073,6067.719278,0,354,476,10,"[1, 6, 8]",3,TRUE,CHO,ester
508,C1CC=CC1,4.819513272,7.195877396,8.991405838,10.39586107,11.52446151,955,Cyclopentene,20.82729663,2581.663011,-39.81,195,319,5,"[1, 6]",2,TRUE,CH,alkene
509,C1CCOCC1,7.161408951,8.48265961,9.627443637,10.62890132,11.51236353,956,Tetrahydropyran,20.58402852,2680.547528,-65.53,361,487,5,"[1, 6, 8]",3,TRUE,CHO,ester
510,CCCCCCC,5.363718575,7.42477391,8.989843683,10.21873509,11.2092602,958,Heptane,20.76984713,2910.260325,-56.718,274,388,7,"[1, 6]",2,TRUE,CH,alkane
511,CCCCOCCCC,7.587052082,8.935388994,10.00595206,10.87656243,11.59845428,961,Dibutyl ether,20.52036204,2975.416575,-82.627,362,413,8,"[1, 6, 8]",3,TRUE,CHO,ester
512,CCCCCCCCCCCC(=O)O,7.38897022,9.043265488,10.328791,11.35648868,12.19685484,962,Dodecanoic acid,20.82642165,3712.457945,-172.65,453,603,12,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
513,CCCCCCCCCOC(=O)C,7.594546008,9.159976395,10.39056843,11.38337329,12.20124019,965,Nonyl acetate,24.83729462,6648.979253,0,298,369,11,"[1, 6, 8]",3,TRUE,CHO,ester
514,COCCOCCOCCOCCOC,7.574405652,9.004922217,10.16344085,11.12080305,11.92521469,968,Tetraethylene glycol dimethyl ether,25.23050708,7514.679868,0,419,548,10,"[1, 6, 8]",3,TRUE,CHO,ester
515,CC(C)C(C(C)(C)CO)O,7.60511605,8.958767328,10.02507952,10.88676411,11.59756684,970,"2,2,4-Trimethyl-1,3-pentanediol",20.55499292,3151.872881,-152.866,413,502,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
516,CCCCC(CC)C(=O)O,7.050008714,8.433042819,9.612022712,10.62900537,11.51523311,974,2-Ethyl hexanoic acid,27.42701208,8402.83299,28.409,403,500,8,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
517,COC(OC)OC,7.571566961,9.029414702,10.19420772,11.14623995,11.93892719,975,Methyl orthoformate,24.20799812,4694.971005,0,273,358,4,"[1, 6, 8]",3,TRUE,CHO,ester
518,COC1=CC=CC(=C1)O,7.57337786,9.148208352,10.38627009,11.38515275,12.20806105,977,3-Methoxyphenol,20.15996142,3075.585935,-161.975,399,518,7,"[1, 6, 8]",3,TRUE,CHO,ester
519,COC1=CC=C(C=C1)O,7.613043995,9.170141693,10.39739957,11.38958521,12.20833514,979,4-Methoxyphenol,21.2228347,3793.713871,-126.791,397,518,7,"[1, 6, 8]",3,TRUE,CHO,ester
520,COC1=CC(=CC=C1)OC,7.570299992,9.137616326,10.37363451,11.37335799,12.19863504,981,"1,3-Dimethoxy-benzene",17.2721513,1771.148454,-188.95,358,423,8,"[1, 6, 8]",3,TRUE,CHO,ester
521,C1CC12CC2,7.610859225,9.161095804,10.38551658,11.37706987,12.19641916,986,Spiro[2.2]pentane,20.81041868,2504.086617,-42.395,276,344,5,"[1, 6]",2,TRUE,CH,alkane
522,C1CCC2(CC1)CCCC2,7.620137166,9.111381798,10.32668901,11.33616147,12.18800941,987,Spiro[4.5]decane,23.42171136,5542.478895,8.864,347,390,10,"[1, 6]",2,TRUE,CH,alkane
523,C1CCCC2(CC1)CCCCC2,4.150117283,7.096282501,9.115957818,10.58679662,11.70575351,989,Spiro[5.6]dodecane,35.14504705,12057.94736,0,389,430,12,"[1, 6]",2,TRUE,CH,alkane
524,C1CC2C1C2,7.59162706,9.098040525,10.29729001,11.27463151,12.08644156,990,Bicyclo[2.1.0]pentane,20.6742438,2511.293708,-44.597,296,315,5,"[1, 6]",2,TRUE,CH,alkane
525,C1=CC=C2C(=C1)C3=CC=CC=C23,4.879073966,7.099194138,8.868922556,10.31269266,11.51296558,995,Biphenylene,22.47751332,5342.621416,-51.02,338,408,12,"[1, 6]",2,TRUE,CH,aromatic
526,C1=CC=C2C(=C1)C=CO2,8.729258049,9.581838123,10.32105518,10.96810967,11.53922589,997,"2,3-Benzofuran",18.92881522,2531.068309,-110.232,326,393,8,"[1, 6, 8]",3,TRUE,CHO,aromatic
527,C1=CC=C2C=CC=C2C=C1,7.627028158,9.183861129,10.40779642,11.39529609,12.20883639,998,Azulene,18.91727927,3062.233244,-121.182,373,423,10,"[1, 6]",2,TRUE,CH,aromatic
528,C1CCC2OC(C1)OO2,7.6091864,9.159161229,10.3830767,11.37402777,12.1927491,999,"7,8,9-Trioxabicyclo-[4.2.1]nonane",12.65995823,893.048418,0,276,311,6,"[1, 6, 8]",3,TRUE,CHO,ester
529,C1C[C@@H]2C[C@@H]2C1,7.598852122,9.152613906,10.37968298,11.37329296,12.19428236,1000,cis-Bicyclo[3.1.0]hexane,22.59010973,3798.77265,-9.091,298,320,6,"[1, 6]",2,TRUE,CH,alkane
530,C1CCC1,7.620697484,9.165131389,10.38565101,11.3744865,12.19188824,1001,Cyclobutane,20.82540851,2361.301013,-31.72,210,308,4,"[1, 6]",2,TRUE,CH,alkane
531,C1CCCC1,7.588129198,9.144811737,10.37851032,11.38029715,12.20994649,1003,Cyclopentane,20.87945018,2653.890501,-38.64,236,348,5,"[1, 6]",2,TRUE,CH,alkane
532,C1=COC=N1,7.078778619,8.682784903,9.877439195,10.80171205,11.53806359,1005,Oxazole,21.450238,2897.07342,-50.771,293,344,3,"[1, 6, 7, 8]",4,TRUE,CHON,aromatic
533,C1CCCCCC1,7.202200283,8.68811397,9.862422031,10.81384082,11.60032817,1008,Cycloheptane,20.63876096,3044.524062,-57.853,291,408,7,"[1, 6]",2,TRUE,CH,alkane
534,C1CCCCCCC1,7.414788922,9.055690752,10.33490504,11.36014541,12.20021718,1009,Cyclooctane,20.69047703,3310.477245,-63.051,358,413,8,"[1, 6]",2,TRUE,CH,alkane
535,C=CCC1=CC=CC=C1,7.609401118,8.928150952,9.990860173,10.86549756,11.59793018,1012,2-Propenylbenzene,22.60056346,4460.936256,-26.15,323,455,9,"[1, 6]",2,TRUE,CH,aromatic
536,CC(CC1=CC=CC=C1)N,7.588549147,9.042571352,10.20588996,11.15776278,11.95103598,1013,1-Phenyl-2-propylamine,19.27551546,2840.287066,-113.54,293,354,9,"[1, 6, 7]",3,TRUE,CHN,amine
537,C(#N)O,7.584560888,9.146357724,10.3769015,11.37147452,12.19201338,1144,Cyanic acid,21.48802342,2499.925846,-45.736,273,303,1,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
538,CC(C)(C)C,8.316336682,9.282126848,10.14533309,10.92147547,11.62309365,1203,"2,2-Dimethylpropane",20.35291805,2160.363622,-37.901,259,298,5,"[1, 6]",2,TRUE,CH,alkane
539,CC(C)C(C)(C)C,9.908468975,10.68487362,11.35770585,11.94639461,12.46579531,1204,"2,2,3-Trimethylbutane",20.52881253,2761.720561,-47.242,261,368,7,"[1, 6]",2,TRUE,CH,alkane
540,CC(C(C)(C)C)O,7.585803169,9.152703318,10.38667849,11.38364546,12.20590414,1205,"3,3-Dimethyl-2-butanol",23.91464878,4335.76773,-43.15,309,413,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
541,C[C@@]12CC[C@@H](C1(C)C)CC2=O,7.601155238,9.165663946,10.39767939,11.39301386,12.21389306,1206,D-Camphor,21.39976534,4227.12716,-52.462,451,505,10,"[1, 6, 8]",3,TRUE,CHO,ketone
542,CC1=C(C(=C(C=C1)C)C)C,6.300046355,7.934956597,9.31959578,10.50734513,11.53741242,1211,"1,2,3,4-Tetramethylbenzene",20.36300337,3322.077669,-102.07,362,509,10,"[1, 6]",2,TRUE,CH,aromatic
543,CC1=CC(=C(C(=C1)O)C)O,7.603099933,8.917439133,10.00482286,10.91936392,11.6992389,1212,"1,3-Dihydroxy-2,5-dimethyl benzene",21.02375319,4119.55499,-131.45,393,459,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
544,CC1=CC=NC2=CC=CC=C12,7.61749559,9.166415217,10.38949747,11.3797739,12.19793786,1213,4-Methylquinoline,21.64172098,4489.72778,-95.029,463,540,10,"[1, 6, 7]",3,TRUE,CHN,aromatic
545,C1COC2=CC=CC=C2O1,7.568975884,9.137841631,10.37434143,11.37397732,12.19886074,1215,"1,4-Benzodioxane",23.93537204,6064.318359,0,365,487,8,"[1, 6, 8]",3,TRUE,CHO,ester
546,CC1=CC(=C(C=C1C)O)C,7.60529588,8.956288931,10.04537292,10.94197982,11.69299234,1219,"2,4,5-Trimethylphenol",22.90607045,4688.15305,-68.296,380,505,9,"[1, 6, 8]",3,TRUE,CHO,alcohol
547,C/C=C(\C)/C=O,7.580293776,9.132413496,10.36546011,11.36865216,12.20078135,1220,(E)-2-Methyl-2-butenal,22.0543212,3826.758269,-26.06,248,390,5,"[1, 6, 8]",3,TRUE,CHO,aldehyde
548,C1CC2CC1C=C2,7.604054715,9.153223156,10.37915128,11.37344974,12.19609906,1221,Bicyclo[2.2.1]hept-2-ene,19.2068754,2163.322444,-87.051,301,350,7,"[1, 6]",2,TRUE,CH,alkene
549,CC1=C(C=CC(=C1)C(C)C)O,4.860780809,7.253340974,9.039071033,10.42285572,11.52667611,1222,4-Isopropyl-2-methylphenol,22.48449015,4813.947879,-70.833,344,521,10,"[1, 6, 8]",3,TRUE,CHO,alcohol
550,COC1=C(C=C(C=C1)CC=C)O,4.894072603,7.525104604,9.45264361,10.92556952,12.08774859,1225,2-Methoxy-5-(2-propenyl)phenol,24.37624801,6468.237836,-23.75,356,527,10,"[1, 6, 8]",3,TRUE,CHO,ester
551,C1=CC=C(C=C1)CCC(=O)O,4.903770952,7.107699109,8.876594094,10.32769203,11.53957625,1226,Hydrocinnamic acid,24.79886448,7067.847113,-20.296,375,553,9,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
552,C1CCCC(=O)CC1,4.894306959,7.193557778,8.966254424,10.37469326,11.52068675,1228,Cyclohepta,21.02075983,3660.850106,-67.952,374,465,7,"[1, 6, 8]",3,TRUE,CHO,ketone
553,CC(CCC=C(C)C)CC(=O)O,4.842085557,7.179677669,8.972246211,10.39050318,11.54060665,1229,Citronellic acid,25.33750821,6737.900484,-42.951,373,530,10,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
554,C1CCCC(=O)CCC1,7.392039119,7.961955991,8.484765652,8.966076866,9.41064198,1230,Cycloocta,20.61941925,3547.606668,-84.669,395,484,8,"[1, 6, 8]",3,TRUE,CHO,ketone
555,CCCCC(=O)CCCC,4.865277034,7.146599936,8.933332883,10.37058631,11.55176141,1231,5-Nona,21.0951103,3633.698022,-81.803,357,459,9,"[1, 6, 8]",3,TRUE,CHO,ketone
556,CC#CC,4.896568429,7.211657504,8.98407515,10.3846125,11.51919628,1233,2-Butyne,21.13879034,2517.738644,-38.19,245,320,4,"[1, 6]",2,TRUE,CH,alkyne
557,C1CNC1,7.570308097,9.116377781,10.35388843,11.36683045,12.21124687,1235,Azetidine,20.45655741,3327.495651,-30.036,210,315,3,"[1, 6, 7]",3,TRUE,CHN,amine
558,C1COC1,7.599375676,8.5910971,9.451087444,10.20395898,10.86855212,1236,Oxetane,21.18645385,2684.855665,-42.818,300,353,3,"[1, 6, 8]",3,TRUE,CHO,ester
559,C/C=C\C(=O)O,4.882829897,7.158014252,8.93479789,10.36078308,11.53052517,1237,(Z)-2-Butenoic acid,22.5243479,3960.906877,-82.35,348,445,4,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
560,CC(C)CC(=O)O,4.873188261,7.200320676,8.983917528,10.39449185,11.53798642,1238,3-Methylbutanoic acid,22.14898047,3767.710777,-95,363,464,5,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
561,CC1=CC(=CC(=C1)O)O,4.81909299,7.130059065,8.921214016,10.35021076,11.5168031,1239,"3,5-Dihydroxy-toluene",20.81817839,4089.697369,-139.122,395,473,7,"[1, 6, 8]",3,TRUE,CHO,alcohol
562,CC(=CC(=O)C=C(C)C)C,8.116669866,8.998470994,9.766864178,10.44240556,11.04096638,1240,"2,6-Dimethyl-2,5-heptadien-4-one",23.435642,5175.525119,-35.947,315,470,9,"[1, 6, 8]",3,TRUE,CHO,ketone
563,C1COCOC1,4.877891899,7.227090715,9.007185631,10.40263559,11.52595613,1244,"1,3-Dioxane",22.80710535,4303.531539,0,1,377,4,"[1, 6, 8]",3,TRUE,CHO,ester
564,CC(C)C1CCC(C1)(C)C(=O)O,4.85477812,7.180270048,8.969062754,10.38773121,11.54038031,1264,1-Methyl-3-isopropylcyclo-pentane carboxylic acid,21.93440257,4290.107468,-123.484,375,537,10,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
565,CC=C(C)C,8.388849589,9.418283527,10.25050272,10.93722557,11.51354038,1267,2-Methyl-2-butene,20.93392935,2588.865498,-36.52,229,328,5,"[1, 6]",2,TRUE,CH,alkene
566,CC(=C)C(=C)C,4.387635385,7.050344102,8.964371487,10.40656046,11.53223916,1274,"2,3-Dimethyl-1,3-butadiene",21.36471999,3036.018312,-33.077,273,342,6,"[1, 6]",2,TRUE,CH,alkene
567,CC(C(=O)C)O,8.130305563,9.1543165,10.04101914,10.81629548,11.49990722,1275,3-Hydroxy-2-buta,23.87504431,5453.212276,24.85,273,418,4,"[1, 6, 8]",3,TRUE,CHO,ketone
568,CC1=CC(=O)C(C(=O)O1)C(=O)C,6.080009882,6.739695703,7.346433271,7.906351296,8.424667773,1279,"3-Acetyl-6-methyl-2H-pyran-2,4(3H)-dione",23.44349381,5925.064921,-45.437,365,542,8,"[1, 6, 8]",3,TRUE,CHO,ester
