,Method,Training Predict,Training Actual
0,RF,4.907071179576934,4.847630305880799
1,RF,7.175329987936761,7.144998273814545
2,RF,8.938722534336097,8.928806981367694
3,RF,10.331427387710477,10.353947504989613
4,RF,11.226863657664744,11.518713407071223
5,RF,5.647901327574182,4.858981699941683
6,RF,7.938647379065095,7.3442541907941585
7,RF,9.340953245178373,9.128566901979747
8,RF,10.793898073714868,10.47182155273379
9,RF,11.503136666765922,11.519564952553324
10,RF,4.5853684700986275,3.5236758794735437
11,RF,5.091550077049907,4.708673889866474
12,RF,5.805999676977166,5.749246368253402
13,RF,6.771992787412723,6.67028023258815
14,RF,7.568870736174109,7.491255085171039
15,RF,5.270103773486283,4.863397102732478
16,RF,7.224658080688969,7.153958735584041
17,RF,8.935898661916651,8.936014851170496
18,RF,10.400330816039546,10.36198001965913
19,RF,11.528912589993611,11.528890611492066
20,RF,8.73519303190523,8.464307661934939
21,RF,9.647597846978838,9.532767297323065
22,RF,10.509332441020732,10.352023519209588
23,RF,11.175301354990006,11.00015572608065
24,RF,11.615602350849365,11.525709737798792
25,RF,11.489311101929273,11.522613338152174
26,RF,7.580365229420092,7.570412973171592
27,RF,9.147710152761766,9.142965281860146
28,RF,10.382112261138783,10.379285055696048
29,RF,11.378454828547552,11.376793755931075
30,RF,12.199888613963962,12.198591254375874
31,RF,8.665060952301669,8.295659378004057
32,RF,10.052535167206532,9.738297161700844
33,RF,11.09573556758984,10.90014387003539
34,RF,11.758808410923079,11.855907622165716
35,RF,12.394502908322055,12.655952772775436
36,RF,1.4395254642695825,1.1887836672330998
37,RF,2.9973767297382636,2.813797261815804
38,RF,4.326345137519856,4.2472925598266364
39,RF,5.7331782167970315,5.5212429215542755
40,RF,6.670572305006118,6.660879757390486
41,RF,6.9475981563419875,6.387989709516425
42,RF,7.849905853693116,7.521263009529779
43,RF,8.875605804814663,8.46436992938189
44,RF,9.504159385608663,9.261471002804536
45,RF,10.10043835862832,9.944035820418812
46,RF,10.301830332299112,10.412750312857142
47,RF,10.647563521609513,10.725312100526313
48,RF,10.864697400051472,11.027095895517238
49,RF,11.117568050939553,11.31864973135593
50,RF,11.446671150586331,11.600485105999997
51,RF,8.504864741644985,8.308286396440682
52,RF,9.145684533734991,9.278458254607193
53,RF,10.119666424736423,10.14354852612091
