,SMILES,VP1,VP2,VP3,VP4,VP5
1840,CCCCC(C)C(C)(C)C,8.421101058360815,10.374839088980416,11.826891569703278,12.948507649351383,13.840958144635035
1841,CCCCC(C)(C)C(C)C,7.444743134774786,8.724515204447766,9.813016991968533,10.750146849492735,11.565427671168635
1842,CCCC(C)C(C)C(C)C,4.844267994959221,7.2168462117500916,9.001007362143818,10.391499663650926,11.505669538862339
1843,CCC(CC)CC(C)(C)C,7.5890561561347685,8.668871618596636,9.600237850391958,10.411798363790592,11.125272907180172
1844,CCCC(C)(CC)C(C)C,7.577309237094642,8.656734842247706,9.584611473921148,10.390761357100809,11.09766370959442
1845,CCC(CC)C(C)C(C)C,7.913440865455009,9.057258520121598,10.019299229909802,10.8397055724305,11.54761073355422
1846,CCC(C)(CC)CC(C)C,4.8857390405869054,5.919007709378839,6.873371444010008,7.757536125850759,8.578972330929702
1847,CCC(CC(C)C)C(C)C,8.046676355912522,9.12634608184962,10.040649522661678,10.824876316715597,11.504941728708301
1848,CCC(CC)C(C)(C)CC,4.928566358294034,7.3775043639300915,9.12662634741032,10.438402517139217,11.458634167049826
1850,CCC(C)C(C)C(C)(C)C,3.9711564015164065,6.096033633000889,7.882388756528282,9.405150047980126,10.718652388175375
1852,CCC(C)C(C)(C)C(C)C,6.229143383030676,7.5519752123039865,8.637563603199919,9.544479068566257,10.313478275799016
1853,CC(C)CC(C)(C)C(C)C,4.919608754094121,7.2563422569829115,9.021262227902314,10.40137718602893,11.510164777167084
1854,CCC(C)(C)C(C)C(C)C,6.726803977411974,8.309659584162375,9.5663148756698,10.588186812062299,11.435451528231972
1855,CC(C)C(C)C(C)C(C)C,7.551161223508892,8.771947289949908,9.815807839515413,10.718606152653148,11.507126198305095
1856,CCC(CC)(CC)C(C)C,5.776089029898564,7.714708986741217,9.251160534966758,10.49882810768481,11.532135215523912
1857,CCC(C)(CC)C(C)(C)C,6.212598125454349,7.17581511088455,8.054306377742456,8.85877984856447,9.598211983989604
1858,CCC(C(C)C)C(C)(C)C,6.494381668953714,8.122745339493003,9.45817413280791,10.573191154211388,11.518204729430977
1859,CCC(C)(C(C)C)C(C)C,5.62756176876135,6.860685161155022,7.943577069258772,8.902115214824036,9.756556710437842
1860,CC#CCC(C)C,7.455423692972264,8.172715673896896,8.77412216149245,9.285627764844783,9.725988766936542
1861,CCC1(CC1)C,4.856479458726771,7.208994981348225,9.012139571955805,10.438230702022842,11.59434124342481
1862,C[C@@H]1CC(C[C@@H]1C)(C)C,8.749030194008968,9.571969740878096,10.29725864233028,10.94130438772954,11.517033651763624
1863,CCC(=O)CC1=CC=C(C=C1)OC,7.185203171535365,8.595749251085481,9.749104255726094,10.709733256392479,11.522218285684259
1864,CC(=CCC(C)(C)CO)C,7.576802542493866,9.103792620119263,10.337275487161165,11.354455153597698,12.207641405437188
1865,CCC(C)(C)CCCC(C)C,9.527395006354096,10.099414982213078,10.616344948233706,11.085777682383226,11.513971950342505
1866,CCC1CCCC1(C)C,8.780840365991976,9.61642929734157,10.34307755534089,10.9807861737464,11.544942405922107
1867,CCC(CC)/C=C\C,4.831408186150842,7.151323673232477,8.942409178586225,10.366985940900936,11.527109837407425
1868,CCC(C)CCC(C)O,9.87002512244837,10.334869710790672,10.760834053907164,11.152600335959216,11.514127947804177
1869,CCCC(C)CC(C)O,3.040724861828668,6.221712518112485,8.490114041525878,10.189378362765416,11.509823311125134
1870,CC(C)C(C(=O)OC)NC(=O)C,3.6719578598152722,6.507780394543225,8.609778811601497,10.23015844674723,11.51743125877027
1871,CC(C)CC(C(C)C)(C(C)C)O,2.4703142788040324,6.1673879032762535,8.570794683997798,10.258438528014862,11.508622460228052
1872,CCC(C)C(C)(C)CO,4.858981700159866,7.344254190871686,9.12856690195629,10.47182155263431,11.519564952394546
1875,CC/C=C(/C)\C(C)C,7.582970376997807,9.088434240979991,10.300296801221194,11.296815859118835,12.130706403135704
1876,CCCCCCCCC#CC,8.300077796238673,9.735698925015773,10.891585821924133,11.842240382558849,12.637865478516613
1878,CCCC(CCC)C(C)(C)C,10.859545992439802,11.108151273444813,11.34552894057779,11.572422797033925,11.789512365193799
1879,CC(C)C(C)(C)CC(C)(C)C,7.587730888929535,8.654470048854394,9.58331688151245,10.399385245722643,11.122039510146937
1880,CC(C)(C)C(C)(C)C(C)(C)C,8.679215301174777,9.929381237074203,10.871418397389851,11.606745339399254,12.19667270543277
1881,CCC(CC)(CC)C(C)(C)C,7.950331366237485,9.362304813044748,10.499585060555248,11.43522643403171,12.218487772681293
1882,CCCCCC(C)CO,7.170468119223848,8.525694933825545,9.674897030447346,10.661736160728543,11.518350756868516
1883,CC(C)CC(C)(CC(C)C)O,4.929933483602817,7.193731530896287,8.959759070580494,10.375930970082605,11.536839025409764
1884,CC(C)C(C)C#C,4.5679859076284846,7.18331475534627,9.047143174755508,10.442689804714812,11.526740423395292
1885,CCCCCCCC1OCCCCO1,5.933070305586087,7.844317540147555,9.33323158499746,10.525870789826905,11.50266522911432
1886,CCCCC1OCC=CCO1,6.209480747178176,7.487282512117462,8.539713956761995,9.421567161878652,10.17120427461148
1887,CCCCCCC1OCC=CCO1,7.170457854077398,8.537963672262762,9.688914316893847,10.670975464758413,11.518780151902254
1888,CCC1=C(C=CC(=C1C)C)C,7.589328121927657,9.11231652611646,10.339650194372576,11.349804316183839,12.195738837378196
1889,CC(C)C1(CCCC1)C,4.880500605234534,7.1926280064348305,8.967134149787272,10.372002504974002,11.511834471836433
1890,C[C@@H]1CCC[C@H]1C(C)C,4.907578508557233,7.216983136350462,8.981866823182411,10.374503882640617,11.501429723020088
1891,C[C@H]1CC[C@H](C1)C(C)C,4.847995474144842,7.121624669636532,8.90583437203191,10.343296861990286,11.52614126791486
1892,C[C@H]1CC[C@@H](C1)C(C)C,7.177524029876025,8.498915483586057,9.644213847452253,10.646420335065615,11.530774763487404
1893,CC/C(=C/C(C)C)/C,6.492303140060496,6.859562576948068,7.214157895322273,7.556733033412609,7.887889000233269
1894,CCCC(=C)C(C)C,4.805286438371837,7.057553601086081,8.848184764103994,10.305915622496771,11.515685886192198
1895,CCC(C=C)C(C)C,4.924448531542168,7.111530786070347,8.869443890929624,10.313224301286688,11.520167376352681
