,Column1,Name,SMILES,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
51,121,"2,3-Dimethyl-2,3-butanediol",CC(C)(C(C)(C)O)O,21.08414999857137,3111.7848748100364,-121.969,346,447,6,"[1, 6, 8]",3,True,CHO,alcohol
52,128,D-Bornyl acetate,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,22.272537190916523,4969.119088371824,-33.952,320,496,12,"[1, 6, 8]",3,True,CHO,ester
53,130,Diethylmalonic acid diethyl ester,CCC(CC)(C(=O)OCC)C(=O)OCC,23.004851353892352,4701.517254034242,-82.373,386,491,11,"[1, 6, 8]",3,True,CHO,ester
54,131,3-Methyl-3-pentanol,CCC(C)(CC)O,19.59822276050952,2187.9163553629423,-123.65,306,419,6,"[1, 6, 8]",3,True,CHO,alcohol
55,132,"2,2-Dimethoxy propane",CC(C)(OC)OC,19.968409365910176,2314.991421475098,-77.721,292,357,5,"[1, 6, 8]",3,True,CHO,ester
56,134,Triethyl citrate,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,31.34635729272909,10853.879559653473,0.0,400,456,12,"[1, 6, 8]",3,True,CHO,ester
57,135,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,22.806322467174404,4945.3264766059165,-129.79,433,568,6,"[1, 6, 8]",3,True,CHO,alcohol
58,141,"3,5,5-Trimethyl-2-cyclohexen-1-one",CC1=CC(=O)CC(C1)(C)C,21.67280587759529,4588.61920433965,-38.415,293,488,9,"[1, 6, 8]",3,True,CHO,ketone
59,142,"2,6-Dimethyl-6-octanol",CCC(C)(CCCC(C)C)O,24.55315562212341,6228.492676548894,-0.15,344,470,10,"[1, 6, 8]",3,True,CHO,alcohol
60,147,2-Methylbutane,CCC(C)C,20.583383792547025,2376.150384130113,-38.646,255,323,5,"[1, 6]",2,True,CH,alkane
61,148,Isobutyl amine,CC(C)CN,20.61216610620945,2494.254578719964,-66.329,255,289,4,"[1, 6, 7]",3,True,CHN,amine
62,149,2-Methyl-1-propanol,CC(C)CO,21.51774979743308,2740.951242998253,-106.48,303,401,4,"[1, 6, 8]",3,True,CHO,alcohol
63,150,2-Methylpropanal,CC(C)C=O,23.01829845083544,2727.3613857794016,-49.322,286,347,4,"[1, 6, 8]",3,True,CHO,aldehyde
64,153,2-Butanol,CCC(C)O,22.10299785051937,3026.034303361845,-86.6,295,392,4,"[1, 6, 8]",3,True,CHO,alcohol
65,154,2-Buta,CCC(=O)C,21.042404130835383,2838.235463177251,-54.46,265,378,4,"[1, 6, 8]",3,True,CHO,ketone
66,155,Methyl vinyl ketone,CC(=O)C=C,23.75259283699124,4603.323512743511,22.27,279,355,4,"[1, 6, 8]",3,True,CHO,ketone
67,157,1-Amino-2-propanol,CC(CN)O,25.682182170771178,6048.2693413202505,-4.19,306,431,3,"[1, 6, 7, 8]",4,True,CHON,alcohol
68,162,Propionamide,CCC(=O)N,22.701393664486663,4469.105827672887,-92.898,381,498,3,"[1, 6, 7, 8]",4,True,CHON,amide
69,163,Acrylamide,C=CC(=O)N,23.935372041673105,7398.20590378987,0.0,357,413,3,"[1, 6, 7, 8]",4,True,CHON,amide
70,165,Propanoic acid,CCC(=O)O,22.209216100859187,3674.4652913998975,-70.364,373,438,3,"[1, 6, 8]",3,True,CHO,carboxylic_acid
71,166,Propenoic acid,C=CC(=O)O,24.148246033520405,5030.084633879027,-15.491,300,415,3,"[1, 6, 8]",3,True,CHO,carboxylic_acid
72,168,Glycolic acid,C(C(=O)O)O,28.22877220606981,6235.607664486246,0.0,350,375,2,"[1, 6, 8]",3,True,CHO,carboxylic_acid
73,169,N-Methylacetamide,CC(=O)NC,24.92755595824424,6431.810940260269,0.0,353,479,3,"[1, 6, 7, 8]",4,True,CHON,amide
74,170,Methyl ethanoate,CC(=O)OC,21.28532685814626,2725.569974577052,-50.74,260,351,3,"[1, 6, 8]",3,True,CHO,ester
75,173,"2,3-Dimethylbutane",CC(C)C(C)C,20.573275443988777,2595.934433841488,-44.154,254,348,6,"[1, 6]",2,True,CH,alkane
76,174,2-Methylpropanoic acid,CC(C)C(=O)O,22.219186294311854,3695.331317512611,-82.0,344,446,4,"[1, 6, 8]",3,True,CHO,carboxylic_acid
77,177,Methacrylamide,CC(=C)C(=O)N,15.001756346172948,747.927992491419,-296.789,390,418,4,"[1, 6, 7, 8]",4,True,CHON,amide
78,178,2-Methylpropenoic acid,CC(=C)C(=O)O,23.243445221228395,4402.082180786017,-59.35,341,438,4,"[1, 6, 8]",3,True,CHO,carboxylic_acid
79,182,Camphene,CC1(C2CCC(C2)C1=C)C,22.333832006092027,4299.508922648411,-36.143,323,434,10,"[1, 6]",2,True,CH,alkene
80,184,Cumenyl hydroperoxide,CC(C)(C1=CC=CC=C1)OO,13.172882084360566,696.2418649089817,-263.227,347,389,9,"[1, 6, 8]",3,True,CHO,ester
81,185,(E)-2-Methyl-2-butenoic acid,C/C=C(\C)/C(=O)O,21.581669559614596,3524.3367433366866,-121.15,373,474,5,"[1, 6, 8]",3,True,CHO,carboxylic_acid
82,186,"1,3-Dimethyl-2-imidazolidi",CN1CCN(C1=O)C,20.82317500413142,3805.758693402419,-88.828,351,499,5,"[1, 6, 7, 8]",4,True,CHON,amide
83,190,Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,21.565758696622005,4810.8946511216445,-71.07,367,413,12,"[1, 6]",2,True,CH,aromatic
84,191,3-Methylindole,CC1=CNC2=CC=CC=C12,24.02333079222548,6188.549732940726,-44.505,368,540,9,"[1, 6, 7]",3,True,CHN,aromatic
85,198,Diethyl phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC,32.06550066897299,16410.270673408337,229.91,413,570,12,"[1, 6, 8]",3,True,CHO,ester
86,204,Phthalic anhydride,C1=CC=C2C(=C1)C(=O)OC2=O,20.02951997427824,3622.387724351652,-133.336,404,558,8,"[1, 6, 8]",3,True,CHO,aromatic
87,208,1-Naphthoic acid,C1=CC=C2C(=C1)C=CC=C2C(=O)O,30.62723694233612,10651.189901672486,-15.41,429,573,11,"[1, 6, 8]",3,True,CHO,carboxylic_acid
88,211,Carbazole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,23.28846075979643,7214.24777554039,-14.486,522,643,12,"[1, 6, 7]",3,True,CHN,aromatic
89,214,Isopentyl salicylate,CC(C)CCOC(=O)C1=CC=CC=C1O,18.393947731022703,3468.489844491209,-113.642,287,328,12,"[1, 6, 8]",3,True,CHO,ester
90,215,Ethyl anthranilate,CCOC(=O)C1=CC=CC=C1N,20.82939198388251,3994.409490071421,-113.5,433,593,9,"[1, 6, 7, 8]",4,True,CHON,ester
91,216,2-(2-Pentyl)phenol,CCCC(C)C1=CC=CC=C1O,21.01387510153319,3850.3689769940856,-109.909,397,501,11,"[1, 6, 8]",3,True,CHO,alcohol
92,217,Phthalide,C1C2=CC=CC=C2C(=O)O1,22.570353546844373,5740.121286080135,-43.794,368,563,8,"[1, 6, 8]",3,True,CHO,ester
93,219,"2,6-Dimethylaniline",CC1=C(C(=CC=C1)C)N,22.473898257298856,5058.090976365113,-29.256,317,491,8,"[1, 6, 7]",3,True,CHN,amine
94,221,"1,2,3-Trihydroxybenzene",C1=CC(=C(C(=C1)O)O)O,30.58859956447568,14248.187020203692,166.406,458,582,6,"[1, 6, 8]",3,True,CHO,alcohol
95,224,Diethyl (+)-tartrate,CCOC(=O)C(C(C(=O)OCC)O)O,24.72340876389939,7087.522702362369,-15.815,373,553,8,"[1, 6, 8]",3,True,CHO,ester
96,225,Dibutyl tartrate,CCCCOC(=O)C(C(C(=O)OCCCC)O)O,30.9140008898176,13064.8079504358,73.947,428,511,12,"[1, 6, 8]",3,True,CHO,ester
97,226,"2,4,6-Trimethyl-aniline",CC1=CC(=C(C(=C1)C)N)C,24.284052502305197,5865.939140731517,-39.039,341,477,9,"[1, 6, 7]",3,True,CHN,amine
98,228,2-Ethylbutyric acid,CCC(CC)C(=O)O,25.125992741558463,5953.02981670383,-28.838,374,467,6,"[1, 6, 8]",3,True,CHO,carboxylic_acid
100,231,2-tert-Butylphenol,CC(C)(C)C1=CC=CC=C1O,21.814000395497693,4435.38446898599,-66.116,328,497,10,"[1, 6, 8]",3,True,CHO,alcohol
101,232,3-Methyl-6-tert-butylphenol,CC1=CC(=C(C=C1)C(C)(C)C)O,21.822681141298283,4439.144590442849,-83.918,378,517,11,"[1, 6, 8]",3,True,CHO,alcohol
102,233,2-Isopropylphenol,CC(C)C1=CC=CC=C1O,21.103353558246937,3690.512006912974,101.616,375,493,9,"[1, 6, 8]",3,True,CHO,alcohol
103,239,Pyromellitic acid,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,26.15248517601521,9604.358733089324,0.0,561,622,10,"[1, 6, 8]",3,True,CHO,carboxylic_acid
104,240,Pyromellitic acid dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,15.524811575897475,1162.123906774467,-383.267,562,622,10,"[1, 6, 8]",3,True,CHO,aromatic
105,242,2-sec-Butylphenol,CCC(C)C1=CC=CC=C1O,20.89485447807633,3667.186819920944,-109.418,452,513,10,"[1, 6, 8]",3,True,CHO,alcohol
106,243,Pulegone,C[C@@H]1CCC(=C(C)C)C(=O)C1,18.578384796971527,2309.7161990270483,-163.383,331,494,10,"[1, 6, 8]",3,True,CHO,ketone
107,244,p-Cymen-3-ol,CC1=CC(=C(C=C1)C(C)C)O,22.811111844167836,5029.0254447362495,-58.598,339,514,10,"[1, 6, 8]",3,True,CHO,alcohol
108,246,2-Ethylphenol,CCC1=CC=CC=C1O,21.02444396711003,3565.3734148640265,-102.305,424,491,8,"[1, 6, 8]",3,True,CHO,alcohol
109,247,2-Hydroxy-benzaldehyde,C1=CC=C(C(=C1)C=O)O,22.859558234524428,5009.24623878743,-27.593,306,470,7,"[1, 6, 8]",3,True,CHO,aldehyde
110,248,2-Aminoanisole,COC1=CC=CC=C1N,25.18763294449792,6680.2368459433965,-2.9,334,492,7,"[1, 6, 7, 8]",4,True,CHON,ester
111,249,2-Methoxyphenol,COC1=CC=CC=C1O,19.83856659251624,2873.0367342727627,-133.807,361,479,7,"[1, 6, 8]",3,True,CHO,ester
112,251,1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12,21.09356757160172,4206.707835645472,-78.148,390,551,11,"[1, 6]",2,True,CH,aromatic
113,254,1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,23.69182761638713,6514.395457205594,-19.82,414,556,10,"[1, 6, 8]",3,True,CHO,alcohol
114,256,2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,23.46603612216813,5713.871816020004,-70.966,435,548,12,"[1, 6, 8]",3,True,CHO,alcohol
115,258,"2,6-Toluene diisocyanate",CC1=C(C=CC=C1N=C=O)N=C=O,20.158833153100783,3469.0908192004804,-124.909,373,474,9,"[1, 6, 7, 8]",4,True,CHON,aromatic
116,259,Naphthalene,C1=CC=C2C=CC=CC2=C1,21.03176618770576,3995.583808468848,-70.82,418,613,10,"[1, 6]",2,True,CH,aromatic
117,260,Quinoline,C1=CC=C2C(=C1)C=CC=N2,21.48719449324905,4440.632060412923,-64.59,519,702,9,"[1, 6, 7]",3,True,CHN,aromatic
118,262,2-Methylnaphthalene,CC1=CC2=CC=CC=C2C=C1,21.16858579393146,4237.378269084153,-74.755,387,547,11,"[1, 6]",2,True,CH,aromatic
119,264,2-Naphthalenamine,C1=CC=C2C=C(C=CC2=C1)N,22.772060000990656,5996.645383535323,-46.07,388,579,10,"[1, 6, 7]",3,True,CHN,amine
120,265,6-Methylquinoline,CC1=CC2=C(C=C1)N=CC=C2,20.835309627571505,4017.430735831176,-106.755,453,541,10,"[1, 6, 7]",3,True,CHN,aromatic
121,266,2-Methylquinoline,CC1=NC2=CC=CC=C2C=C1,21.43573171642063,4291.366981759585,-87.925,443,522,10,"[1, 6, 7]",3,True,CHN,aromatic
122,267,"1,2-Benzopyrone",C1=CC=C2C(=C1)C=CC(=O)O2,23.70188991324351,6400.935576748311,-38.741,379,564,9,"[1, 6, 8]",3,True,CHO,aromatic
123,268,"N,N-Diethylaniline",CCN(CC)C1=CC=CC=C1,23.23071192566414,5364.424594551948,-30.394,322,489,10,"[1, 6, 7]",3,True,CHN,amine
124,269,3-(Diethylamino)-phenol,CCN(CC)C1=CC(=CC=C1)O,22.65036837882592,4924.096642048511,-108.741,431,554,10,"[1, 6, 7, 8]",4,True,CHON,alcohol
125,273,4-Phenylphenol,C1=CC=C(C=C1)C2=CC=C(C=C2)O,26.265473026528436,8455.297391547412,-6.667,450,581,12,"[1, 6, 8]",3,True,CHO,alcohol
126,278,2-Acetyl-naphthalene,CC(=O)C1=CC2=CC=CC=C2C=C1,25.84990246894487,8173.615249366172,-3.312,393,575,12,"[1, 6, 8]",3,True,CHO,ketone
127,279,2-Naphthoic acid,C1=CC=C2C=C(C=CC2=C1)C(=O)O,30.17093365445749,10464.171637834415,-20.274,433,582,11,"[1, 6, 8]",3,True,CHO,carboxylic_acid
128,280,"1,2-Dimethoxy-4-allyl benzene",COC1=C(C=C(C=C1)CC=C)OC,24.70369863550336,6428.815277054283,-33.535,358,521,11,"[1, 6, 8]",3,True,CHO,ester
129,281,Eugenol acetate,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,24.03164312441119,6526.371202274256,-33.501,374,555,12,"[1, 6, 8]",3,True,CHO,ester
130,282,2-Methoxy-4-methyl phenol,CC1=CC(=C(C=C1)O)OC,21.86083497628919,4391.651470314754,-70.184,356,503,8,"[1, 6, 8]",3,True,CHO,ester
131,284,1-Phenyl-1-propa,CCC(=O)C1=CC=CC=C1,19.857125428365773,3022.462993882611,-128.785,405,492,9,"[1, 6, 8]",3,True,CHO,ketone
132,285,Methyl benzoate,COC(=O)C1=CC=CC=C1,20.681519969210427,3466.0237758566127,-93.99,333,472,8,"[1, 6, 8]",3,True,CHO,ester
133,286,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,20.43360063224776,3398.8803945449063,-104.874,344,440,9,"[1, 6, 8]",3,True,CHO,ester
134,290,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,27.84283591863307,8906.201117382972,7.527,381,538,11,"[1, 6, 8]",3,True,CHO,ester
135,291,Isopentyl benzoate,CC(C)CCOC(=O)C1=CC=CC=C1,25.030550589453863,7815.51030794846,43.314,345,536,12,"[1, 6, 8]",3,True,CHO,ester
136,292,2-Ethoxyaniline,CCOC1=CC=CC=C1N,24.2569050240588,6006.14815221411,-29.807,340,501,8,"[1, 6, 7, 8]",4,True,CHON,ester
137,293,"Indene, (1H-indene)",C1C=CC2=CC=CC=C21,21.515585367445663,4027.71638344158,-52.375,297,457,9,"[1, 6]",2,True,CH,aromatic
138,297,"1,2-Dimethylbenzene",CC1=CC=CC=C1C,20.9486658916996,3358.7946906609727,-60.109,313,445,8,"[1, 6]",2,True,CH,aromatic
139,298,2-Methylphenol,CC1=CC=CC=C1O,21.14555994300152,3533.408928603083,-96.85,356,493,7,"[1, 6, 8]",3,True,CHO,alcohol
140,303,o-Toluidine,CC1=CC=CC=C1N,21.45461291418318,3927.342094067784,-77.847,391,474,7,"[1, 6, 7]",3,True,CHN,amine
141,306,"1,2,4-Trimethylbenzene",CC1=CC(=C(C=C1)C)C,21.13063919159892,3636.5946743754257,-63.86,333,471,9,"[1, 6]",2,True,CH,aromatic
142,307,"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,21.21102243719534,3748.101962673848,-113.109,388,529,8,"[1, 6, 8]",3,True,CHO,alcohol
143,308,"2,4-Dimethylaniline",CC1=CC(=C(C=C1)N)C,23.453487033411317,5299.896949905883,-40.19,326,484,8,"[1, 6, 7]",3,True,CHN,amine
144,311,"2,4-Diaminotoluene",CC1=C(C=C(C=C1)N)N,23.464401286752103,5926.236936561752,-60.738,379,627,7,"[1, 6, 7]",3,True,CHN,amine
145,312,"2,5-Dimethylphenol",CC1=CC(=C(C=C1)C)O,21.03294050610318,3599.262862262713,-105.697,374,513,8,"[1, 6, 8]",3,True,CHO,alcohol
146,313,Diethyl oxalate,CCOC(=O)C(=O)OCC,22.091530976756264,3993.304249226784,-77.601,300,456,6,"[1, 6, 8]",3,True,CHO,ester
147,314,"1,2,4,5-Tetramethylbenzene",CC1=CC(=C(C=C1C)C)C,21.14530665864129,3823.580702022193,-72.51,355,500,10,"[1, 6]",2,True,CH,aromatic
148,319,3-Methylpentane,CCC(C)CC,20.706756301829643,2676.455834543489,-44.864,255,358,6,"[1, 6]",2,True,CH,alkane
149,321,3-Penta,CCC(=O)CC,21.706653878462312,3410.519962189991,-40.14,282,399,5,"[1, 6, 8]",3,True,CHO,ketone
150,323,Methyl acrylate,COC(=O)C=C,21.5015395983784,3096.8341898012263,-43.027,229,353,4,"[1, 6, 8]",3,True,CHO,ester
151,325,Methyl glycolate,COC(=O)CO,23.084474746408087,4507.807677915931,-34.889,283,425,3,"[1, 6, 8]",3,True,CHO,ester
152,326,Methylcyclopentane,CC1CCCC1,21.1423132980204,2983.091091377506,-34.76,255,373,6,"[1, 6]",2,True,CH,alkane
153,327,Cyclopentanol,C1CCC(C1)O,21.073442977888945,2825.1429643384868,-117.629,380,438,5,"[1, 6, 8]",3,True,CHO,alcohol
154,329,2-Methyl tetrahydrofuran,CC1CCCO1,22.147069329199283,3853.270234211258,12.124,351,533,5,"[1, 6, 8]",3,True,CHO,ester
155,330,Ethylene carbonate,C1COC(=O)O1,20.85598684170659,3926.522373774678,-102.261,368,449,3,"[1, 6, 8]",3,True,CHO,ester
156,331,1-Methylpyrrole,CN1C=CC=C1,21.16112541823016,3123.933313760673,-61.65,322,422,5,"[1, 6, 7]",3,True,CHN,aromatic
157,332,4-Ethyl-2-tert-butylphenol,CCC1=CC(=C(C=C1)O)C(C)(C)C,23.93811211793377,6098.129518923944,-30.022,394,521,12,"[1, 6, 8]",3,True,CHO,alcohol
158,334,4-Allyl-2-methoxyphenol,COC1=C(C=CC(=C1)CC=C)O,26.724009821947263,7613.801551217088,-6.531,288,333,10,"[1, 6, 8]",3,True,CHO,ester
159,335,2-Methoxy-4-(1-propenyl)phenol,C/C=C/C1=CC(=C(C=C1)O)OC,24.638857839284647,7195.371182948024,7.9,405,541,10,"[1, 6, 8]",3,True,CHO,ester
160,336,Ethyl methacrylate,CCOC(=O)C(=C)C,23.34148929448808,4612.147018819864,0.0,285,390,6,"[1, 6, 8]",3,True,CHO,ester
161,337,Isobutyl isobutyrate,CC(C)COC(=O)C(C)C,22.473161430069094,4158.275260799435,-40.734,277,421,8,"[1, 6, 8]",3,True,CHO,ester
162,338,Butyl methacrylate,CCCCOC(=O)C(=C)C,21.16439508906221,3471.418732729497,-76.025,338,437,8,"[1, 6, 8]",3,True,CHO,ester
163,339,2-Ethyl-1-butanol,CCC(CC)CO,20.64371152198347,2737.0598741910926,-119.45,329,444,6,"[1, 6, 8]",3,True,CHO,alcohol
164,340,Tetrahydrofurfuryl alcohol,C1CC(OC1)CO,23.52058436302116,5274.248454555023,-11.548,333,453,5,"[1, 6, 8]",3,True,CHO,ester
165,341,2-Hydroxymethyl-furan,C1=COC(=C1)CO,25.52436298849737,6037.9929040502175,-12.034,304,443,5,"[1, 6, 8]",3,True,CHO,alcohol
166,342,Furfuraldehyde,C1=COC(=C1)C=O,21.306556692703666,3518.9348787085223,-74.932,366,435,5,"[1, 6, 8]",3,True,CHO,aldehyde
167,343,"1,1-Dimethylethylbenzene",CC(C)(C)C1=CC=CC=C1,20.836714204478227,3471.377286197823,-69.42,332,472,10,"[1, 6]",2,True,CH,aromatic
168,348,2-Methyl-4-tert-butylphenol,CC1=C(C=CC(=C1)C(C)(C)C)O,23.208491979516747,5561.113715780593,-43.861,347,520,11,"[1, 6, 8]",3,True,CHO,alcohol
169,349,4-tert-Butyltoluene,CC1=CC=C(C=C1)C(C)(C)C,21.48933589738553,3986.235312991292,-63.45,342,465,11,"[1, 6]",2,True,CH,aromatic
170,350,4-tert-Butylphenol,CC(C)(C)C1=CC=C(C=C1)O,19.862720710141748,2926.532693738294,-161.904,465,525,10,"[1, 6, 8]",3,True,CHO,alcohol
