,Method,Training Predict,Training Actual
0,XGB,7.793071,7.61002858854255
1,XGB,9.007649,9.149383015476976
2,XGB,10.340678,10.374353386655619
3,XGB,11.364494,11.372326641203928
4,XGB,12.041183,12.201049010457254
5,XGB,6.389132,6.166674414133141
6,XGB,7.0770826,7.221999036745416
7,XGB,8.324177,8.148336099147919
8,XGB,8.752733,8.967971970248989
9,XGB,9.343665,9.698338447006911
10,XGB,11.545247,11.522624837860032
11,XGB,7.812861,7.597624066714344
12,XGB,9.199109,9.139599384754266
13,XGB,10.281722,10.368445867977506
14,XGB,11.13268,11.370752306578991
15,XGB,12.134669,12.203876305065048
16,XGB,8.884749,8.72226481053589
17,XGB,8.978709,9.005539375330056
18,XGB,9.416973,9.28166729464083
19,XGB,9.661692,9.550915650137021
20,XGB,9.969652,9.813538378868977
21,XGB,4.9190116,4.945787032889282
22,XGB,5.9866858,5.922624076122871
23,XGB,7.269333,6.787474086638932
24,XGB,7.594629,7.558550742441669
25,XGB,8.217547,8.2503211185723
26,XGB,7.6110764,7.605379096253323
27,XGB,9.227987,9.16647884044838
28,XGB,10.320298,10.395327988344079
29,XGB,11.497389,11.387794584956213
30,XGB,12.170762,12.206100271419267
31,XGB,10.348904,10.182806588082807
32,XGB,10.697475,10.544137038036935
33,XGB,10.765642,10.881708761363317
34,XGB,11.035613,11.197790497002776
35,XGB,11.347507,11.494371036540752
36,XGB,7.8240256,7.582275008486402
37,XGB,8.828842,8.990050027031469
38,XGB,10.229405,10.204721078496082
39,XGB,11.30171,11.263470047587342
40,XGB,12.158799,12.194508785043585
41,XGB,8.24355,8.473827488305867
42,XGB,9.387338,9.376126498671752
43,XGB,10.098245,10.172432553000682
44,XGB,10.785782,10.880386015241905
45,XGB,11.464426,11.51391849358176
46,XGB,7.632065,7.608921363570836
47,XGB,9.171638,9.158463692315172
48,XGB,10.407591,10.382756625486095
49,XGB,11.284711,11.374478477478435
50,XGB,12.090774,12.194150853919117
51,XGB,3.1396308,3.295147586131227
52,XGB,4.0960646,3.970512035478441
53,XGB,5.274768,4.506654384182104
54,XGB,6.4294243,4.94260167403664
55,XGB,6.921484,5.304040616725242
56,XGB,11.582721,11.524679781035276
57,XGB,11.518848,11.522667675489803
58,XGB,6.37436,5.964060558232911
59,XGB,8.650111,8.274304873054627
60,XGB,9.467253,9.968044089957294
61,XGB,11.064647,11.263005337632976
62,XGB,11.84123,12.285189487507159
63,XGB,7.1634173,7.334392014094323
64,XGB,8.959691,9.0656592301262
65,XGB,10.374568,10.47334359798071
66,XGB,11.755971,11.640410740657185
67,XGB,12.384696,12.623696634950068
68,XGB,11.485453,11.522608991593028
69,XGB,7.6414948,7.592831612795397
70,XGB,9.088508,8.983365444426116
71,XGB,9.94186,10.195607124185077
72,XGB,11.179307,11.261781281794399
73,XGB,11.976272,12.206788090807262
74,XGB,7.423421,7.574738941845668
75,XGB,9.1508255,9.142890696126239
76,XGB,10.515874,10.376296082711049
77,XGB,11.358453,11.371803433960862
78,XGB,12.090352,12.19218713250603
79,XGB,11.034628,10.79318036858216
80,XGB,11.258016,11.140694183029517
81,XGB,11.471319,11.466158561257126
82,XGB,11.693268,11.77160750070234
83,XGB,11.88511,12.058832287998959
84,XGB,7.6239777,7.570299992435084
