,Method,Training Predict,Training Actual
0,RF,4.829901669699286,4.84763030228174
1,RF,7.1036561449089355,7.144998270041123
2,RF,8.723174317984885,8.928806977458883
3,RF,10.247198919710364,10.353947500972634
4,RF,11.213134376306302,11.51871340296584
5,RF,5.620060239214755,4.858981700159865
6,RF,7.9549278794298655,7.344254190871686
7,RF,9.268955837191328,9.12856690195629
8,RF,10.782656980060336,10.47182155263431
9,RF,11.483443848557652,11.519564952394546
10,RF,4.654791422789083,3.523675882393256
11,RF,5.162027967014709,4.708673892723073
12,RF,5.8671914012486255,5.7492463710545785
13,RF,6.7773665399401395,6.670280235340272
14,RF,7.568228589976423,7.491255087879436
15,RF,5.057167836785031,4.863397102973008
16,RF,7.20461448773502,7.1539587357342
17,RF,8.826583753450114,8.936014851250343
18,RF,10.364278332181854,10.361980019682719
19,RF,11.494863633078172,11.528890611469615
20,RF,8.719063890284422,8.464307665777442
21,RF,9.619675974151912,9.53276730114942
22,RF,10.503129850472794,10.352023523023561
23,RF,11.195049005437669,11.000155729884828
24,RF,11.62638233694626,11.525709741595026
25,RF,11.522610676309732,11.522613341468016
26,RF,7.580569618677436,7.570412972151834
27,RF,9.147699836089842,9.142965280646145
28,RF,10.38200355689891,10.379285054329335
29,RF,11.378377226171853,11.376793754441147
30,RF,12.199848624256411,12.198591252784437
31,RF,8.656817140661534,8.29565937991375
32,RF,10.057368650960225,9.738297163750715
33,RF,11.117139761923353,10.90014387219815
34,RF,11.584498393443551,11.855907624421345
35,RF,12.319922752769312,12.655952775108801
36,RF,1.4077410102379933,1.1887836634188425
37,RF,2.945383025894386,2.8137972580709905
38,RF,4.223250996467543,4.2472925561430825
39,RF,5.738610277583021,5.521242917925168
40,RF,6.688561613119244,6.660879753810082
41,RF,6.9034423429845315,6.387989712172379
42,RF,7.921538415359596,7.521263012376059
43,RF,8.806130822456575,8.464369932386559
44,RF,9.51182248595226,9.261471005943074
45,RF,10.124390396726621,9.944035823671983
46,RF,10.227836864339418,10.412750307537678
47,RF,10.613422629367866,10.725312095231224
48,RF,10.868309166485501,11.027095890245683
49,RF,11.128699530496574,11.318649726107108
50,RF,11.436547096113488,11.600485100773152
51,RF,8.502801327873236,8.308286400601602
52,RF,9.162943432923454,9.27845825880847
53,RF,10.105723505479041,10.143548530358169
54,RF,10.962499951776868,10.919752585237289
55,RF,11.601058081852871,11.620100334753223
56,RF,11.521292400669875,11.52115758908153
57,RF,7.161914718307817,7.214847975130752
58,RF,8.521412445003353,8.550938124528447
59,RF,9.67052007701425,9.687037739016262
60,RF,10.761752469939104,10.664923108762085
61,RF,11.532503701040374,11.51549236798461
62,RF,5.330793597122594,4.870081208586043
63,RF,6.8624703436488605,7.035564691404414
64,RF,8.957925642586615,8.802902377061692
65,RF,10.303505193676877,10.272654402573897
66,RF,11.507346276248306,11.51414581474525
67,RF,7.972143814871206,7.588173982492849
68,RF,9.438833392850674,9.152284302660261
69,RF,10.647901541544632,10.38623232768336
70,RF,11.604810094826291,11.384577112908504
71,RF,12.112493602884918,12.208915367621117
72,RF,10.182210846065304,10.164330842464294
73,RF,10.543216235757082,10.539535936288456
74,RF,10.87946800939392,10.889494550991538
75,RF,11.20789182734319,11.21667189341821
76,RF,11.52575319500471,11.52322233236261
77,RF,7.653380121204698,7.6167140642681606
78,RF,9.149774509353668,9.167430963197265
79,RF,10.390486290834703,10.391917070798742
80,RF,11.389781452515173,11.383320237255504
81,RF,12.196367487778868,12.202408404633275
82,RF,7.47650310564586,7.198675542074984
83,RF,8.6256574653379,8.522560925810218
84,RF,9.856784234050071,9.659006572940802
85,RF,10.725361756508834,10.645188193850057
86,RF,11.443653065546043,11.509060180134826
87,RF,9.522964474929474,9.524996997156395
88,RF,10.073255874649195,10.10666013951659
89,RF,10.70783001794123,10.634683689471812
90,RF,11.188568467361423,11.11616038296672
91,RF,11.468821143504119,11.55698525461624
92,RF,7.295482699104349,7.195839939986858
93,RF,8.58111170563817,8.667705478598423
94,RF,9.815806446166041,9.826848049392606
95,RF,10.886680792443853,10.763361650240604
96,RF,11.493907664548757,11.535764974908142
97,RF,7.401411013989641,7.584953112088243
98,RF,8.510479290009558,9.143271447302798
99,RF,9.973113184206337,10.378416614945115
100,RF,11.015602082165175,11.381475827236805
