,SMILES,VP1,VP2,VP3,VP4,VP5
11,CCOC1=CC=C(C=C1)NC(=O)C,4.809377273320706,7.7296875377337635,9.889687632331649,11.55210030670028,
18,CO,2.7111302943424676,,,,
34,CC#C,3.4221046097119086,5.286134906620809,,,
40,CC(C)N,2.7320873834915,3.938282921521159,4.980294443671028,5.889508255531133,
41,CN(C)C,2.34232433225678,3.5384468573780694,4.586591445239025,,
50,CC(C)(C(C)(C)O)O,10.449994812060302,,,,
51,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,11.521675288323607,,,,
57,CC1=CC(=O)CC(C1)(C)C,11.52958345318621,,,,
58,CCC(C)(CCCC(C)C)O,11.521675288323607,,,,
68,C=CC(=O)N,2.021058311161447,3.633236986319538,5.072307222592574,6.364729799990588,
81,CN1CCN(C1=O)C,11.521644900465914,,,,
86,C1=CC=C2C(=C1)C=CC=C2C(=O)O,3.1142395936965954,4.536926519263918,5.804572899774065,,
87,C1=CC=C2C(=C1)C3=CC=CC=C3N2,3.000832373968315,4.3973968313576,5.655788815372006,6.795547394026528,
92,CC1=C(C(=CC=C1)C)N,11.521520046897546,,,,
94,CCOC(=O)C(C(C(=O)OCC)O)O,2.5807741361913905,3.4498410668484496,4.270626501357889,,
119,CC1=NC2=CC=CC=C2C=C1,6.486951903136529,,,,
135,C1C=CC2=CC=CC=C21,2.035361082836495,2.4600982542812986,2.8757984646315222,,
229,COC(=O)CC#N,2.92135024028412,3.7969626485242074,4.59935641011775,5.337346767068841,
234,CCOC(=O)CC(=O)OCC,2.2069744323509255,3.6112809045908385,,,
260,CC(=O)OCC(CO)O,4.320428668042091,6.142531786639161,7.594881379233206,8.779659090427542,
261,CC(C)COC(=O)C=C,2.95953259200234,4.021578975454705,5.0063711743929105,5.922042675936424,
269,C=CCOC[C@H]1CO1,3.8054196394682265,5.367164172139766,6.678669234746968,,
271,CCC=C,7.60028012064358,11.391902325400794,,,
273,CCC#C,4.016812749782034,6.183591702092713,7.95311725305573,9.425463314739723,
341,CCCOC(=O)C,11.521376960692944,,,,
350,CCNCC,11.524679781035276,,,,
351,CCOC=C,11.512711340220426,,,,
376,C1CCC=CC1,2.014061527766483,2.4248002409012415,2.822380276727337,3.207424005117474,
380,C1OCOCO1,2.762434893866235,3.9677827725793833,5.064540752309366,,
382,C1COCCN1,2.628773787169223,4.047394417151654,5.307605083287523,6.434535930681577,
383,C(CC(=O)O)CC(=O)O,2.861741082563931,4.286275726766448,5.543313631555275,6.660755884579906,
390,CCOCCOC(=O)C,3.1525211725425386,4.560684401204654,5.811057419607437,6.928754659936811,
398,C(CNCCO)N,2.3687072100939233,,,,
405,CCCCCCC=C,2.8137972580709913,4.247292556143083,5.521242917925168,6.660879753810082,
413,CCCCCCCCC,2.470740013299661,3.3542035070754537,4.184606130354204,,
442,CCCCCCOCCOCCO,11.522947465831749,,,,
459,CC(C)COC(=O)C1=CC=CC=C1,11.522658170610525,,,,
480,C1=CC=C(C=C1)CC=O,11.52062829640516,,,,
495,CCC=O,2.887787184960114,4.1397665701363735,5.253318563529671,6.250198663715981,
501,C1CC(=O)NC1=O,11.522637427722646,,,,
505,C1CCNC1,11.522699589813461,,,,
511,CCCCCC(=O)O,11.522757274204368,,,,
517,CCCCCCCCCC,11.52273276365755,,,,
519,CCCCCCCCCCCCN,11.522667675489803,,,,
523,CCOC(C)(C)OCC,11.522594161268435,,,,
525,CC(=O)C(=O)O,11.522624837860032,,,,
530,C1=CC=C2C(=C1)C=CC=C2N,11.522415358630957,,,,
558,CCCCCCOC(=O)C,11.522529803235892,,,,
561,CCCCCCCCCO,11.533920610940232,,,,
563,CCCCCCNCCCCCC,11.522548829379769,,,,
570,CC(CCC=C(C)C)CCOC(=O)C,11.522629409797668,,,,
572,C1CN1,11.517825111013961,,,,
575,C1CCC2(CC1)CCCCC2,11.521080679584887,,,,
586,C1OCOO1,11.527753594682881,,,,
589,C1CCCCCCCCCCC1,11.522656592533375,,,,
592,CCCCCCCCCC(=O)O,11.522665465283728,,,,
594,CCOCOCC,11.522528995858897,,,,
599,C[C@H]1[C@H]2C[C@]2(CC1=O)C(C)C,11.522612588980449,,,,
603,C1COCC2=CC=CC=C21,11.522652260516978,,,,
605,C1CC2=CC=CC=C2C1,11.52263172770148,,,,
606,CC1=C(C=C(C=C1)O)O,11.522754806998206,,,,
613,C1CCCC(CC1)O,2.2131201225769743,,,,
625,C(CO)CO,3.099586653862346,4.614035238563634,5.933666469782704,7.093800287559262,
632,CC1=C(C(=CC=C1)C)C,2.5858892376137383,,,,
650,CCOCC1=CC=CC=C1,11.521392146266567,,,,
652,CCOC(=O)CCC(=O)C,11.522681672521927,,,,
655,CCOC,5.41806944051023,8.312817988768645,10.344939732702809,11.85002298123369,
664,CCCON=O,2.6521648767164727,,,,
665,CC(C)CCOCCC(C)C,2.64840156647999,,,,
694,C/C=C(/C)\C(=O)O,11.530004116641324,,,,
703,CC1=C(C2=CC=CC=C2C=C1)C,11.52256342828805,,,,
704,CC1=C(C(=CC=C1)C)O,11.52158911941755,,,,
708,CC1=CC2=C(C=C1)C=CC(=C2)C,2.1698320326374727,3.168575938524718,,,
710,CCC(C)C(C)CC,11.533628727654822,,,,
713,CC1=C(C=C(C=C1)N=C=O)N=C=O,11.523259732819662,,,,
714,CCCC(C)C(C)C,11.521438370770312,,,,
717,CC1=CCC(=C(C)C)CC1,11.522413330994176,,,,
734,CCCCOC(=O)CC,3.4963527029142014,5.890200229588185,7.740588618157178,9.213718933634453,
747,C=CCCC(=O)O,11.52125047078506,,,,
748,C=CCC=C,11.52125047078506,,,,
750,CCCCCC(C)C,11.53402305570408,,,,
792,CCC(C=C)O,2.8639222255836003,3.852977480864446,4.767237126585233,,
806,CCCC1=CC(=CC=C1)O,11.521238112578551,,,,
808,CCCC1=CC=CC=N1,11.521238112578551,,,,
809,CCOC1=CC=CC=C1O,11.522668526881006,,,,
810,CCCOC1=CC=CC=C1,11.521001015742694,,,,
817,CCC(CC(C)C)O,11.522587017797,,,,
832,CC(C)CC(C)(C)O,11.517703420169527,,,,
846,CCCOC(=O)O,11.537399161164135,,,,
864,CCCCCC#C,9.53502904087109,,,,
870,CCCCCCCCCC#CC,11.53654124403033,,,,
885,C(CCCN)CCCN,11.511403144151787,,,,
886,CC(C)CCOC(=O)CC(C)C,11.531953700907755,,,,
919,CCC(=C)CC,11.522518855544499,,,,
920,COC(=O)C#CC(=O)OC,11.519662215977457,,,,
940,COC1=CC=CC=C1C#C,3.38520201827221,4.837900592282061,6.088878532785412,7.177424225524383,
941,C/C=C(/C)\C1=CC=CC=C1,11.522771668271682,,,,
944,CCCCCC1OCOO1,11.522899757778333,,,,
947,CC(=C)C(=O)C,11.522695456723701,,,,
948,CC(=O)C(C(=O)C)C(=O)C,11.52279055805852,,,,
950,CCC(=CC)CC,11.522640863155676,,,,
951,CCCC(C)CCCO,11.52268019077216,,,,
954,CCC(C)CCCO,11.522786303150978,,,,
964,CC1=C2CCCC2=CC=C1,11.522816856345495,,,,
967,C1CCCCCC(=O)CCCCC1,11.52281786962122,,,,
970,CCCCCCCCC=C,11.522786303150978,,,,
972,CN1CCCC1=O,11.522676762677197,,,,
974,CC1=CC2=C(CCC2)C=C1,11.522901913627258,,,,
