,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2
48,CC(C)(C(C)(C)O)O,7.59392212733594,9.158085135366347,10.389930961737853,11.385194447850877,12.20605950970866,121,"2,3-Dimethyl-2,3-butanediol",21.08414999857137,3111.7848748100364,-121.969,346,447,6,"[1, 6, 8]",3,True,CHO
49,CCC(C)(CC)O,7.60728385595659,9.163710744230798,10.391597204741615,11.385037787197742,12.20532661729153,131,3-Methyl-3-pentanol,19.59822276050952,2187.9163553629423,-123.65,306,419,6,"[1, 6, 8]",3,True,CHO
50,CC(C)(OC)OC,2.8321615513434146,3.6976182354859244,4.466758541998626,5.154813469534753,5.7739634122416135,132,"2,2-Dimethoxy propane",19.968409365910176,2314.991421475098,-77.721,292,357,5,"[1, 6, 8]",3,True,CHO
51,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,7.587876653771092,8.86302378791959,9.925189508889654,10.823620892530695,11.593468501553986,134,Triethyl citrate,31.34635729272909,10853.879559653473,0.0,400,456,12,"[1, 6, 8]",3,True,CHO
52,CCC(CO)(CO)CO,7.60728385595659,9.163710744230798,10.391597204741615,11.385037787197742,12.20532661729153,135,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",22.806322467174404,4945.3264766059165,-129.79,433,568,6,"[1, 6, 8]",3,True,CHO
53,CC1=CC(=O)CC(C1)(C)C,7.563206540865194,9.135267943246614,10.372304520847456,11.371100007935974,12.19443343238277,141,"3,5,5-Trimethyl-2-cyclohexen-1-one",21.67280587759529,4588.61920433965,-38.415,293,488,9,"[1, 6, 8]",3,True,CHO
54,CC(C)CN,4.812011255494497,7.18966042846157,8.991037698374566,10.403005072526318,11.53951582315558,148,Isobutyl amine,20.61216610620945,2494.254578719964,-66.329,255,289,4,"[1, 6, 7]",3,True,CHN
55,CC(C)CO,7.60728385595659,9.163710744230798,10.391597204741615,11.385037787197742,12.20532661729153,149,2-Methyl-1-propanol,21.51774979743308,2740.951242998253,-106.48,303,401,4,"[1, 6, 8]",3,True,CHO
56,CC(C)C=O,7.536124817291299,9.044392454944303,10.243457763373945,11.219562736176119,12.029605030277935,150,2-Methylpropanal,23.01829845083544,2727.3613857794016,-49.322,286,347,4,"[1, 6, 8]",3,True,CHO
57,CCC(C)O,4.921613790458693,7.25367154287499,9.014297496067925,10.390597762655764,11.49603026009191,153,2-Butanol,22.10299785051937,3026.034303361845,-86.6,295,392,4,"[1, 6, 8]",3,True,CHO
58,CCC(=O)C,7.598000169986491,8.829413011971685,9.88528217429491,10.800647008034938,11.601803258442361,154,2-Buta,21.042404130835383,2838.235463177251,-54.46,265,378,4,"[1, 6, 8]",3,True,CHO
59,CC(=O)C=C,7.572619422416054,9.149794316149315,10.389263423203904,11.38900215886299,12.212428312932783,155,Methyl vinyl ketone,23.75259283699124,4603.323512743511,22.27,279,355,4,"[1, 6, 8]",3,True,CHO
60,CC(CN)O,7.577001614961201,9.14212660533825,10.374499317186515,11.370040056566406,12.19103397206876,157,1-Amino-2-propanol,25.682182170771178,6048.2693413202505,-4.19,306,431,3,"[1, 6, 7, 8]",4,True,CHON
61,CCC(=O)N,7.569086160199328,9.143146575982357,10.382647753574071,11.38400671803898,12.209838886680627,162,Propionamide,22.701393664486663,4469.105827672887,-92.898,381,498,3,"[1, 6, 7, 8]",4,True,CHON
62,C=CC(=O)N,7.212432111631401,8.538228653900838,9.676555524982247,10.664549851426763,11.530147358417413,163,Acrylamide,23.935372041673105,7398.20590378987,0.0,357,413,3,"[1, 6, 7, 8]",4,True,CHON
63,C=CC(=O)O,4.913050093098832,7.237437379195551,9.007415253349201,10.400203931290095,11.524764167665817,166,Propenoic acid,24.148246033520405,5030.084633879027,-15.491,300,415,3,"[1, 6, 8]",3,True,CHO
64,C(C(=O)O)O,8.627333034369686,9.692082418551216,10.586171539199883,11.347586803097006,12.003819684911363,168,Glycolic acid,28.22877220606981,6235.607664486246,0.0,350,375,2,"[1, 6, 8]",3,True,CHO
65,CC(=O)NC,9.634863365268826,9.840555317802385,10.038695032580547,10.229690946278625,10.413922565256167,169,N-Methylacetamide,24.92755595824424,6431.810940260269,0.0,353,479,3,"[1, 6, 7, 8]",4,True,CHON
66,CC(=O)OC,8.122217455814422,9.134142981773918,10.03128980929143,10.83213820538907,11.551403223557807,170,Methyl ethanoate,21.28532685814626,2725.569974577052,-50.74,260,351,3,"[1, 6, 8]",3,True,CHO
67,CC(=O)OO,7.577484967473284,8.835488323277486,9.899721160691033,10.811751856680537,11.602052396279062,171,Peroxyethanoic acid,25.41109882777299,5321.27414990924,0.0,273,383,2,"[1, 6, 8]",3,True,CHO
68,CC(C)C(C)C,7.5652409964594565,9.1334082737529,10.370097528719036,11.370363794046911,12.196088905035182,173,"2,3-Dimethylbutane",20.573275443988777,2595.934433841488,-44.154,254,348,6,"[1, 6]",2,True,CH
69,CC(C)C(=O)O,7.579552150616944,9.152408082594214,10.389881940503068,11.388909748716046,12.212353579820839,174,2-Methylpropanoic acid,22.219186294311854,3695.331317512611,-82.0,344,446,4,"[1, 6, 8]",3,True,CHO
70,CC(=C)C(=O)N,3.64947379002545,5.98730183453195,7.767260059745173,9.16774754540467,10.298424526897085,177,Methacrylamide,15.001756346172948,747.927992491419,-296.789,390,418,4,"[1, 6, 7, 8]",4,True,CHON
71,CC(=C)C(=O)O,7.587084264295903,9.147756771763023,10.37817015711504,11.373124765417147,12.194306387778548,178,2-Methylpropenoic acid,23.243445221228395,4402.082180786017,-59.35,341,438,4,"[1, 6, 8]",3,True,CHO
72,CC1(C2CCC(C2)C1=C)C,9.054793092417224,9.734657491328392,10.340686859886127,10.884289713568036,11.374639331751306,182,Camphene,22.333832006092027,4299.508922648411,-36.143,323,434,10,"[1, 6]",2,True,CH
73,CC(C)(C1=CC=CC=C1)OO,7.621961167864974,9.20310567951599,10.444215968203803,11.444331955137418,12.267434915452073,184,Cumenyl hydroperoxide,13.172882084360566,696.2418649089817,-263.227,347,389,9,"[1, 6, 8]",3,True,CHO
74,C/C=C(\C)/C(=O)O,4.887656490077504,7.251185703021356,9.026404858891196,10.408658113617438,11.515424318815468,185,(E)-2-Methyl-2-butenoic acid,21.581669559614596,3524.3367433366866,-121.15,373,474,5,"[1, 6, 8]",3,True,CHO
75,C1CC2=CC=CC3=C2C1=CC=C3,7.614101794791541,8.861336937844143,9.916017872913136,10.81954034063329,11.60222773408231,190,Acenaphthene,21.565758696622005,4810.8946511216445,-71.07,367,413,12,"[1, 6]",2,True,CH
76,CC1=CNC2=CC=CC=C12,7.617747767327277,9.176933055266215,10.401008483646645,11.387526611464724,12.199524970438025,191,3-Methylindole,24.02333079222548,6188.549732940726,-44.505,368,540,9,"[1, 6, 7]",3,True,CHN
77,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7.575204634645566,9.147571329865055,10.382246518928495,11.37746826012806,12.196738332157075,198,Diethyl phthalate,32.06550066897299,16410.270673408337,229.91,413,570,12,"[1, 6, 8]",3,True,CHO
78,C1=CC=C2C(=C1)C(=O)OC2=O,7.569086160199328,9.143146575982357,10.382647753574071,11.38400671803898,12.209838886680627,204,Phthalic anhydride,20.02951997427824,3622.387724351652,-133.336,404,558,8,"[1, 6, 8]",3,True,CHO
79,CC(C)CCOC(=O)C1=CC=CC=C1O,8.622547827794756,9.602704166137917,10.43749580434892,11.157028345893629,11.783630921172524,214,Isopentyl salicylate,18.393947731022703,3468.489844491209,-113.642,287,328,12,"[1, 6, 8]",3,True,CHO
80,CCOC(=O)C1=CC=CC=C1N,7.567286494979562,8.848536229362402,9.91957609900815,10.828216583037923,11.60879111519394,215,Ethyl anthranilate,20.82939198388251,3994.409490071421,-113.5,433,593,9,"[1, 6, 7, 8]",4,True,CHON
81,CCCC(C)C1=CC=CC=C1O,7.572576808902893,9.137601151448923,10.371967303933715,11.370454896010012,12.19477930711293,216,2-(2-Pentyl)phenol,21.01387510153319,3850.3689769940856,-109.909,397,501,11,"[1, 6, 8]",3,True,CHO
82,C1C2=CC=CC=C2C(=O)O1,7.583605776290328,9.148904613518111,10.381644954367376,11.377631158842108,12.199092298282329,217,Phthalide,22.570353546844373,5740.121286080135,-43.794,368,563,8,"[1, 6, 8]",3,True,CHO
83,C1=CC(=C(C(=C1)O)O)O,7.587084264295903,9.147756771763023,10.37817015711504,11.373124765417147,12.194306387778548,221,"1,2,3-Trihydroxybenzene",30.58859956447568,14248.187020203692,166.406,458,582,6,"[1, 6, 8]",3,True,CHO
84,CCOC(=O)C(C(C(=O)OCC)O)O,6.468435421545532,8.0841362429812,9.424369343850886,10.554049430586172,11.51918024973879,224,Diethyl (+)-tartrate,24.72340876389939,7087.522702362369,-15.815,373,553,8,"[1, 6, 8]",3,True,CHO
85,CC1=CC(=C(C(=C1)C)N)C,7.8550638653313705,8.615037018068277,9.280973985013913,9.869311383577754,10.392866112417337,226,"2,4,6-Trimethyl-aniline",24.284052502305197,5865.939140731517,-39.039,341,477,9,"[1, 6, 7]",3,True,CHN
86,CCC(CC)C(=O)O,9.032416133075241,9.485485205361286,9.915192305196406,10.323298965732024,10.71139396526067,228,2-Ethylbutyric acid,25.125992741558463,5953.02981670383,-28.838,374,467,6,"[1, 6, 8]",3,True,CHO
87,CC(C)(C)C1=CC=CC=C1O,9.022800717385241,9.526226374747093,9.957297542302083,10.330567066708097,10.656930274299174,231,2-tert-Butylphenol,21.814000395497693,4435.38446898599,-66.116,328,497,10,"[1, 6, 8]",3,True,CHO
88,CC1=CC(=C(C=C1)C(C)(C)C)O,7.769813357738887,8.849117441633208,9.830932789704345,10.727897228275964,11.55055467947517,232,3-Methyl-6-tert-butylphenol,21.822681141298283,4439.144590442849,-83.918,378,517,11,"[1, 6, 8]",3,True,CHO
89,CC(C)C1=CC=CC=C1O,4.84154788260733,7.130677040080236,8.913472509890862,10.341199410143187,11.510326476869755,233,2-Isopropylphenol,21.103353558246937,3690.512006912974,101.616,375,493,9,"[1, 6, 8]",3,True,CHO
90,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,4.8061191191933865,7.076464811403312,8.8711383677186,10.325455328939041,11.527851837156078,239,Pyromellitic acid,26.15248517601521,9604.358733089324,0.0,561,622,10,"[1, 6, 8]",3,True,CHO
91,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,6.51449843974634,8.086370257752112,9.417052585355336,10.558102456129316,11.547359756194545,240,Pyromellitic acid dianhydride,15.524811575897475,1162.123906774467,-383.267,562,622,10,"[1, 6, 8]",3,True,CHO
92,CCC(C)C1=CC=CC=C1O,4.879297722032348,7.137164863517491,8.913298490288067,10.34700946252016,11.52861557991685,242,2-sec-Butylphenol,20.89485447807633,3667.186819920944,-109.418,452,513,10,"[1, 6, 8]",3,True,CHO
93,C[C@@H]1CCC(=C(C)C)C(=O)C1,11.502711855379165,11.555949528740879,11.608856533323952,11.661435940355425,11.71369078314596,243,Pulegone,18.578384796971527,2309.7161990270483,-163.383,331,494,10,"[1, 6, 8]",3,True,CHO
94,CC1=CC(=C(C=C1)C(C)C)O,5.616559214942519,6.289950422734869,6.905231803090603,7.469614055751613,7.989162256605502,244,p-Cymen-3-ol,22.811111844167836,5029.0254447362495,-58.598,339,514,10,"[1, 6, 8]",3,True,CHO
95,CCC1=CC=CC=C1O,7.181889292087561,8.521474860743155,9.673452845760064,10.674655464269176,11.552865648121909,246,2-Ethylphenol,21.02444396711003,3565.3734148640265,-102.305,424,491,8,"[1, 6, 8]",3,True,CHO
96,C1=CC=C(C(=C1)C=O)O,9.349519464593667,9.96174013883486,10.522999539572634,11.039406446934116,11.516130800006229,247,2-Hydroxy-benzaldehyde,22.859558234524428,5009.24623878743,-27.593,306,470,7,"[1, 6, 8]",3,True,CHO
97,COC1=CC=CC=C1N,6.458959480308486,8.022972461891282,9.360993152196794,10.51870333812267,11.530249944801428,248,2-Aminoanisole,25.18763294449792,6680.2368459433965,-2.9,334,492,7,"[1, 6, 7, 8]",4,True,CHON
98,COC1=CC=CC=C1O,9.389937057433823,9.721411666167402,10.042249188584297,10.352953558351231,10.653997372083396,249,2-Methoxyphenol,19.83856659251624,2873.0367342727627,-133.807,361,479,7,"[1, 6, 8]",3,True,CHO
99,CC1=CC=CC2=CC=CC=C12,8.527531565188163,9.503269576624948,10.304943313777661,10.975316075402704,11.544203608044297,251,1-Methylnaphthalene,21.09356757160172,4206.707835645472,-78.148,390,551,11,"[1, 6]",2,True,CH
100,C1=CC=C2C(=C1)C=CC=C2O,7.19012983407778,8.529108853932225,9.679928088837293,10.679645440984867,11.556186955154564,254,1-Naphthol,23.69182761638713,6514.395457205594,-19.82,414,556,10,"[1, 6, 8]",3,True,CHO
101,C1=CC=C(C=C1)C2=CC=CC=C2O,4.867028453349995,7.176601258667823,8.960698781773981,10.38033829369771,11.536848063149584,256,2-Phenylphenol,23.46603612216813,5713.871816020004,-70.966,435,548,12,"[1, 6, 8]",3,True,CHO
102,CC1=C(C=CC=C1N=C=O)N=C=O,6.494054535368033,8.104359053346696,9.438722751042494,10.562475744794957,11.52183372767509,258,"2,6-Toluene diisocyanate",20.158833153100783,3469.0908192004804,-124.909,373,474,9,"[1, 6, 7, 8]",4,True,CHON
103,C1=CC=C2C=CC=CC2=C1,6.502943335436932,8.050339618947202,9.374917365273646,10.521571619935452,11.523895468652983,259,Naphthalene,21.03176618770576,3995.583808468848,-70.82,418,613,10,"[1, 6]",2,True,CH
104,C1=CC=C2C(=C1)C=CC=N2,4.877087328289793,7.118408997412811,8.89083030356042,10.327562764391791,11.515723571534416,260,Quinoline,21.48719449324905,4440.632060412923,-64.59,519,702,9,"[1, 6, 7]",3,True,CHN
105,CC1=CC2=CC=CC=C2C=C1,4.8494261678357695,7.1469787743127124,8.930587891911538,10.355353574580935,11.519671075588374,262,2-Methylnaphthalene,21.16858579393146,4237.378269084153,-74.755,387,547,11,"[1, 6]",2,True,CH
106,C1=CC=C2C=C(C=CC2=C1)N,4.86868131699703,7.185097539918573,8.968396771280435,10.383629248294696,11.534086962667436,264,2-Naphthalenamine,22.772060000990656,5996.645383535323,-46.07,388,579,10,"[1, 6, 7]",3,True,CHN
107,CC1=CC2=C(C=C1)N=CC=C2,7.194949117450886,8.645138097624676,9.813578409258435,10.775108977525766,11.580219389691608,265,6-Methylquinoline,20.835309627571505,4017.430735831176,-106.755,453,541,10,"[1, 6, 7]",3,True,CHN
108,CC1=NC2=CC=CC=C2C=C1,6.483556405431866,8.077503020148086,9.416893917614885,10.558199314984066,11.542336496222836,266,2-Methylquinoline,21.43573171642063,4291.366981759585,-87.925,443,522,10,"[1, 6, 7]",3,True,CHN
109,CCN(CC)C1=CC=CC=C1,7.193359307163057,8.505340042264322,9.648434840036185,10.65328174366429,11.54353054447114,268,"N,N-Diethylaniline",23.23071192566414,5364.424594551948,-30.394,322,489,10,"[1, 6, 7]",3,True,CHN
110,CCN(CC)C1=CC(=CC=C1)O,7.770052186546721,8.900385175354076,9.878854548216905,10.734138781754915,11.488122983859322,269,3-(Diethylamino)-phenol,22.65036837882592,4924.096642048511,-108.741,431,554,10,"[1, 6, 7, 8]",4,True,CHON
111,C1=CC=C(C=C1)C2=CC=C(C=C2)O,8.826260867869332,9.863033451963794,10.740010683637767,11.49149260055172,12.142618061232492,273,4-Phenylphenol,26.265473026528436,8455.297391547412,-6.667,450,581,12,"[1, 6, 8]",3,True,CHO
112,CC(=O)C1=CC2=CC=CC=C2C=C1,4.884453980784855,7.181086748160244,8.953007125635946,10.361600974679726,11.508225229884939,278,2-Acetyl-naphthalene,25.84990246894487,8173.615249366172,-3.312,393,575,12,"[1, 6, 8]",3,True,CHO
113,C1=CC=C2C=C(C=CC2=C1)C(=O)O,4.879202060298212,7.104653524853859,8.877329843067807,10.322650340999184,11.523628109566717,279,2-Naphthoic acid,30.17093365445749,10464.171637834415,-20.274,433,582,11,"[1, 6, 8]",3,True,CHO
114,COC1=C(C=C(C=C1)CC=C)OC,3.1831497427397935,4.035798333778679,4.83064198244784,5.573366255084082,6.26893476171918,280,"1,2-Dimethoxy-4-allyl benzene",24.70369863550336,6428.815277054283,-33.535,358,521,11,"[1, 6, 8]",3,True,CHO
115,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,4.8728216001167795,7.094014043175868,8.86967043645344,10.321623175107732,11.53099505508585,281,Eugenol acetate,24.03164312441119,6526.371202274256,-33.501,374,555,12,"[1, 6, 8]",3,True,CHO
116,CC1=CC(=C(C=C1)O)OC,4.506556746232675,5.100327580634467,5.665823613398079,6.205017505102916,6.71970258354844,282,2-Methoxy-4-methyl phenol,21.86083497628919,4391.651470314754,-70.184,356,503,8,"[1, 6, 8]",3,True,CHO
117,CCC(=O)C1=CC=CC=C1,4.829179405519643,5.476863830088165,6.074719083769935,6.628282521439779,7.142300339766814,284,1-Phenyl-1-propa,19.857125428365773,3022.462993882611,-128.785,405,492,9,"[1, 6, 8]",3,True,CHO
