"standard_relation","standard_value","standard_type","pchembl_value","assay_chembl_id","target_chembl_id","canonical_smiles","compound_chembl_id"
"=",150.0,"Ki",6.82,"CHEMBL1059153","CHEMBL3155","Cc1cccc(c1)S(=O)(=O)NCCCCNC(=N)N2CCC(CC2)c3ccccc3","CHEMBL557740"
"=",140.0,"Ki",6.85,"CHEMBL1059153","CHEMBL3155","COc1ccccc1N2CCN(CC2)C(=N)NCCCCNS(=O)(=O)c3ccc(C)cc3","CHEMBL559260"
"=",198.0,"Ki",6.7,"CHEMBL1059153","CHEMBL3155","N=C(NCCCCNS(=O)(=O)c1cccc2ccccc12)N3CCc4ccccc4C3","CHEMBL564509"
"=",1.995,"Ki",8.7,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCC[C@@H]5C(=O)N","CHEMBL539713"
"=",39.81,"Ki",7.4,"CHEMBL1051848","CHEMBL1875","CCOC(=O)N1CCN(CCCN2[C@@H]3CC[C@H]2C[C@H](C3)NC(=O)C4=Cc5ccccc5N(C(C)C)C4=O)CC1","CHEMBL540980"
"=",7.943,"Ki",8.1,"CHEMBL1051848","CHEMBL1875","CCOC(=O)N1CCN(CCCCCCCN2[C@@H]3CC[C@H]2C[C@H](C3)NC(=O)C4=Cc5ccccc5N(C(C)C)C4=O)CC1","CHEMBL538956"
"=",39.81,"Ki",7.4,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN5CCN(CC5)S(=O)(=O)C","CHEMBL549449"
"=",10.0,"Ki",8.0,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCN(CC5)S(=O)(=O)C","CHEMBL555693"
"=",39.81,"Ki",7.4,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN5CCOCC5","CHEMBL549650"
"=",1.995,"Ki",8.7,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCOCC5","CHEMBL559322"
"=",199.53,"Ki",6.7,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN(C)CCCN(C)S(=O)(=O)C","CHEMBL559050"
"=",5.012,"Ki",8.3,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN(C)CCCN(C)S(=O)(=O)C","CHEMBL553404"
"=",7.943,"Ki",8.1,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN5CCN(CC5)c6ccccc6","CHEMBL555222"
"=",3.981,"Ki",8.4,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCN(CC5)c6ccccc6","CHEMBL539651"
