"standard_relation","standard_value","standard_type","pchembl_value","assay_chembl_id","target_chembl_id","canonical_smiles","compound_chembl_id"
">",10000.0,"Ki",,"CHEMBL615807","CHEMBL214","CCN(C)C1CCCc2ccncc12.OC(=O)\C=C/C(=O)O.OC(=O)\C=C/C(=O)O","CHEMBL1794855"
"=",168.0,"Ki",6.78,"CHEMBL615460","CHEMBL214","CCCN(CCC)[C@@H]1CCc2c(OC)cccc2[C@@H]1C","CHEMBL278751"
"=",181.0,"Ki",6.74,"CHEMBL615809","CHEMBL214","C(N1CCN(CC1)c2ncccn2)c3c[nH]c(n3)c4ccccc4","CHEMBL103772"
"=",3.9,"Ki",8.41,"CHEMBL615460","CHEMBL214","CCCN1CC[C@@H]2[C@H]1CCc3ccc4ccoc4c23","CHEMBL328107"
"=",1.6,"Ki",8.8,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5csc6ccccc56)Oc12","CHEMBL148860"
"=",210.0,"Ki",6.68,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2c(C1)ccc3ccoc23","CHEMBL96735"
"=",1.7,"Ki",8.77,"CHEMBL616120","CHEMBL214","CCc1cccc(OC[C@@H](O)CN2CCC3(CC2)OCc4c3ccc5ccccc45)c1","CHEMBL111065"
"=",344.0,"Ki",6.46,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2c(O)cccc2C1","CHEMBL273273"
"=",127.7,"Ki",6.89,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)n5ccc6cc(F)ccc56)Oc12","CHEMBL150050"
"=",5.87,"Ki",8.23,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccc6ccccc6c5)Oc12","CHEMBL151786"
"=",7.8,"Ki",8.11,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc3occc3c2C1","CHEMBL314548"
"=",2.2,"Ki",8.66,"CHEMBL616120","CHEMBL214","OC(COCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL114452"
"=",6.1,"Ki",8.21,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc3ccoc3c2C1","CHEMBL93186"
"=",3.05,"Ki",8.52,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5)Oc12","CHEMBL147477"
"=",0.33,"Ki",9.48,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5cccc(c5)C(F)(F)F)Oc12","CHEMBL435279"
"=",5.5,"Ki",8.26,"CHEMBL616120","CHEMBL214","OC(COc1cc(F)cc2CCCOc12)CN3CCC4(CC3)OCc5c4ccc6ccccc56","CHEMBL112841"
"=",16.7,"Ki",7.78,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5csc6ccccc56)Oc12","CHEMBL344745"
"=",39.0,"Ki",7.41,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5OC)Oc12","CHEMBL421950"
"=",2.92,"Ki",8.54,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5cccc(c5)C(F)(F)F)Oc12","CHEMBL149888"
"=",1.53,"Ki",8.81,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5)Oc12","CHEMBL151266"
"=",0.81,"Ki",9.09,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccc6ccccc6c5)Oc12","CHEMBL146751"
"=",357.0,"Ki",6.45,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)c5cccc6ccccc56)Oc12","CHEMBL356904"
"=",307.1,"Ki",6.51,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)c5cccc6cccnc56)Oc12","CHEMBL348708"
"=",0.4,"Ki",9.4,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2cccc(O)c2C1","CHEMBL56"
"=",0.2,"Ki",9.7,"CHEMBL615460","CHEMBL214","CCCN1CC[C@@H]2[C@H]1CCc3cccc(O)c23","CHEMBL430332"
"=",47.0,"Ki",7.33,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc(O)cc2C1","CHEMBL285755"
"=",120.0,"Ki",6.92,"CHEMBL615460","CHEMBL214","CCCN(CCC)[C@@H]1CCc2c(ccc3ccoc23)[C@@H]1C","CHEMBL433002"
"=",0.8318,"Ki",9.08,"CHEMBL833493","CHEMBL214","O[C@H]1[C@H](CC[C@@H]1Oc2ccccc2)NC[C@H]3COc4ccccc4O3","CHEMBL135974"
"=",46.0,"Ki",7.34,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccn5)Oc12","CHEMBL355953"
"=",61.6,"Ki",7.21,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccn5)Oc12","CHEMBL357985"
"=",72.0,"Ki",7.14,"CHEMBL616120","CHEMBL214","C(CCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL113326"
"=",1.1,"Ki",8.96,"CHEMBL616120","CHEMBL214","O[C@H](COc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL326751"
"=",296.0,"Ki",6.53,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34","CHEMBL53"
"=",33.88,"Ki",7.47,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112713"
"=",24.55,"Ki",7.61,"CHEMBL833493","CHEMBL214","COc1ccccc1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112711"
"=",0.9333,"Ki",9.03,"CHEMBL833493","CHEMBL214","COc1ccccc1N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2","CHEMBL13647"
"=",87.0,"Ki",7.06,"CHEMBL615779","CHEMBL214","CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1","CHEMBL22778"
"=",1.0,"Ki",9.0,"CHEMBL616120","CHEMBL214","O[C@H](COc1ccccc1F)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL327126"
"=",31.1,"Ki",7.51,"CHEMBL615779","CHEMBL214","C[C@H]1c2cccc3C[C@H]4N(C)CCc5ccc1c(c45)c23","CHEMBL27132"
"=",22.39,"Ki",7.65,"CHEMBL833493","CHEMBL214","O[C@@H]1[C@@H](CC[C@H]1Oc2ccccc2)NC[C@@H]3COc4ccccc4O3","CHEMBL134428"
"=",3.715,"Ki",8.43,"CHEMBL833493","CHEMBL214","O[C@H]1[C@H](CC[C@@H]1Oc2ccccc2)NC[C@@H]3COc4ccccc4O3","CHEMBL132378"
"=",40.7,"Ki",7.39,"CHEMBL615779","CHEMBL214","CN1CCc2ccc3Cc4cccc5C[C@@H]1c2c3c45","CHEMBL284586"
"=",50.12,"Ki",7.3,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112713"
"=",8.3,"Ki",8.08,"CHEMBL616120","CHEMBL214","OC(CCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL114453"
"=",2.089,"Ki",8.68,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1OCCNCC2COc3ccccc3O2","CHEMBL25554"
"=",1.3,"Ki",8.89,"CHEMBL615779","CHEMBL214","CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1","CHEMBL26998"
"=",2.3,"Ki",8.64,"CHEMBL616120","CHEMBL214","OC(COc1ccc(F)c2CCC(=O)c12)CN3CCC4(CC3)OCc5c4ccc6ccccc56","CHEMBL111713"
"=",80.0,"Ki",7.1,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c4ccccc4C[C@@H]1c23","CHEMBL281357"
"=",5.495,"Ki",8.26,"CHEMBL833493","CHEMBL214","O[C@@H]1[C@@H](CC[C@H]1Oc2ccccc2)NC[C@H]3COc4ccccc4O3","CHEMBL135973"
"=",26.92,"Ki",7.57,"CHEMBL833493","CHEMBL214","COc1ccccc1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112711"
"=",3.467,"Ki",8.46,"CHEMBL833493","CHEMBL214","CCCN(CCC)C1CCc2cccc(O)c2C1","CHEMBL56"
"=",14.4,"Ki",7.84,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(C)c34","CHEMBL27940"
"=",24.0,"Ki",7.62,"CHEMBL616120","CHEMBL214","CC(C)NCC(O)COc1cccc2[nH]ccc12","CHEMBL500"
"=",5.05,"Ki",8.3,"CHEMBL615779","CHEMBL214","C[C@@H]1c2cccc3C[C@H]4N(C)CCc5ccc1c(c45)c23","CHEMBL282863"
"=",2.089,"Ki",8.68,"CHEMBL616222","CHEMBL214","COc1cccc(OC)c1OCCNCC2COc3ccccc3O2","CHEMBL25554"
"=",794.33,"Ki",6.1,"CHEMBL616226","CHEMBL214","CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2","CHEMBL261917"
"=",6.0,"Ki",8.22,"CHEMBL616120","CHEMBL214","O[C@@H](COc1ccccc1F)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL323441"
"=",2.8,"Ki",8.55,"CHEMBL616120","CHEMBL214","OC(COc1ccc(F)c2CCCOc12)CN3CCC4(CC3)OCc5c4ccc6ccccc56","CHEMBL111021"
"=",794.33,"Ki",6.1,"CHEMBL616226","CHEMBL214","CN1CCN(CC1)c2ccnc3ccc(NS(=O)(=O)c4sc5ccc(Cl)cc5c4C)cc23","CHEMBL316081"
"=",2.5,"Ki",8.6,"CHEMBL616245","CHEMBL214","NCCc1c[nH]c2ccc(O)cc12","CHEMBL39"
"=",2759.7,"Ki",5.56,"CHEMBL616124","CHEMBL214","Fc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28997"
"=",630.96,"Ki",6.2,"CHEMBL616226","CHEMBL214","O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c4ccc(cc4)c5ccccc5","CHEMBL97637"
"=",794.33,"Ki",6.1,"CHEMBL616226","CHEMBL214","Cc1cc(N2CCNCC2)c3cc(NS(=O)(=O)c4sc5ccc(Cl)cc5c4C)ccc3n1","CHEMBL97211"
"=",405.6,"Ki",6.39,"CHEMBL616124","CHEMBL214","COc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL435949"
"=",158.49,"Ki",6.8,"CHEMBL616226","CHEMBL214","Clc1cccc2cc(ccc12)S(=O)(=O)Nc3ccc4nccc(N5CCNCC5)c4c3","CHEMBL97596"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","CCCc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28833"
"=",1000.0,"Ki",6.0,"CHEMBL616226","CHEMBL214","Cc1c(sc2ccc(Cl)cc12)S(=O)(=O)Nc3ccc4nccc(N5CCNCC5)c4c3","CHEMBL97158"
"=",778.0,"Ki",6.11,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5c(C)cccc5C#N)c34","CHEMBL28056"
"=",990.7,"Ki",6.0,"CHEMBL616124","CHEMBL214","Fc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL282424"
">",10000.0,"Ki",,"CHEMBL615975","CHEMBL214","CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c3cccc(O)c3)CC1","CHEMBL282199"
"=",251.19,"Ki",6.6,"CHEMBL616226","CHEMBL214","Cc1sc2ccc(Cl)cc2c1S(=O)(=O)Nc3ccc4nccc(N5CCNCC5)c4c3","CHEMBL318018"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","COc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28607"
"=",1000.0,"Ki",6.0,"CHEMBL616226","CHEMBL214","C[C@H]1CN(CCN1)c2ccnc3ccc(NS(=O)(=O)c4sc5ccc(Cl)cc5c4C)cc23","CHEMBL95823"
"=",355.0,"Ki",6.45,"CHEMBL615975","CHEMBL214","CN1CCc2ccc3[C@@H](N)c4cccc5C[C@@H]1c2c3c45","CHEMBL27251"
"=",296.0,"Ki",6.53,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34","CHEMBL53"
"=",3967.7,"Ki",5.4,"CHEMBL616124","CHEMBL214","C=Cc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL29808"
"=",319.0,"Ki",6.5,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5c(C)cccc5O)c34","CHEMBL26907"
"=",80.0,"Ki",7.1,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c4ccccc4C[C@@H]1c23","CHEMBL281357"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","CSc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28651"
"=",1.8,"Ki",8.74,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5ccccc5)c34","CHEMBL25924"
">",10000.0,"Ki",,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c34)c5c(OS(=O)(=O)C(F)(F)F)cccc5OS(=O)(=O)C(F)(F)F","CHEMBL282413"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","C(N1CCN(CC1)c2ccc(cc2)c3ccccc3)c4c[nH]c5ncccc45","CHEMBL287671"
"=",139.0,"Ki",6.86,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5c(O)cccc5O)c34","CHEMBL281273"
">",10000.0,"Ki",,"CHEMBL616524","CHEMBL1898","CCN(C)C1CCCc2ccncc12.OC(=O)\C=C/C(=O)O.OC(=O)\C=C/C(=O)O","CHEMBL1794855"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","Fc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28997"
">",7943.0,"Ki",,"CHEMBL615975","CHEMBL214","C[C@H](CCN1CCC(C)CC1)N(C)S(=O)(=O)c2cccc(C)c2","CHEMBL12264"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","FC(F)(F)c1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL283036"
"=",554.0,"Ki",6.26,"CHEMBL615975","CHEMBL214","COc1cccc(OC)c1c2cccc3C[C@H]4N(C)CCc5cccc(c45)c23","CHEMBL283065"
"=",170.0,"Ki",6.77,"CHEMBL615975","CHEMBL214","O=C1Nc2cccc3CCC[C@@]1(CCCCN4CCC(=CC4)c5ccccc5)c23","CHEMBL25815"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","COc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL435949"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","CCCc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28833"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","Fc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL282424"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","COc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28607"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","C=Cc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL29808"
"=",142.0,"Ki",6.85,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5c(C)cccc5C#N)c34","CHEMBL28056"
"=",48.8,"Ki",7.31,"CHEMBL615975","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(c5c(C)cccc5O)c34","CHEMBL26907"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","CSc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28651"
"=",6620.9,"Ki",5.18,"CHEMBL616124","CHEMBL214","Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL267014"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","C(N1CCN(CC1)c2ccc(cc2)c3ccccc3)c4c[nH]c5ncccc45","CHEMBL287671"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","FC(F)(F)c1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL283036"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL267014"
"=",10.4,"Ki",7.98,"CHEMBL616432","CHEMBL1898","CC(C)c1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1","CHEMBL44054"
"=",118.0,"Ki",6.93,"CHEMBL616432","CHEMBL1898","CN1CCC[C@@H]1Cc2c[nH]c3ccc(C)cc23","CHEMBL300686"
"=",47.9,"Ki",7.32,"CHEMBL616432","CHEMBL1898","CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1","CHEMBL128"
">",10000.0,"Ki",,"CHEMBL616527","CHEMBL1898","CCc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL282829"
">",10000.0,"Ki",,"CHEMBL616124","CHEMBL214","CCc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL282829"
"=",10.1,"Ki",8.0,"CHEMBL616431","CHEMBL1898","C1CN(CCN1)c2cccc3ccccc23","CHEMBL277120"
"=",47.0,"Ki",7.33,"CHEMBL616432","CHEMBL1898","CCc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1","CHEMBL45929"
"=",9.2,"Ki",8.04,"CHEMBL616133","CHEMBL214","C1CN(CCN1)c2cccc3ccccc23","CHEMBL277120"
"=",14.2,"Ki",7.85,"CHEMBL616432","CHEMBL1898","CC(C)c1ccc2[nH]cc(CCN(C)C)c2c1","CHEMBL300519"
"=",472.0,"Ki",6.33,"CHEMBL616432","CHEMBL1898","CC(C)c1ccc2[nH]cc(CCN3CCCC3)c2c1","CHEMBL297660"
"=",15.5,"Ki",7.81,"CHEMBL616432","CHEMBL1898","CN1CCC[C@@H]1Cc2c[nH]c3ccc(cc23)C(C)(C)C","CHEMBL49826"
"=",2.0,"Ki",8.7,"CHEMBL616431","CHEMBL1898","COc1ccc2ccc(cc2c1)N3CCNCC3","CHEMBL129661"
"=",0.43,"Ki",9.37,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5cccc6OCCOc56)cc23","CHEMBL129813"
"=",0.38,"Ki",9.42,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5ccccc5C#N)cc23","CHEMBL2112660"
"=",312.0,"Ki",6.51,"CHEMBL616432","CHEMBL1898","CC(C)(C)c1ccc2[nH]cc(CCN3CCCC3)c2c1","CHEMBL297471"
"=",286.0,"Ki",6.54,"CHEMBL616432","CHEMBL1898","CCc1ccc2[nH]cc(CCN(C)C)c2c1","CHEMBL50492"
"=",1.4,"Ki",8.85,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5c(C)cc(C)cc5C)cc23","CHEMBL128699"
"=",2.8,"Ki",8.55,"CHEMBL616133","CHEMBL214","COc1ccc2ccc(cc2c1)N3CCNCC3","CHEMBL129661"
"=",0.44,"Ki",9.36,"CHEMBL616431","CHEMBL1898","COc1cccc(N2CCN(CC2)C(=O)COc3ccc4cccc(N5CCN(C)CC5)c4c3)c1OC","CHEMBL338015"
"=",1625.0,"Ki",5.79,"CHEMBL616432","CHEMBL1898","CCc1ccc2[nH]cc(CCN3CCCC3)c2c1","CHEMBL49048"
"=",0.14,"Ki",9.85,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)c4noc(C)n4)cc1N5CCN(C)CC5","CHEMBL15928"
"=",0.3,"Ki",9.52,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5ccccc5C)cc23","CHEMBL340786"
"=",14.1,"Ki",7.85,"CHEMBL616133","CHEMBL214","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5cccc6OCCOc56)cc23","CHEMBL129813"
"=",0.2,"Ki",9.7,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(Cc5ccccc5C)CC4)cc23","CHEMBL2112662"
"=",0.14,"Ki",9.85,"CHEMBL616431","CHEMBL1898","COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)C4=NC(C)ON4)cc1N5CCN(C)CC5","CHEMBL339308"
"=",0.8,"Ki",9.1,"CHEMBL616433","CHEMBL1898","Cc1ccccc1N2CCN(CC2)C(=O)COc3ccc4[nH]cc(CCN)c4c3.OC(=O)\C=C\C(=O)O","CHEMBL321818"
"=",18.0,"Ki",7.75,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)N2CCN(CC2)c3ccccc3)cc1N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL325131"
"=",150.0,"Ki",6.82,"CHEMBL616433","CHEMBL1898","CN1CCN(CC1)c2cc(OC(=O)N3CCN(CC3)c4ccccc4C)ccc2Cl.OC(=O)\C=C\C(=O)O","CHEMBL107772"
"=",1.8,"Ki",8.74,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)N2CCN(CC2)c3ccc(C)cc3C)cc1N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL323986"
"=",0.43,"Ki",9.37,"CHEMBL616431","CHEMBL1898","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5cccc6ccccc56)cc23","CHEMBL2112661"
"=",12.3,"Ki",7.91,"CHEMBL616133","CHEMBL214","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5ccccc5C#N)cc23","CHEMBL2112660"
"=",1.3,"Ki",8.89,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)N2CCN(CC2)c3c(C)cccc3C)cc1N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL111302"
"=",11.0,"Ki",7.96,"CHEMBL616433","CHEMBL1898","CN1CCN(CC1)c2cc(OCC(=O)N3CCN(CC3)c4ccccc4C)ccc2Cl.OC(=O)\C=C\C(=O)O","CHEMBL106807"
"=",0.5,"Ki",9.3,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)N2CCN(CC2)c3cccc4CCCCc34)cc1N5CCN(C)CC5.OC(=O)\C=C\C(=O)O","CHEMBL325359"
"=",117.0,"Ki",6.93,"CHEMBL616133","CHEMBL214","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5c(C)cc(C)cc5C)cc23","CHEMBL128699"
"=",10.0,"Ki",8.0,"CHEMBL616433","CHEMBL1898","CN1CCC2(CC1)COc3cc4CCN(C(=O)c5ccc(cc5)c6ccc(cc6C)c7noc(C)n7)c4cc23","CHEMBL281350"
"=",2.0,"Ki",8.7,"CHEMBL616433","CHEMBL1898","COc1ccccc1N2CCN(CC2)C(=O)Nc3ccc(OC)c(c3)N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL430500"
"=",13.4,"Ki",7.87,"CHEMBL616133","CHEMBL214","COc1cccc(N2CCN(CC2)C(=O)COc3ccc4cccc(N5CCN(C)CC5)c4c3)c1OC","CHEMBL338015"
"=",2.3,"Ki",8.64,"CHEMBL616433","CHEMBL1898","COc1ccc(NC(=O)N2CCN(CC2)c3ccccc3C)cc1N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL105970"
"=",40.0,"Ki",7.4,"CHEMBL616433","CHEMBL1898","COc1ccc(NCC(=O)N2CCN(CC2)c3ccccc3C)cc1N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL110601"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","Fc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28997"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","COc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL435949"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","CCCc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28833"
"=",8.4,"Ki",8.08,"CHEMBL616433","CHEMBL1898","COc1ccc(cc1)N2CCN(CC2)C(=O)Nc3ccc(OC)c(c3)N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL108645"
"=",8.0,"Ki",8.1,"CHEMBL616433","CHEMBL1898","COc1cccc(c1)N2CCN(CC2)C(=O)Nc3ccc(OC)c(c3)N4CCN(C)CC4.OC(=O)\C=C\C(=O)O","CHEMBL108722"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","Fc1ccccc1N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL282424"
"=",49.5,"Ki",7.3,"CHEMBL616133","CHEMBL214","CN1CCN(CC1)c2cccc3ccc(OCC(=O)N4CCN(CC4)c5ccccc5C)cc23","CHEMBL340786"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","COc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28607"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","C=Cc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL29808"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","CSc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL28651"
"=",36.0,"Ki",7.44,"CHEMBL616434","CHEMBL1898","CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1","CHEMBL128"
"=",107.0,"Ki",6.97,"CHEMBL616434","CHEMBL1898","C(Cc1c[nH]c2ccc(cc12)c3cccs3)N4CC=CC4","CHEMBL173162"
"=",714.0,"Ki",6.15,"CHEMBL616434","CHEMBL1898","C(Cc1c[nH]c2ccc(cc12)c3cccs3)N4CCCC4","CHEMBL353256"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","C(N1CCN(CC1)c2ccc(cc2)c3ccccc3)c4c[nH]c5ncccc45","CHEMBL287671"
">",10000.0,"Ki",,"CHEMBL616846","CHEMBL2182","FC(F)(F)c1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2","CHEMBL283036"
