,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,1.045314177,0.282083095,1.873601577,0.998985479,r= 3,n= 4096,XGB
2,2.859153639,0.834525932,4.699538453,0.994298702,r= 3,n= 4096,XGB
3,1.226698123,0.337327379,2.316875213,0.998468104,r= 3,n= 4096,XGB
